# day	W2	M2	W1	u	g	r	i	z	y	J	H	K
0.000	-9.695	-9.721	-9.660	-9.380	-9.081	-8.691	-8.379	-8.128	-7.930	-7.511	-6.945	-6.407
0.250	-10.797	-11.255	-11.701	-12.657	-12.944	-13.054	-13.026	-12.949	-12.868	-12.650	-12.268	-11.856
0.500	-10.258	-10.806	-11.501	-12.874	-13.389	-13.683	-13.762	-13.754	-13.719	-13.583	-13.276	-12.917
0.750	-9.707	-10.281	-11.178	-12.842	-13.532	-13.960	-14.118	-14.159	-14.159	-14.085	-13.834	-13.513
1.000	-9.174	-9.736	-10.816	-12.712	-13.553	-14.096	-14.320	-14.402	-14.431	-14.407	-14.204	-13.918
1.250	-8.659	-9.181	-10.436	-12.527	-13.508	-14.153	-14.436	-14.556	-14.610	-14.633	-14.472	-14.216
1.500	-8.154	-8.614	-10.041	-12.302	-13.416	-14.157	-14.496	-14.651	-14.729	-14.794	-14.674	-14.446
1.750	-7.656	-8.033	-9.634	-12.044	-13.288	-14.122	-14.515	-14.703	-14.804	-14.910	-14.828	-14.628
2.000	-7.159	-7.430	-9.212	-11.755	-13.128	-14.053	-14.499	-14.720	-14.844	-14.990	-14.946	-14.772
2.250	-6.662	-6.805	-8.777	-11.438	-12.941	-13.956	-14.455	-14.710	-14.857	-15.043	-15.035	-14.888
2.500	-6.165	-6.156	-8.331	-11.095	-12.732	-13.842	-14.397	-14.685	-14.855	-15.077	-15.099	-14.969
2.750	-5.663	-5.477	-7.870	-10.723	-12.500	-13.708	-14.321	-14.643	-14.835	-15.093	-15.141	-15.026
3.000	-5.157	-4.766	-7.396	-10.323	-12.244	-13.551	-14.222	-14.581	-14.796	-15.092	-15.168	-15.069
3.250	-4.645	-4.022	-6.910	-9.893	-11.963	-13.371	-14.103	-14.498	-14.738	-15.073	-15.179	-15.098
3.500	-4.130	-3.245	-6.414	-9.436	-11.661	-13.171	-13.965	-14.397	-14.663	-15.039	-15.178	-15.117
3.750	-3.607	-2.428	-5.905	-8.947	-11.334	-12.949	-13.806	-14.277	-14.569	-14.988	-15.162	-15.122
4.000	-3.081	-1.577	-5.391	-8.433	-10.988	-12.709	-13.629	-14.140	-14.459	-14.923	-15.134	-15.118
4.250	-2.555	-0.700	-4.874	-7.897	-10.623	-12.451	-13.436	-13.987	-14.333	-14.844	-15.094	-15.103
4.500	-2.032	0.188	-4.360	-7.345	-10.244	-12.177	-13.226	-13.818	-14.192	-14.751	-15.042	-15.078
4.750	-1.524	1.048	-3.860	-6.794	-9.857	-11.890	-13.002	-13.633	-14.036	-14.644	-14.978	-15.043
5.000	-1.404	1.193	-3.741	-6.671	-9.745	-11.786	-12.903	-13.538	-13.942	-14.554	-14.892	-14.959
5.250	-1.311	1.286	-3.648	-6.578	-9.652	-11.693	-12.810	-13.445	-13.849	-14.461	-14.799	-14.866
5.500	-1.214	1.383	-3.551	-6.481	-9.556	-11.596	-12.713	-13.348	-13.752	-14.365	-14.702	-14.769
5.750	-1.114	1.483	-3.451	-6.381	-9.456	-11.497	-12.613	-13.248	-13.653	-14.265	-14.602	-14.669
6.000	-1.012	1.585	-3.349	-6.279	-9.353	-11.394	-12.511	-13.146	-13.550	-14.162	-14.500	-14.567
6.250	-0.907	1.690	-3.244	-6.174	-9.248	-11.289	-12.406	-13.041	-13.445	-14.057	-14.395	-14.462
6.500	-0.800	1.797	-3.137	-6.067	-9.142	-11.182	-12.299	-12.934	-13.338	-13.950	-14.288	-14.355
6.750	-0.693	1.904	-3.030	-5.960	-9.034	-11.075	-12.192	-12.826	-13.231	-13.843	-14.181	-14.248
7.000	-0.586	2.011	-2.923	-5.853	-8.927	-10.968	-12.085	-12.720	-13.124	-13.736	-14.074	-14.141
7.250	-0.479	2.118	-2.816	-5.746	-8.820	-10.861	-11.978	-12.613	-13.017	-13.629	-13.967	-14.034
7.500	-0.372	2.225	-2.709	-5.639	-8.714	-10.755	-11.871	-12.506	-12.911	-13.523	-13.861	-13.928
7.750	-0.268	2.329	-2.605	-5.535	-8.609	-10.650	-11.767	-12.402	-12.806	-13.418	-13.756	-13.823
8.000	-0.166	2.431	-2.503	-5.433	-8.507	-10.548	-11.665	-12.300	-12.704	-13.316	-13.654	-13.721
8.250	-0.066	2.531	-2.403	-5.333	-8.408	-10.449	-11.565	-12.200	-12.605	-13.217	-13.554	-13.622
8.500	0.030	2.627	-2.307	-5.237	-8.312	-10.352	-11.469	-12.104	-12.508	-13.121	-13.458	-13.525
8.750	0.123	2.720	-2.214	-5.144	-8.218	-10.259	-11.376	-12.011	-12.415	-13.027	-13.365	-13.432
9.000	0.213	2.810	-2.124	-5.054	-8.129	-10.170	-11.286	-11.921	-12.326	-12.938	-13.275	-13.342
9.250	0.299	2.896	-2.038	-4.968	-8.043	-10.084	-11.200	-11.835	-12.240	-12.852	-13.190	-13.257
9.500	0.380	2.977	-1.956	-4.887	-7.961	-10.002	-11.118	-11.753	-12.158	-12.770	-13.108	-13.175
9.750	0.458	3.055	-1.878	-4.809	-7.883	-9.924	-11.041	-11.675	-12.080	-12.692	-13.030	-13.097
10.000	0.532	3.129	-1.804	-4.735	-7.809	-9.850	-10.966	-11.601	-12.006	-12.618	-12.956	-13.023
10.250	0.603	3.200	-1.734	-4.664	-7.739	-9.779	-10.896	-11.531	-11.935	-12.547	-12.885	-12.952
10.500	0.670	3.267	-1.667	-4.597	-7.671	-9.712	-10.829	-11.464	-11.868	-12.480	-12.818	-12.885
10.750	0.734	3.331	-1.603	-4.533	-7.608	-9.648	-10.765	-11.400	-11.804	-12.417	-12.754	-12.821
11.000	0.794	3.391	-1.542	-4.473	-7.547	-9.588	-10.704	-11.339	-11.744	-12.356	-12.694	-12.761
11.250	0.852	3.449	-1.485	-4.415	-7.489	-9.530	-10.647	-11.282	-11.686	-12.298	-12.636	-12.703
11.500	0.907	3.504	-1.430	-4.360	-7.434	-9.475	-10.592	-11.227	-11.631	-12.243	-12.581	-12.648
11.750	0.960	3.557	-1.377	-4.307	-7.382	-9.422	-10.539	-11.174	-11.578	-12.191	-12.528	-12.595
12.000	1.010	3.607	-1.327	-4.257	-7.331	-9.372	-10.489	-11.124	-11.528	-12.140	-12.478	-12.545
