# day	W2	M2	W1	u	g	r	i	z	y	J	H	K
0.000	-9.093	-9.089	-9.020	-8.752	-8.499	-8.166	-7.892	-7.665	-7.485	-7.097	-6.561	-6.045
0.250	-11.040	-11.426	-11.732	-12.385	-12.495	-12.474	-12.397	-12.309	-12.231	-12.043	-11.716	-11.358
0.500	-10.793	-11.288	-11.796	-12.837	-13.132	-13.238	-13.218	-13.162	-13.106	-12.963	-12.691	-12.383
0.750	-10.472	-11.019	-11.684	-12.991	-13.430	-13.641	-13.670	-13.639	-13.598	-13.483	-13.243	-12.966
1.000	-10.145	-10.716	-11.516	-13.030	-13.592	-13.896	-13.973	-13.967	-13.941	-13.846	-13.622	-13.355
1.250	-9.831	-10.408	-11.329	-13.014	-13.684	-14.071	-14.193	-14.212	-14.202	-14.126	-13.909	-13.640
1.500	-9.529	-10.099	-11.132	-12.963	-13.732	-14.193	-14.357	-14.400	-14.404	-14.349	-14.143	-13.876
1.750	-9.235	-9.788	-10.928	-12.887	-13.747	-14.278	-14.480	-14.546	-14.564	-14.531	-14.338	-14.076
2.000	-8.951	-9.478	-10.721	-12.795	-13.741	-14.336	-14.575	-14.663	-14.695	-14.683	-14.504	-14.248
2.250	-8.678	-9.172	-10.515	-12.692	-13.719	-14.375	-14.649	-14.757	-14.803	-14.811	-14.647	-14.398
2.500	-8.409	-8.864	-10.305	-12.577	-13.682	-14.396	-14.704	-14.833	-14.892	-14.921	-14.772	-14.532
2.750	-8.144	-8.553	-10.093	-12.452	-13.633	-14.403	-14.744	-14.893	-14.964	-15.014	-14.882	-14.650
3.000	-7.888	-8.245	-9.882	-12.320	-13.576	-14.400	-14.772	-14.941	-15.025	-15.095	-14.978	-14.755
3.250	-7.629	-7.927	-9.665	-12.177	-13.506	-14.384	-14.788	-14.976	-15.073	-15.164	-15.063	-14.849
3.500	-7.377	-7.613	-9.451	-12.031	-13.431	-14.361	-14.796	-15.002	-15.112	-15.223	-15.138	-14.934
3.750	-7.129	-7.295	-9.235	-11.877	-13.349	-14.329	-14.794	-15.019	-15.142	-15.273	-15.204	-15.009
4.000	-6.876	-6.965	-9.011	-11.712	-13.256	-14.287	-14.783	-15.027	-15.162	-15.314	-15.262	-15.077
4.250	-6.632	-6.641	-8.793	-11.547	-13.160	-14.242	-14.768	-15.030	-15.177	-15.350	-15.314	-15.139
4.500	-6.383	-6.305	-8.567	-11.370	-13.055	-14.187	-14.743	-15.024	-15.183	-15.377	-15.358	-15.193
4.750	-6.135	-5.963	-8.339	-11.187	-12.944	-14.125	-14.712	-15.011	-15.184	-15.398	-15.396	-15.242
5.000	-5.891	-5.621	-8.113	-11.001	-12.829	-14.060	-14.676	-14.994	-15.179	-15.414	-15.429	-15.286
5.250	-5.645	-5.269	-7.882	-10.805	-12.706	-13.987	-14.633	-14.970	-15.167	-15.423	-15.456	-15.323
5.500	-5.395	-4.908	-7.646	-10.601	-12.575	-13.906	-14.583	-14.939	-15.150	-15.428	-15.479	-15.357
5.750	-5.148	-4.543	-7.412	-10.393	-12.441	-13.822	-14.529	-14.904	-15.128	-15.428	-15.497	-15.386
6.000	-4.902	-4.173	-7.175	-10.179	-12.301	-13.732	-14.470	-14.864	-15.101	-15.423	-15.510	-15.411
6.250	-4.650	-3.790	-6.933	-9.954	-12.153	-13.635	-14.404	-14.817	-15.067	-15.412	-15.518	-15.432
