# day	W2	M2	W1	u	g	r	i	z	y	J	H	K
0.000	-10.581	-10.619	-10.568	-10.322	-10.039	-9.663	-9.359	-9.113	-8.918	-8.504	-7.944	-7.409
0.250	-11.347	-11.826	-12.316	-13.347	-13.677	-13.829	-13.830	-13.774	-13.707	-13.518	-13.162	-12.769
0.500	-9.407	-9.979	-10.943	-12.700	-13.460	-13.947	-14.142	-14.206	-14.222	-14.174	-13.946	-13.642
0.750	-6.333	-6.685	-8.264	-10.713	-12.125	-13.116	-13.608	-13.856	-13.996	-14.156	-14.107	-13.920
1.000	-4.943	-5.384	-6.777	-9.059	-10.671	-12.013	-12.781	-13.215	-13.486	-13.876	-14.027	-13.971
1.250	-4.375	-4.809	-6.280	-8.576	-9.986	-11.281	-12.134	-12.663	-13.016	-13.568	-13.873	-13.926
1.500	-3.850	-4.179	-5.855	-8.313	-9.834	-11.140	-11.970	-12.483	-12.824	-13.358	-13.653	-13.700
1.750	-3.263	-3.446	-5.354	-7.963	-9.621	-10.968	-11.792	-12.294	-12.626	-13.146	-13.429	-13.470
2.000	-2.610	-2.592	-4.773	-7.522	-9.341	-10.753	-11.588	-12.087	-12.414	-12.923	-13.196	-13.230
2.250	-1.899	-1.611	-4.121	-6.989	-8.996	-10.494	-11.354	-11.859	-12.187	-12.691	-12.957	-12.986
2.500	-1.146	-0.501	-3.412	-6.370	-8.589	-10.192	-11.091	-11.610	-11.944	-12.451	-12.716	-12.742
2.750	-0.374	0.726	-2.670	-5.678	-8.130	-9.848	-10.797	-11.338	-11.683	-12.204	-12.474	-12.501
3.000	0.374	2.010	-1.942	-4.955	-7.643	-9.479	-10.483	-11.052	-11.414	-11.957	-12.240	-12.274
3.250	1.063	3.240	-1.265	-4.246	-7.149	-9.094	-10.154	-10.755	-11.136	-11.709	-12.015	-12.061
3.500	1.650	4.218	-0.686	-3.621	-6.682	-8.714	-9.825	-10.457	-10.859	-11.467	-11.801	-11.865
3.750	1.898	4.495	-0.439	-3.369	-6.444	-8.485	-9.601	-10.236	-10.641	-11.253	-11.591	-11.658
4.000	2.090	4.687	-0.247	-3.177	-6.252	-8.292	-9.409	-10.044	-10.448	-11.060	-11.398	-11.465
4.250	2.264	4.861	-0.073	-3.003	-6.078	-8.119	-9.235	-9.870	-10.275	-10.887	-11.224	-11.291
4.500	2.422	5.019	0.085	-2.845	-5.920	-7.961	-9.077	-9.712	-10.117	-10.729	-11.066	-11.133
4.750	2.564	5.161	0.228	-2.703	-5.777	-7.818	-8.934	-9.569	-9.974	-10.586	-10.924	-10.991
5.000	2.695	5.292	0.359	-2.572	-5.646	-7.687	-8.803	-9.438	-9.843	-10.455	-10.793	-10.860
5.250	2.816	5.413	0.479	-2.451	-5.525	-7.566	-8.683	-9.317	-9.722	-10.334	-10.672	-10.739
5.500	2.929	5.526	0.592	-2.338	-5.412	-7.453	-8.570	-9.205	-9.609	-10.221	-10.559	-10.626
5.750	3.035	5.632	0.698	-2.232	-5.306	-7.347	-8.464	-9.099	-9.503	-10.115	-10.453	-10.520
6.000	3.135	5.732	0.798	-2.132	-5.206	-7.247	-8.364	-8.998	-9.403	-10.015	-10.353	-10.420
6.250	3.231	5.828	0.894	-2.036	-5.111	-7.152	-8.268	-8.903	-9.308	-9.920	-10.258	-10.325
6.500	3.321	5.918	0.984	-1.946	-5.020	-7.061	-8.178	-8.812	-9.217	-9.829	-10.167	-10.234
6.750	3.408	6.005	1.071	-1.859	-4.933	-6.974	-8.091	-8.726	-9.130	-9.742	-10.080	-10.147
7.000	3.492	6.088	1.155	-1.775	-4.850	-6.891	-8.007	-8.642	-9.047	-9.659	-9.997	-10.064
7.250	3.572	6.169	1.235	-1.695	-4.770	-6.811	-7.927	-8.562	-8.967	-9.579	-9.917	-9.984
7.500	3.649	6.246	1.312	-1.618	-4.693	-6.734	-7.850	-8.485	-8.889	-9.502	-9.839	-9.906
7.750	3.723	6.320	1.386	-1.544	-4.619	-6.659	-7.776	-8.411	-8.815	-9.428	-9.765	-9.832
8.000	3.795	6.392	1.458	-1.472	-4.547	-6.588	-7.704	-8.339	-8.744	-9.356	-9.693	-9.761
8.250	3.864	6.461	1.527	-1.403	-4.478	-6.518	-7.635	-8.270	-8.674	-9.287	-9.624	-9.691
8.500	3.931	6.528	1.594	-1.336	-4.410	-6.451	-7.568	-8.203	-8.607	-9.219	-9.557	-9.624
8.750	3.996	6.593	1.659	-1.271	-4.346	-6.386	-7.503	-8.138	-8.542	-9.154	-9.492	-9.559
9.000	4.059	6.656	1.722	-1.208	-4.282	-6.323	-7.440	-8.075	-8.479	-9.091	-9.429	-9.496
9.250	4.120	6.717	1.783	-1.147	-4.221	-6.262	-7.379	-8.014	-8.418	-9.030	-9.368	-9.435
9.500	4.179	6.776	1.842	-1.088	-4.162	-6.203	-7.320	-7.955	-8.359	-8.971	-9.309	-9.376
