# day	W2	M2	W1	u	g	r	i	z	y	J	H	K
0.000	-10.706	-10.665	-10.556	-10.112	-9.752	-9.311	-8.972	-8.704	-8.495	-8.058	-7.476	-6.926
0.250	-13.137	-13.436	-13.642	-14.102	-14.141	-14.049	-13.909	-13.765	-13.639	-13.348	-12.901	-12.446
0.500	-12.735	-13.168	-13.573	-14.448	-14.685	-14.752	-14.700	-14.611	-14.523	-14.296	-13.910	-13.498
0.750	-11.918	-12.447	-13.073	-14.338	-14.778	-14.999	-15.031	-14.992	-14.937	-14.769	-14.436	-14.061
1.000	-10.837	-11.410	-12.306	-13.965	-14.629	-15.016	-15.138	-15.152	-15.133	-15.025	-14.746	-14.409
1.250	-9.732	-10.277	-11.451	-13.450	-14.341	-14.895	-15.109	-15.180	-15.197	-15.152	-14.929	-14.631
1.500	-8.876	-9.355	-10.731	-12.947	-14.019	-14.713	-15.011	-15.132	-15.185	-15.200	-15.033	-14.775
1.750	-8.235	-8.645	-10.177	-12.535	-13.738	-14.536	-14.899	-15.064	-15.146	-15.212	-15.088	-14.858
2.000	-7.664	-7.982	-9.686	-12.174	-13.495	-14.380	-14.797	-14.995	-15.101	-15.209	-15.122	-14.915
2.250	-7.099	-7.295	-9.191	-11.807	-13.256	-14.229	-14.697	-14.927	-15.054	-15.198	-15.145	-14.961
2.500	-6.525	-6.567	-8.677	-11.410	-12.998	-14.066	-14.588	-14.850	-14.999	-15.180	-15.159	-14.996
2.750	-5.942	-5.796	-8.141	-10.977	-12.716	-13.888	-14.470	-14.768	-14.941	-15.157	-15.160	-15.011
3.000	-5.341	-4.971	-7.578	-10.500	-12.398	-13.677	-14.324	-14.661	-14.859	-15.118	-15.153	-15.022
3.250	-4.729	-4.098	-6.995	-9.981	-12.045	-13.437	-14.151	-14.531	-14.757	-15.062	-15.135	-15.027
3.500	-4.102	-3.169	-6.389	-9.419	-11.658	-13.167	-13.952	-14.375	-14.632	-14.988	-15.104	-15.023
3.750	-3.459	-2.183	-5.761	-8.809	-11.234	-12.865	-13.724	-14.195	-14.484	-14.895	-15.058	-15.008
4.000	-2.801	-1.141	-5.115	-8.154	-10.776	-12.532	-13.470	-13.990	-14.314	-14.785	-14.999	-14.982
4.250	-2.128	-0.049	-4.452	-7.456	-10.284	-12.170	-13.189	-13.761	-14.121	-14.655	-14.924	-14.945
4.500	-1.444	1.080	-3.779	-6.722	-9.761	-11.780	-12.883	-13.509	-13.907	-14.508	-14.835	-14.896
4.750	-1.229	1.368	-3.566	-6.496	-9.571	-11.612	-12.728	-13.363	-13.768	-14.380	-14.717	-14.784
5.000	-1.105	1.492	-3.441	-6.372	-9.446	-11.487	-12.604	-13.238	-13.643	-14.255	-14.593	-14.660
5.250	-0.977	1.620	-3.314	-6.244	-9.318	-11.359	-12.476	-13.111	-13.515	-14.127	-14.465	-14.532
5.500	-0.848	1.749	-3.185	-6.115	-9.189	-11.230	-12.347	-12.982	-13.386	-13.998	-14.336	-14.403
5.750	-0.719	1.878	-3.056	-5.986	-9.060	-11.101	-12.218	-12.853	-13.257	-13.869	-14.207	-14.274
6.000	-0.591	2.006	-2.928	-5.858	-8.933	-10.973	-12.090	-12.725	-13.129	-13.742	-14.079	-14.146
6.250	-0.465	2.132	-2.802	-5.732	-8.807	-10.848	-11.964	-12.599	-13.004	-13.616	-13.953	-14.020
6.500	-0.342	2.255	-2.679	-5.609	-8.684	-10.725	-11.841	-12.476	-12.881	-13.493	-13.830	-13.897
6.750	-0.224	2.373	-2.561	-5.491	-8.565	-10.606	-11.723	-12.357	-12.762	-13.374	-13.712	-13.779
7.000	-0.110	2.487	-2.447	-5.377	-8.451	-10.492	-11.609	-12.244	-12.648	-13.260	-13.598	-13.665
7.250	-0.001	2.596	-2.338	-5.268	-8.343	-10.384	-11.500	-12.135	-12.540	-13.152	-13.489	-13.556
7.500	0.102	2.699	-2.235	-5.165	-8.240	-10.281	-11.397	-12.032	-12.437	-13.049	-13.386	-13.454
7.750	0.199	2.796	-2.138	-5.068	-8.143	-10.184	-11.300	-11.935	-12.340	-12.952	-13.289	-13.357
8.000	0.290	2.887	-2.047	-4.977	-8.052	-10.093	-11.209	-11.844	-12.249	-12.861	-13.198	-13.265
8.250	0.375	2.972	-1.962	-4.892	-7.966	-10.007	-11.124	-11.758	-12.163	-12.775	-13.113	-13.180
8.500	0.455	3.052	-1.882	-4.812	-7.886	-9.927	-11.044	-11.678	-12.083	-12.695	-13.033	-13.100
8.750	0.531	3.128	-1.806	-4.736	-7.811	-9.852	-10.968	-11.603	-12.008	-12.620	-12.958	-13.025
9.000	0.601	3.198	-1.735	-4.666	-7.740	-9.781	-10.898	-11.532	-11.937	-12.549	-12.887	-12.954
9.250	0.668	3.265	-1.669	-4.599	-7.674	-9.714	-10.831	-11.466	-11.870	-12.483	-12.820	-12.887
9.500	0.731	3.328	-1.606	-4.536	-7.611	-9.651	-10.768	-11.403	-11.807	-12.420	-12.757	-12.824
9.750	0.791	3.388	-1.546	-4.476	-7.551	-9.592	-10.708	-11.343	-11.748	-12.360	-12.697	-12.765
10.000	0.848	3.445	-1.489	-4.419	-7.494	-9.535	-10.651	-11.286	-11.691	-12.303	-12.641	-12.708
10.250	0.902	3.499	-1.435	-4.365	-7.440	-9.480	-10.597	-11.232	-11.636	-12.249	-12.586	-12.653
10.500	0.954	3.551	-1.383	-4.313	-7.388	-9.428	-10.545	-11.180	-11.584	-12.196	-12.534	-12.601
10.750	1.004	3.601	-1.333	-4.263	-7.337	-9.378	-10.495	-11.130	-11.534	-12.146	-12.484	-12.551
11.000	1.053	3.650	-1.284	-4.214	-7.289	-9.330	-10.446	-11.081	-11.486	-12.098	-12.435	-12.503
11.250	1.099	3.696	-1.237	-4.168	-7.242	-9.283	-10.399	-11.034	-11.439	-12.051	-12.389	-12.456
11.500	1.145	3.742	-1.192	-4.122	-7.197	-9.237	-10.354	-10.989	-11.393	-12.006	-12.343	-12.410
11.750	1.189	3.786	-1.148	-4.078	-7.153	-9.193	-10.310	-10.945	-11.349	-11.962	-12.299	-12.366
12.000	1.232	3.829	-1.105	-4.035	-7.110	-9.151	-10.267	-10.902	-11.306	-11.919	-12.256	-12.323
12.250	1.274	3.871	-1.063	-3.993	-7.068	-9.109	-10.225	-10.860	-11.265	-11.877	-12.215	-12.282
12.500	1.314	3.911	-1.023	-3.953	-7.027	-9.068	-10.185	-10.819	-11.224	-11.836	-12.174	-12.241
12.750	1.354	3.951	-0.983	-3.913	-6.987	-9.028	-10.145	-10.780	-11.184	-11.796	-12.134	-12.201
13.000	1.393	3.990	-0.944	-3.874	-6.948	-8.989	-10.106	-10.741	-11.145	-11.757	-12.095	-12.162
13.250	1.431	4.028	-0.906	-3.836	-6.910	-8.951	-10.068	-10.703	-11.107	-11.719	-12.057	-12.124
13.500	1.468	4.065	-0.869	-3.799	-6.873	-8.914	-10.031	-10.665	-11.070	-11.682	-12.020	-12.087
13.750	1.505	4.102	-0.832	-3.762	-6.837	-8.878	-9.994	-10.629	-11.034	-11.646	-11.983	-12.050
14.000	1.541	4.138	-0.796	-3.726	-6.801	-8.842	-9.958	-10.593	-10.998	-11.610	-11.948	-12.015
14.250	1.576	4.173	-0.761	-3.691	-6.766	-8.807	-9.923	-10.558	-10.963	-11.575	-11.913	-11.980
14.500	1.610	4.207	-0.727	-3.657	-6.732	-8.772	-9.889	-10.524	-10.928	-11.541	-11.878	-11.945
14.750	1.644	4.241	-0.693	-3.623	-6.698	-8.739	-9.855	-10.490	-10.895	-11.507	-11.844	-11.911
15.000	1.677	4.274	-0.660	-3.590	-6.665	-8.705	-9.822	-10.457	-10.861	-11.474	-11.811	-11.878
15.250	1.709	4.306	-0.627	-3.558	-6.632	-8.673	-9.789	-10.424	-10.829	-11.441	-11.779	-11.846
15.500	1.741	4.338	-0.595	-3.526	-6.600	-8.641	-9.757	-10.392	-10.797	-11.409	-11.747	-11.814
15.750	1.773	4.370	-0.564	-3.494	-6.569	-8.609	-9.726	-10.361	-10.765	-11.378	-11.715	-11.782
16.000	1.804	4.401	-0.533	-3.463	-6.538	-8.578	-9.695	-10.330	-10.734	-11.347	-11.684	-11.751
16.250	1.834	4.431	-0.503	-3.433	-6.507	-8.548	-9.665	-10.299	-10.704	-11.316	-11.654	-11.721
16.500	1.864	4.461	-0.473	-3.403	-6.477	-8.518	-9.635	-10.269	-10.674	-11.286	-11.624	-11.691
16.750	1.894	4.491	-0.443	-3.373	-6.448	-8.488	-9.605	-10.240	-10.644	-11.257	-11.594	-11.661
17.000	1.923	4.520	-0.414	-3.344	-6.419	-8.459	-9.576	-10.211	-10.615	-11.228	-11.565	-11.632
17.250	1.952	4.549	-0.385	-3.315	-6.390	-8.431	-9.547	-10.182	-10.587	-11.199	-11.537	-11.604
17.500	1.980	4.577	-0.357	-3.287	-6.362	-8.403	-9.519	-10.154	-10.559	-11.171	-11.508	-11.575
17.750	2.008	4.605	-0.329	-3.259	-6.334	-8.375	-9.491	-10.126	-10.531	-11.143	-11.481	-11.548
18.000	2.035	4.632	-0.302	-3.232	-6.307	-8.347	-9.464	-10.099	-10.503	-11.116	-11.453	-11.520
18.250	2.062	4.659	-0.275	-3.205	-6.280	-8.320	-9.437	-10.072	-10.476	-11.089	-11.426	-11.493
18.500	2.089	4.686	-0.248	-3.178	-6.253	-8.294	-9.410	-10.045	-10.450	-11.062	-11.400	-11.467
18.750	2.115	4.712	-0.222	-3.152	-6.227	-8.267	-9.384	-10.019	-10.423	-11.036	-11.373	-11.440
19.000	2.141	4.738	-0.196	-3.126	-6.201	-8.242	-9.358	-9.993	-10.397	-11.010	-11.347	-11.414
19.250	2.166	4.763	-0.170	-3.101	-6.175	-8.216	-9.332	-9.967	-10.372	-10.984	-11.322	-11.389
19.500	2.192	4.789	-0.145	-3.075	-6.150	-8.191	-9.307	-9.942	-10.347	-10.959	-11.296	-11.364
19.750	2.217	4.814	-0.120	-3.050	-6.125	-8.166	-9.282	-9.917	-10.322	-10.934	-11.272	-11.339
20.000	2.241	4.838	-0.096	-3.026	-6.100	-8.141	-9.258	-9.893	-10.297	-10.909	-11.247	-11.314
20.250	2.266	4.863	-0.071	-3.001	-6.076	-8.117	-9.233	-9.868	-10.273	-10.885	-11.223	-11.290
20.500	2.290	4.887	-0.047	-2.977	-6.052	-8.093	-9.209	-9.844	-10.249	-10.861	-11.199	-11.266
20.750	2.313	4.910	-0.024	-2.954	-6.028	-8.069	-9.186	-9.820	-10.225	-10.837	-11.175	-11.242
21.000	2.337	4.934	-0.000	-2.930	-6.005	-8.046	-9.162	-9.797	-10.202	-10.814	-11.151	-11.218
21.250	2.360	4.957	0.023	-2.907	-5.982	-8.022	-9.139	-9.774	-10.178	-10.791	-11.128	-11.195
21.500	2.383	4.980	0.046	-2.884	-5.959	-7.999	-9.116	-9.751	-10.155	-10.768	-11.105	-11.172
21.750	2.406	5.002	0.069	-2.861	-5.936	-7.977	-9.093	-9.728	-10.133	-10.745	-11.083	-11.150
22.000	2.428	5.025	0.091	-2.839	-5.914	-7.954	-9.071	-9.706	-10.110	-10.723	-11.060	-11.127
22.250	2.450	5.047	0.113	-2.817	-5.892	-7.932	-9.049	-9.684	-10.088	-10.700	-11.038	-11.105
22.500	2.472	5.069	0.135	-2.795	-5.870	-7.910	-9.027	-9.662	-10.066	-10.679	-11.016	-11.083
22.750	2.494	5.091	0.157	-2.773	-5.848	-7.889	-9.005	-9.640	-10.045	-10.657	-10.995	-11.062
23.000	2.515	5.112	0.178	-2.752	-5.827	-7.867	-8.984	-9.619	-10.023	-10.636	-10.973	-11.040
23.250	2.536	5.133	0.199	-2.731	-5.805	-7.846	-8.963	-9.598	-10.002	-10.614	-10.952	-11.019
23.500	2.557	5.154	0.220	-2.710	-5.784	-7.825	-8.942	-9.577	-9.981	-10.593	-10.931	-10.998
23.750	2.578	5.175	0.241	-2.689	-5.764	-7.804	-8.921	-9.556	-9.960	-10.573	-10.910	-10.977
24.000	2.598	5.195	0.262	-2.669	-5.743	-7.784	-8.901	-9.535	-9.940	-10.552	-10.890	-10.957
24.250	2.619	5.216	0.282	-2.648	-5.723	-7.764	-8.880	-9.515	-9.920	-10.532	-10.869	-10.936
24.500	2.639	5.236	0.302	-2.628	-5.703	-7.743	-8.860	-9.495	-9.899	-10.512	-10.849	-10.916
24.750	2.659	5.256	0.322	-2.608	-5.683	-7.724	-8.840	-9.475	-9.880	-10.492	-10.829	-10.896
25.000	2.679	5.275	0.342	-2.588	-5.663	-7.704	-8.820	-9.455	-9.860	-10.472	-10.810	-10.877
25.250	2.698	5.295	0.361	-2.569	-5.643	-7.684	-8.801	-9.436	-9.840	-10.452	-10.790	-10.857
