# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -6.783 -6.671 -6.518 -5.889 -5.584 -5.432 -5.163 -5.268 -4.935 -5.089 -4.808 -4.554 -4.264 -4.038 -3.575 -2.966 -2.398
0.100 -10.108 -10.473 -10.778 -11.459 -11.591 -11.621 -11.641 -11.631 -11.617 -11.606 -11.594 -11.519 -11.399 -11.283 -11.015 -10.583 -10.136
0.200 -9.931 -10.394 -10.868 -11.881 -12.148 -12.237 -12.345 -12.307 -12.387 -12.344 -12.402 -12.384 -12.321 -12.244 -12.044 -11.671 -11.266
0.300 -9.669 -10.184 -10.788 -12.024 -12.386 -12.516 -12.684 -12.628 -12.773 -12.711 -12.815 -12.835 -12.814 -12.765 -12.614 -12.286 -11.910
0.400 -9.404 -9.950 -10.663 -12.072 -12.509 -12.671 -12.886 -12.818 -13.011 -12.939 -13.076 -13.126 -13.138 -13.111 -13.001 -12.709 -12.358
0.500 -9.138 -9.700 -10.513 -12.066 -12.568 -12.759 -13.013 -12.936 -13.170 -13.091 -13.254 -13.330 -13.370 -13.363 -13.287 -13.027 -12.698
0.600 -8.883 -9.451 -10.357 -12.034 -12.594 -12.809 -13.097 -13.013 -13.282 -13.199 -13.383 -13.482 -13.547 -13.556 -13.512 -13.280 -12.970
0.700 -8.641 -9.206 -10.198 -11.986 -12.599 -12.835 -13.154 -13.063 -13.364 -13.277 -13.481 -13.598 -13.686 -13.711 -13.694 -13.488 -13.196
0.800 -8.410 -8.966 -10.041 -11.926 -12.587 -12.845 -13.192 -13.095 -13.424 -13.335 -13.555 -13.690 -13.798 -13.837 -13.847 -13.664 -13.388
0.900 -8.184 -8.726 -9.880 -11.855 -12.563 -12.840 -13.212 -13.111 -13.466 -13.376 -13.611 -13.762 -13.889 -13.941 -13.975 -13.815 -13.555
1.000 -7.957 -8.478 -9.711 -11.771 -12.525 -12.820 -13.218 -13.112 -13.492 -13.402 -13.650 -13.816 -13.962 -14.027 -14.084 -13.945 -13.700
1.100 -7.751 -8.248 -9.556 -11.691 -12.486 -12.799 -13.220 -13.110 -13.512 -13.422 -13.682 -13.862 -14.024 -14.101 -14.180 -14.061 -13.830
1.200 -7.535 -8.004 -9.388 -11.596 -12.434 -12.764 -13.207 -13.095 -13.518 -13.430 -13.701 -13.895 -14.074 -14.162 -14.262 -14.163 -13.946
1.300 -7.338 -7.775 -9.232 -11.506 -12.383 -12.729 -13.194 -13.078 -13.522 -13.435 -13.716 -13.923 -14.117 -14.216 -14.336 -14.255 -14.050
1.400 -7.130 -7.531 -9.064 -11.402 -12.320 -12.682 -13.168 -13.050 -13.514 -13.429 -13.721 -13.939 -14.149 -14.259 -14.399 -14.336 -14.145
1.500 -6.943 -7.305 -8.910 -11.306 -12.261 -12.639 -13.144 -13.024 -13.506 -13.423 -13.724 -13.954 -14.178 -14.298 -14.456 -14.411 -14.232
