# day	W2	M2	W1	u	g	r	i	z	y	J	H	K
0.000	-11.121	-11.033	-10.894	-10.337	-9.937	-9.466	-9.112	-8.836	-8.622	-8.176	-7.586	-7.031
0.250	-14.267	-14.481	-14.584	-14.779	-14.677	-14.457	-14.241	-14.051	-13.896	-13.555	-13.067	-12.588
0.500	-13.957	-14.322	-14.606	-15.219	-15.302	-15.228	-15.090	-14.945	-14.819	-14.528	-14.087	-13.642
0.750	-13.092	-13.584	-14.086	-15.117	-15.401	-15.483	-15.426	-15.330	-15.235	-14.997	-14.603	-14.191
1.000	-12.201	-12.753	-13.449	-14.810	-15.283	-15.514	-15.540	-15.493	-15.431	-15.248	-14.904	-14.526
1.250	-11.584	-12.153	-12.968	-14.517	-15.120	-15.462	-15.556	-15.552	-15.520	-15.389	-15.091	-14.744
1.500	-11.088	-11.663	-12.594	-14.298	-14.995	-15.412	-15.554	-15.581	-15.572	-15.481	-15.222	-14.902
1.750	-10.584	-11.150	-12.212	-14.080	-14.881	-15.371	-15.553	-15.606	-15.614	-15.555	-15.327	-15.030
2.000	-10.049	-10.586	-11.791	-13.825	-14.741	-15.314	-15.540	-15.619	-15.644	-15.615	-15.414	-15.136
2.250	-9.480	-9.968	-11.328	-13.522	-14.562	-15.226	-15.503	-15.612	-15.655	-15.657	-15.482	-15.221
2.500	-8.879	-9.293	-10.822	-13.171	-14.344	-15.105	-15.438	-15.580	-15.646	-15.681	-15.530	-15.282
2.750	-8.248	-8.560	-10.276	-12.773	-14.085	-14.948	-15.341	-15.519	-15.608	-15.682	-15.560	-15.329
3.000	-7.586	-7.761	-9.688	-12.323	-13.783	-14.754	-15.210	-15.427	-15.542	-15.659	-15.572	-15.361
3.250	-6.901	-6.901	-9.064	-11.823	-13.442	-14.525	-15.048	-15.307	-15.451	-15.614	-15.565	-15.378
3.500	-6.192	-5.975	-8.405	-11.273	-13.060	-14.261	-14.856	-15.159	-15.333	-15.547	-15.540	-15.380
3.750	-5.462	-4.979	-7.713	-10.668	-12.636	-13.961	-14.632	-14.983	-15.189	-15.457	-15.498	-15.367
4.000	-4.715	-3.914	-6.993	-10.008	-12.170	-13.626	-14.377	-14.778	-15.019	-15.347	-15.438	-15.340
4.250	-3.951	-2.780	-6.250	-9.295	-11.664	-13.256	-14.091	-14.546	-14.824	-15.215	-15.361	-15.299
4.500	-3.174	-1.579	-5.486	-8.529	-11.117	-12.852	-13.776	-14.287	-14.604	-15.063	-15.267	-15.244
4.750	-2.383	-0.318	-4.707	-7.713	-10.533	-12.415	-13.431	-14.001	-14.359	-14.891	-15.158	-15.177
5.000	-1.587	0.978	-3.923	-6.859	-9.918	-11.949	-13.060	-13.691	-14.093	-14.700	-15.033	-15.097
5.250	-1.388	1.209	-3.725	-6.655	-9.729	-11.770	-12.887	-13.522	-13.926	-14.538	-14.876	-14.943
5.500	-1.229	1.368	-3.566	-6.496	-9.570	-11.611	-12.728	-13.363	-13.767	-14.379	-14.717	-14.784
5.750	-1.071	1.526	-3.408	-6.338	-9.412	-11.453	-12.570	-13.204	-13.609	-14.221	-14.559	-14.626
