# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -6.913 -6.819 -6.676 -6.087 -5.792 -5.644 -5.382 -5.484 -5.160 -5.308 -5.035 -4.785 -4.499 -4.275 -3.816 -3.212 -2.647
0.100 -8.749 -9.263 -9.843 -11.009 -11.304 -11.398 -11.508 -11.468 -11.545 -11.499 -11.553 -11.525 -11.448 -11.360 -11.137 -10.742 -10.320
0.200 -8.006 -8.568 -9.450 -11.090 -11.603 -11.788 -12.027 -11.952 -12.162 -12.080 -12.226 -12.275 -12.277 -12.241 -12.107 -11.789 -11.418
0.300 -7.403 -7.942 -9.042 -10.972 -11.639 -11.890 -12.219 -12.123 -12.425 -12.329 -12.531 -12.635 -12.696 -12.699 -12.632 -12.372 -12.040
0.400 -6.881 -7.370 -8.645 -10.779 -11.572 -11.877 -12.279 -12.169 -12.543 -12.443 -12.687 -12.835 -12.946 -12.981 -12.972 -12.762 -12.463
0.500 -6.437 -6.866 -8.288 -10.571 -11.470 -11.820 -12.283 -12.165 -12.598 -12.499 -12.774 -12.959 -13.113 -13.177 -13.219 -13.052 -12.782
0.600 -6.039 -6.403 -7.952 -10.350 -11.341 -11.731 -12.247 -12.122 -12.607 -12.512 -12.813 -13.031 -13.224 -13.314 -13.402 -13.276 -13.033
0.700 -5.676 -5.975 -7.637 -10.125 -11.197 -11.624 -12.186 -12.058 -12.587 -12.500 -12.822 -13.068 -13.297 -13.412 -13.544 -13.456 -13.237
0.800 -5.337 -5.570 -7.337 -9.897 -11.043 -11.502 -12.107 -11.977 -12.546 -12.468 -12.808 -13.081 -13.343 -13.481 -13.654 -13.602 -13.408
0.900 -5.007 -5.171 -7.040 -9.661 -10.877 -11.366 -12.011 -11.879 -12.486 -12.419 -12.774 -13.071 -13.366 -13.526 -13.739 -13.721 -13.551
1.000 -4.696 -4.783 -6.760 -9.436 -10.717 -11.234 -11.916 -11.784 -12.424 -12.368 -12.736 -13.056 -13.381 -13.561 -13.811 -13.826 -13.677
1.100 -4.378 -4.381 -6.470 -9.195 -10.539 -11.085 -11.803 -11.670 -12.343 -12.300 -12.680 -13.021 -13.376 -13.576 -13.864 -13.911 -13.784
1.200 -4.061 -3.965 -6.178 -8.950 -10.358 -10.931 -11.684 -11.552 -12.256 -12.226 -12.617 -12.978 -13.362 -13.582 -13.905 -13.984 -13.878
1.300 -3.735 -3.526 -5.874 -8.690 -10.164 -10.765 -11.552 -11.421 -12.156 -12.140 -12.541 -12.923 -13.334 -13.575 -13.934 -14.044 -13.959
1.400 -3.405 -3.064 -5.564 -8.422 -9.964 -10.593 -11.415 -11.286 -12.050 -12.049 -12.460 -12.861 -13.300 -13.560 -13.954 -14.095 -14.031
1.500 -3.061 -2.568 -5.236 -8.130 -9.746 -10.403 -11.260 -11.134 -11.929 -11.944 -12.363 -12.784 -13.252 -13.531 -13.962 -14.134 -14.091
1.600 -2.720 -2.045 -4.907 -7.835 -9.528 -10.215 -11.109 -10.985 -11.809 -11.842 -12.270 -12.708 -13.204 -13.503 -13.968 -14.170 -14.148
