# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -10.900 -10.695 -10.491 -9.630 -9.262 -9.083 -8.770 -8.895 -8.513 -8.699 -8.372 -8.090 -7.775 -7.531 -7.038 -6.402 -5.815
0.100 -15.381 -15.386 -15.313 -14.988 -14.777 -14.666 -14.466 -14.541 -14.289 -14.396 -14.189 -13.984 -13.742 -13.550 -13.149 -12.603 -12.080
0.200 -15.012 -15.195 -15.265 -15.356 -15.265 -15.202 -15.078 -15.121 -14.952 -15.014 -14.877 -14.718 -14.521 -14.357 -14.009 -13.512 -13.025
0.300 -14.432 -14.746 -14.955 -15.383 -15.400 -15.380 -15.322 -15.340 -15.242 -15.269 -15.191 -15.071 -14.911 -14.772 -14.469 -14.013 -13.556
0.400 -13.906 -14.298 -14.620 -15.298 -15.406 -15.424 -15.424 -15.421 -15.385 -15.384 -15.355 -15.270 -15.144 -15.027 -14.764 -14.346 -13.915
0.500 -13.420 -13.863 -14.278 -15.151 -15.337 -15.389 -15.440 -15.419 -15.438 -15.416 -15.429 -15.375 -15.280 -15.185 -14.961 -14.578 -14.173
0.600 -12.918 -13.405 -13.910 -14.955 -15.214 -15.297 -15.394 -15.359 -15.427 -15.388 -15.438 -15.415 -15.351 -15.276 -15.090 -14.743 -14.364
0.700 -12.360 -12.885 -13.492 -14.710 -15.041 -15.154 -15.296 -15.248 -15.365 -15.311 -15.396 -15.401 -15.369 -15.315 -15.168 -14.858 -14.505
0.800 -11.730 -12.286 -13.010 -14.410 -14.818 -14.964 -15.152 -15.091 -15.256 -15.191 -15.308 -15.343 -15.342 -15.311 -15.205 -14.933 -14.608
0.900 -11.028 -11.601 -12.459 -14.051 -14.543 -14.724 -14.962 -14.888 -15.104 -15.028 -15.179 -15.244 -15.276 -15.268 -15.205 -14.974 -14.678
1.000 -10.280 -10.850 -11.854 -13.638 -14.222 -14.440 -14.730 -14.644 -14.912 -14.828 -15.012 -15.108 -15.176 -15.192 -15.174 -14.987 -14.722
1.100 -9.520 -10.064 -11.212 -13.175 -13.855 -14.113 -14.457 -14.360 -14.682 -14.593 -14.809 -14.938 -15.043 -15.085 -15.116 -14.974 -14.743
1.200 -8.821 -9.325 -10.587 -12.690 -13.460 -13.758 -14.156 -14.049 -14.424 -14.333 -14.579 -14.741 -14.885 -14.954 -15.034 -14.940 -14.744
1.300 -8.235 -8.709 -10.029 -12.211 -13.056 -13.390 -13.836 -13.723 -14.148 -14.059 -14.332 -14.526 -14.710 -14.806 -14.936 -14.886 -14.719
1.400 -7.795 -8.264 -9.588 -11.786 -12.676 -13.035 -13.520 -13.403 -13.869 -13.787 -14.080 -14.305 -14.527 -14.649 -14.827 -14.818 -14.677
1.500 -7.461 -7.936 -9.254 -11.440 -12.343 -12.716 -13.225 -13.108 -13.604 -13.532 -13.840 -14.090 -14.347 -14.495 -14.715 -14.739 -14.616
1.600 -7.208 -7.688 -9.013 -11.188 -12.082 -12.454 -12.971 -12.856 -13.366 -13.304 -13.619 -13.886 -14.172 -14.341 -14.602 -14.659 -14.557
1.700 -6.978 -7.453 -8.809 -10.998 -11.880 -12.249 -12.763 -12.649 -13.161 -13.107 -13.424 -13.701 -14.007 -14.194 -14.490 -14.580 -14.499
1.800 -6.764 -7.224 -8.626 -10.849 -11.728 -12.092 -12.600 -12.487 -12.995 -12.945 -13.260 -13.541 -13.859 -14.058 -14.384 -14.503 -14.443
1.900 -6.565 -7.004 -8.458 -10.725 -11.613 -11.975 -12.477 -12.365 -12.867 -12.817 -13.130 -13.409 -13.732 -13.938 -14.285 -14.430 -14.389
2.000 -6.358 -6.769 -8.284 -10.602 -11.509 -11.874 -12.378 -12.264 -12.764 -12.712 -13.024 -13.300 -13.623 -13.832 -14.195 -14.361 -14.339
2.100 -6.150 -6.527 -8.108 -10.480 -11.416 -11.791 -12.303 -12.187 -12.692 -12.637 -12.951 -13.226 -13.547 -13.755 -14.119 -14.293 -14.278
