# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -7.675 -7.544 -7.381 -6.710 -6.394 -6.237 -5.960 -6.069 -5.728 -5.887 -5.598 -5.340 -5.045 -4.816 -4.348 -3.735 -3.164
0.100 -12.140 -12.383 -12.527 -12.837 -12.840 -12.818 -12.760 -12.778 -12.682 -12.708 -12.631 -12.513 -12.352 -12.211 -11.900 -11.430 -10.959
0.200 -12.195 -12.546 -12.817 -13.410 -13.510 -13.530 -13.537 -13.532 -13.508 -13.504 -13.485 -13.410 -13.294 -13.184 -12.928 -12.510 -12.075
0.300 -12.038 -12.462 -12.839 -13.647 -13.822 -13.873 -13.928 -13.907 -13.934 -13.911 -13.931 -13.887 -13.803 -13.715 -13.499 -13.119 -12.711
0.400 -11.850 -12.324 -12.793 -13.770 -14.007 -14.083 -14.175 -14.142 -14.208 -14.172 -14.221 -14.201 -14.142 -14.071 -13.887 -13.537 -13.151
0.500 -11.613 -12.124 -12.682 -13.811 -14.106 -14.206 -14.331 -14.289 -14.390 -14.343 -14.417 -14.417 -14.380 -14.324 -14.169 -13.847 -13.480
0.600 -11.334 -11.874 -12.519 -13.792 -14.144 -14.268 -14.426 -14.373 -14.509 -14.452 -14.549 -14.569 -14.553 -14.511 -14.383 -14.085 -13.737
0.700 -11.013 -11.572 -12.308 -13.721 -14.132 -14.280 -14.471 -14.409 -14.578 -14.513 -14.633 -14.672 -14.677 -14.649 -14.546 -14.273 -13.943
0.800 -10.644 -11.216 -12.048 -13.601 -14.074 -14.246 -14.472 -14.401 -14.605 -14.532 -14.676 -14.734 -14.760 -14.746 -14.670 -14.422 -14.110
0.900 -10.228 -10.802 -11.737 -13.432 -13.971 -14.170 -14.433 -14.354 -14.594 -14.514 -14.681 -14.760 -14.808 -14.810 -14.761 -14.538 -14.244
1.000 -9.762 -10.327 -11.376 -13.215 -13.825 -14.054 -14.357 -14.267 -14.548 -14.461 -14.652 -14.754 -14.826 -14.843 -14.823 -14.628 -14.353
1.100 -9.244 -9.785 -10.961 -12.949 -13.636 -13.897 -14.242 -14.144 -14.466 -14.374 -14.590 -14.716 -14.814 -14.849 -14.860 -14.693 -14.438
1.200 -8.681 -9.178 -10.496 -12.635 -13.405 -13.701 -14.092 -13.985 -14.351 -14.257 -14.497 -14.649 -14.776 -14.830 -14.874 -14.737 -14.504
1.300 -8.074 -8.503 -9.983 -12.272 -13.134 -13.467 -13.906 -13.792 -14.205 -14.109 -14.375 -14.554 -14.712 -14.786 -14.867 -14.762 -14.552
1.400 -7.437 -7.769 -9.430 -11.867 -12.826 -13.199 -13.689 -13.568 -14.029 -13.936 -14.226 -14.434 -14.625 -14.721 -14.840 -14.770 -14.584
1.500 -6.782 -6.983 -8.847 -11.423 -12.487 -12.902 -13.448 -13.320 -13.833 -13.744 -14.059 -14.297 -14.523 -14.642 -14.800 -14.760 -14.591
1.600 -6.128 -6.165 -8.250 -10.952 -12.124 -12.583 -13.184 -13.052 -13.616 -13.537 -13.874 -14.143 -14.407 -14.550 -14.747 -14.736 -14.584
1.700 -5.509 -5.362 -7.671 -10.473 -11.752 -12.254 -12.909 -12.775 -13.388 -13.320 -13.677 -13.977 -14.278 -14.445 -14.683 -14.703 -14.568
1.800 -4.942 -4.615 -7.127 -10.002 -11.380 -11.922 -12.628 -12.493 -13.151 -13.098 -13.472 -13.800 -14.139 -14.330 -14.609 -14.661 -14.545
1.900 -4.455 -3.987 -6.650 -9.567 -11.027 -11.604 -12.354 -12.220 -12.917 -12.879 -13.268 -13.622 -13.995 -14.210 -14.529 -14.614 -14.518
2.000 -4.056 -3.500 -6.254 -9.189 -10.708 -11.313 -12.098 -11.965 -12.694 -12.672 -13.072 -13.447 -13.851 -14.088 -14.446 -14.562 -14.486
2.100 -3.734 -3.127 -5.933 -8.874 -10.432 -11.055 -11.866 -11.735 -12.488 -12.481 -12.888 -13.281 -13.712 -13.968 -14.361 -14.508 -14.452
2.200 -3.476 -2.832 -5.677 -8.622 -10.201 -10.836 -11.664 -11.535 -12.305 -12.309 -12.721 -13.128 -13.581 -13.853 -14.277 -14.453 -14.417
2.300 -3.265 -2.582 -5.468 -8.420 -10.013 -10.655 -11.493 -11.366 -12.146 -12.159 -12.574 -12.990 -13.460 -13.746 -14.197 -14.399 -14.383
2.400 -3.083 -2.351 -5.290 -8.252 -9.857 -10.504 -11.348 -11.222 -12.009 -12.029 -12.446 -12.868 -13.350 -13.647 -14.121 -14.347 -14.349
2.500 -2.948 -2.137 -5.157 -8.133 -9.765 -10.421 -11.274 -11.148 -11.941 -11.962 -12.381 -12.806 -13.291 -13.588 -14.064 -14.291 -14.293
2.600 -2.821 -1.927 -5.033 -8.022 -9.683 -10.349 -11.212 -11.086 -11.886 -11.909 -12.330 -12.758 -13.244 -13.542 -14.016 -14.240 -14.239
