# day	W2	M2	W1	u	g	r	i	z	y	J	H	K
0.000	-14.176	-13.995	-13.802	-13.009	-12.521	-11.969	-11.570	-11.266	-11.033	-10.555	-9.935	-9.359
0.250	-15.001	-15.237	-15.367	-15.637	-15.581	-15.410	-15.229	-15.062	-14.924	-14.614	-14.156	-13.697
0.500	-12.682	-13.175	-13.692	-14.766	-15.105	-15.257	-15.259	-15.207	-15.147	-14.977	-14.653	-14.292
0.750	-10.438	-11.012	-11.949	-13.662	-14.362	-14.784	-14.934	-14.974	-14.976	-14.917	-14.702	-14.422
1.000	-8.554	-9.040	-10.355	-12.536	-13.601	-14.296	-14.597	-14.724	-14.783	-14.815	-14.673	-14.440
1.250	-7.139	-7.513	-9.034	-11.452	-12.829	-13.776	-14.231	-14.452	-14.572	-14.700	-14.627	-14.428
1.500	-6.058	-6.387	-7.990	-10.479	-12.076	-13.233	-13.829	-14.142	-14.324	-14.557	-14.571	-14.426
1.750	-5.102	-5.382	-7.096	-9.628	-11.364	-12.686	-13.407	-13.805	-14.049	-14.389	-14.497	-14.412
2.000	-4.159	-4.330	-6.235	-8.849	-10.689	-12.142	-12.974	-13.451	-13.754	-14.200	-14.403	-14.384
2.250	-3.192	-3.176	-5.348	-8.078	-10.035	-11.603	-12.534	-13.085	-13.443	-13.994	-14.294	-14.341
2.500	-2.194	-1.900	-4.417	-7.265	-9.377	-11.061	-12.085	-12.707	-13.119	-13.774	-14.169	-14.284
2.750	-1.173	-0.500	-3.445	-6.385	-8.698	-10.510	-11.628	-12.317	-12.784	-13.540	-14.032	-14.216
3.000	-0.152	1.001	-2.458	-5.443	-7.994	-9.948	-11.160	-11.918	-12.438	-13.296	-13.885	-14.138
3.250	0.851	2.577	-1.478	-4.453	-7.269	-9.375	-10.684	-11.510	-12.082	-13.042	-13.728	-14.050
3.500	1.799	4.140	-0.548	-3.461	-6.544	-8.798	-10.202	-11.095	-11.719	-12.781	-13.563	-13.955
3.750	2.415	5.068	0.061	-2.815	-6.012	-8.318	-9.766	-10.702	-11.367	-12.517	-13.390	-13.851
4.000	2.618	5.242	0.271	-2.630	-5.773	-8.011	-9.426	-10.362	-11.043	-12.257	-13.212	-13.740
4.250	2.793	5.403	0.450	-2.464	-5.577	-7.756	-9.124	-10.045	-10.733	-11.999	-13.031	-13.624
4.500	2.949	5.552	0.608	-2.313	-5.408	-7.542	-8.860	-9.756	-10.440	-11.743	-12.848	-13.506
4.750	3.089	5.689	0.750	-2.176	-5.261	-7.362	-8.634	-9.496	-10.166	-11.492	-12.664	-13.385
5.000	3.217	5.815	0.879	-2.049	-5.129	-7.208	-8.440	-9.265	-9.915	-11.247	-12.478	-13.261
5.250	3.334	5.932	0.997	-1.932	-5.009	-7.074	-8.274	-9.063	-9.686	-11.009	-12.293	-13.135
