# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -7.823 -7.668 -7.492 -6.767 -6.438 -6.275 -5.991 -6.103 -5.753 -5.918 -5.621 -5.358 -5.059 -4.827 -4.354 -3.737 -3.163
0.100 -13.708 -13.790 -13.774 -13.629 -13.469 -13.378 -13.212 -13.273 -13.058 -13.145 -12.970 -12.788 -12.569 -12.392 -12.022 -11.506 -11.007
0.200 -14.075 -14.255 -14.325 -14.420 -14.333 -14.271 -14.150 -14.192 -14.026 -14.087 -13.953 -13.796 -13.602 -13.441 -13.102 -12.617 -12.142
0.300 -13.998 -14.262 -14.418 -14.731 -14.713 -14.679 -14.600 -14.626 -14.505 -14.542 -14.446 -14.313 -14.142 -13.996 -13.684 -13.225 -12.770
0.400 -13.656 -14.002 -14.258 -14.798 -14.856 -14.853 -14.820 -14.829 -14.757 -14.771 -14.714 -14.608 -14.461 -14.331 -14.047 -13.615 -13.180
0.500 -13.123 -13.549 -13.923 -14.706 -14.849 -14.880 -14.899 -14.889 -14.871 -14.862 -14.847 -14.770 -14.650 -14.538 -14.286 -13.883 -13.468
0.600 -12.458 -12.953 -13.464 -14.497 -14.734 -14.803 -14.877 -14.849 -14.889 -14.857 -14.886 -14.840 -14.751 -14.659 -14.441 -14.069 -13.677
0.700 -11.732 -12.277 -12.931 -14.204 -14.538 -14.648 -14.780 -14.733 -14.834 -14.781 -14.853 -14.842 -14.786 -14.716 -14.536 -14.198 -13.830
0.800 -11.089 -11.652 -12.421 -13.881 -14.303 -14.450 -14.636 -14.574 -14.731 -14.663 -14.774 -14.795 -14.774 -14.726 -14.586 -14.285 -13.943
0.900 -10.631 -11.196 -12.025 -13.590 -14.074 -14.250 -14.478 -14.406 -14.608 -14.531 -14.672 -14.722 -14.733 -14.707 -14.607 -14.343 -14.028
1.000 -10.333 -10.899 -11.761 -13.375 -13.892 -14.085 -14.340 -14.262 -14.493 -14.413 -14.574 -14.646 -14.684 -14.676 -14.612 -14.382 -14.089
1.100 -10.129 -10.700 -11.594 -13.245 -13.778 -13.978 -14.245 -14.165 -14.411 -14.331 -14.502 -14.587 -14.643 -14.650 -14.614 -14.412 -14.139
1.200 -9.944 -10.518 -11.456 -13.158 -13.707 -13.913 -14.188 -14.106 -14.361 -14.281 -14.457 -14.550 -14.617 -14.633 -14.619 -14.440 -14.184
1.300 -9.777 -10.350 -11.337 -13.096 -13.666 -13.879 -14.162 -14.078 -14.341 -14.260 -14.441 -14.538 -14.610 -14.633 -14.632 -14.470 -14.228
1.400 -9.602 -10.170 -11.209 -13.034 -13.630 -13.853 -14.148 -14.061 -14.334 -14.250 -14.438 -14.539 -14.617 -14.643 -14.652 -14.503 -14.272
1.500 -9.440 -10.000 -11.092 -12.978 -13.603 -13.837 -14.145 -14.055 -14.340 -14.253 -14.447 -14.553 -14.635 -14.664 -14.680 -14.539 -14.318
1.600 -9.264 -9.814 -10.960 -12.908 -13.566 -13.812 -14.136 -14.042 -14.342 -14.252 -14.455 -14.568 -14.656 -14.688 -14.710 -14.577 -14.362
1.700 -9.097 -9.633 -10.832 -12.841 -13.529 -13.788 -14.129 -14.031 -14.346 -14.254 -14.465 -14.586 -14.680 -14.716 -14.743 -14.615 -14.406
1.800 -8.927 -9.448 -10.701 -12.767 -13.488 -13.760 -14.119 -14.017 -14.350 -14.256 -14.477 -14.607 -14.709 -14.749 -14.780 -14.650 -14.437
1.900 -8.750 -9.253 -10.561 -12.684 -13.438 -13.724 -14.100 -13.996 -14.346 -14.250 -14.481 -14.621 -14.733 -14.778 -14.816 -14.687 -14.471
2.000 -8.579 -9.061 -10.424 -12.602 -13.387 -13.687 -14.080 -13.973 -14.339 -14.243 -14.483 -14.632 -14.755 -14.806 -14.850 -14.723 -14.507
2.100 -8.409 -8.868 -10.285 -12.516 -13.333 -13.645 -14.057 -13.946 -14.329 -14.232 -14.481 -14.640 -14.772 -14.829 -14.882 -14.759 -14.543
2.200 -8.229 -8.662 -10.137 -12.420 -13.270 -13.596 -14.025 -13.911 -14.312 -14.214 -14.473 -14.642 -14.785 -14.848 -14.910 -14.793 -14.578
2.300 -8.050 -8.454 -9.987 -12.320 -13.203 -13.542 -13.989 -13.873 -14.290 -14.193 -14.460 -14.639 -14.793 -14.863 -14.936 -14.825 -14.613
2.400 -7.878 -8.251 -9.842 -12.223 -13.137 -13.490 -13.953 -13.835 -14.269 -14.172 -14.448 -14.636 -14.801 -14.878 -14.960 -14.856 -14.646
2.500 -7.698 -8.038 -9.688 -12.116 -13.064 -13.430 -13.911 -13.790 -14.241 -14.144 -14.428 -14.627 -14.803 -14.887 -14.981 -14.884 -14.678
2.600 -7.515 -7.816 -9.529 -12.003 -12.984 -13.364 -13.863 -13.740 -14.207 -14.112 -14.405 -14.613 -14.801 -14.892 -14.998 -14.909 -14.708
2.700 -7.330 -7.591 -9.368 -11.886 -12.901 -13.295 -13.811 -13.686 -14.170 -14.077 -14.377 -14.596 -14.795 -14.894 -15.012 -14.933 -14.736
2.800 -7.151 -7.370 -9.210 -11.771 -12.818 -13.225 -13.760 -13.633 -14.133 -14.041 -14.350 -14.578 -14.789 -14.895 -15.025 -14.955 -14.762
2.900 -6.970 -7.142 -9.048 -11.650 -12.731 -13.152 -13.703 -13.575 -14.092 -14.002 -14.318 -14.556 -14.779 -14.893 -15.036 -14.974 -14.787
3.000 -6.783 -6.905 -8.880 -11.522 -12.637 -13.072 -13.642 -13.512 -14.045 -13.958 -14.281 -14.530 -14.765 -14.887 -15.042 -14.991 -14.809
3.100 -6.592 -6.660 -8.706 -11.387 -12.538 -12.987 -13.575 -13.444 -13.994 -13.910 -14.241 -14.500 -14.747 -14.877 -15.046 -15.005 -14.830
3.200 -6.402 -6.413 -8.531 -11.250 -12.436 -12.900 -13.506 -13.373 -13.940 -13.859 -14.197 -14.467 -14.727 -14.865 -15.048 -15.018 -14.848
3.300 -6.216 -6.167 -8.359 -11.113 -12.334 -12.812 -13.436 -13.303 -13.886 -13.809 -14.153 -14.433 -14.705 -14.852 -15.048 -15.029 -14.866
3.400 -6.028 -5.915 -8.184 -10.970 -12.228 -12.720 -13.362 -13.228 -13.827 -13.754 -14.106 -14.395 -14.681 -14.835 -15.046 -15.038 -14.881
3.500 -5.835 -5.653 -8.002 -10.821 -12.115 -12.623 -13.283 -13.148 -13.764 -13.696 -14.054 -14.354 -14.652 -14.815 -15.041 -15.044 -14.894
3.600 -5.639 -5.385 -7.817 -10.666 -11.998 -12.520 -13.200 -13.064 -13.697 -13.634 -13.999 -14.309 -14.620 -14.792 -15.033 -15.048 -14.906
3.700 -5.442 -5.111 -7.629 -10.506 -11.876 -12.415 -13.113 -12.977 -13.627 -13.569 -13.940 -14.261 -14.586 -14.767 -15.023 -15.050 -14.915
3.800 -5.245 -4.833 -7.440 -10.344 -11.753 -12.307 -13.024 -12.888 -13.555 -13.502 -13.879 -14.210 -14.549 -14.739 -15.011 -15.051 -14.924
3.900 -5.051 -4.555 -7.252 -10.180 -11.628 -12.197 -12.933 -12.798 -13.480 -13.434 -13.817 -14.159 -14.511 -14.710 -14.997 -15.050 -14.931
4.000 -4.855 -4.270 -7.061 -10.011 -11.498 -12.083 -12.839 -12.703 -13.403 -13.363 -13.752 -14.104 -14.470 -14.678 -14.981 -15.047 -14.936
4.100 -4.654 -3.976 -6.865 -9.835 -11.363 -11.964 -12.739 -12.604 -13.321 -13.287 -13.682 -14.045 -14.425 -14.643 -14.963 -15.042 -14.939
4.200 -4.453 -3.675 -6.667 -9.654 -11.224 -11.841 -12.636 -12.502 -13.235 -13.209 -13.610 -13.983 -14.378 -14.605 -14.942 -15.034 -14.940
4.300 -4.248 -3.366 -6.464 -9.467 -11.080 -11.714 -12.529 -12.395 -13.146 -13.128 -13.533 -13.917 -14.327 -14.565 -14.918 -15.025 -14.940
4.400 -4.043 -3.053 -6.260 -9.276 -10.932 -11.583 -12.419 -12.286 -13.053 -13.044 -13.455 -13.849 -14.274 -14.522 -14.893 -15.014 -14.939
4.500 -3.839 -2.737 -6.057 -9.083 -10.783 -11.451 -12.307 -12.175 -12.959 -12.958 -13.374 -13.780 -14.219 -14.477 -14.866 -15.002 -14.936
4.600 -3.636 -2.417 -5.853 -8.886 -10.631 -11.316 -12.192 -12.062 -12.863 -12.871 -13.292 -13.708 -14.162 -14.430 -14.837 -14.988 -14.932
4.700 -3.430 -2.091 -5.647 -8.685 -10.475 -11.177 -12.074 -11.946 -12.763 -12.781 -13.207 -13.633 -14.103 -14.381 -14.807 -14.973 -14.926
4.800 -3.222 -1.756 -5.437 -8.478 -10.313 -11.033 -11.951 -11.825 -12.660 -12.687 -13.117 -13.554 -14.040 -14.329 -14.773 -14.955 -14.919
4.900 -3.013 -1.415 -5.225 -8.265 -10.148 -10.886 -11.825 -11.701 -12.553 -12.591 -13.025 -13.473 -13.974 -14.274 -14.738 -14.936 -14.910
5.000 -2.801 -1.067 -5.010 -8.047 -9.979 -10.735 -11.695 -11.574 -12.442 -12.491 -12.930 -13.388 -13.906 -14.217 -14.700 -14.915 -14.899
5.100 -2.588 -0.714 -4.794 -7.826 -9.806 -10.580 -11.562 -11.443 -12.329 -12.389 -12.832 -13.301 -13.835 -14.157 -14.660 -14.892 -14.888
5.200 -2.375 -0.356 -4.577 -7.600 -9.630 -10.422 -11.426 -11.310 -12.212 -12.285 -12.731 -13.211 -13.761 -14.095 -14.618 -14.867 -14.874
5.300 -2.162 0.003 -4.361 -7.373 -9.453 -10.263 -11.288 -11.175 -12.094 -12.179 -12.629 -13.119 -13.686 -14.031 -14.575 -14.841 -14.860
5.400 -1.951 0.363 -4.145 -7.144 -9.273 -10.102 -11.149 -11.039 -11.974 -12.072 -12.525 -13.025 -13.609 -13.966 -14.530 -14.814 -14.845
5.500 -1.739 0.725 -3.929 -6.912 -9.091 -9.938 -11.006 -10.900 -11.851 -11.962 -12.419 -12.929 -13.530 -13.898 -14.483 -14.785 -14.828
5.600 -1.525 1.089 -3.711 -6.676 -8.906 -9.771 -10.860 -10.757 -11.725 -11.849 -12.309 -12.830 -13.447 -13.827 -14.433 -14.754 -14.810
5.700 -1.332 1.413 -3.514 -6.462 -8.735 -9.616 -10.724 -10.625 -11.607 -11.743 -12.205 -12.735 -13.367 -13.757 -14.383 -14.721 -14.788
5.800 -1.292 1.454 -3.474 -6.421 -8.695 -9.576 -10.684 -10.585 -11.566 -11.702 -12.165 -12.694 -13.327 -13.717 -14.343 -14.680 -14.747
5.900 -1.250 1.495 -3.433 -6.380 -8.654 -9.535 -10.643 -10.543 -11.525 -11.661 -12.124 -12.653 -13.286 -13.676 -14.301 -14.639 -14.706
6.000 -1.209 1.537 -3.391 -6.339 -8.612 -9.493 -10.601 -10.502 -11.483 -11.620 -12.082 -12.612 -13.244 -13.634 -14.260 -14.597 -14.664
6.100 -1.167 1.579 -3.349 -6.297 -8.570 -9.451 -10.559 -10.460 -11.441 -11.578 -12.040 -12.569 -13.202 -13.592 -14.218 -14.555 -14.622
6.200 -1.125 1.621 -3.307 -6.254 -8.528 -9.409 -10.517 -10.417 -11.399 -11.535 -11.998 -12.527 -13.160 -13.550 -14.175 -14.513 -14.580
