# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -5.993 -5.971 -5.877 -5.470 -5.228 -5.101 -4.875 -4.961 -4.676 -4.801 -4.563 -4.335 -4.068 -3.858 -3.422 -2.839 -2.289
0.100 -9.430 -9.562 -9.600 -9.726 -9.830 -9.900 -10.026 -9.992 -10.134 -10.099 -10.206 -10.270 -10.315 -10.316 -10.261 -10.022 -9.707
0.200 -9.749 -9.983 -10.106 -10.363 -10.414 -10.452 -10.540 -10.522 -10.647 -10.639 -10.741 -10.836 -10.948 -11.006 -11.071 -10.950 -10.719
0.300 -9.814 -10.118 -10.316 -10.729 -10.783 -10.808 -10.863 -10.855 -10.943 -10.952 -11.032 -11.123 -11.257 -11.344 -11.483 -11.444 -11.273
0.400 -9.760 -10.118 -10.385 -10.944 -11.028 -11.054 -11.100 -11.093 -11.160 -11.172 -11.238 -11.316 -11.454 -11.556 -11.746 -11.769 -11.648
0.500 -9.626 -10.030 -10.364 -11.062 -11.184 -11.220 -11.270 -11.259 -11.320 -11.329 -11.389 -11.455 -11.589 -11.698 -11.924 -12.000 -11.922
0.600 -9.433 -9.877 -10.279 -11.109 -11.275 -11.325 -11.389 -11.371 -11.438 -11.439 -11.502 -11.561 -11.689 -11.802 -12.056 -12.176 -12.136
0.700 -9.189 -9.668 -10.140 -11.100 -11.313 -11.380 -11.465 -11.439 -11.520 -11.512 -11.583 -11.640 -11.765 -11.880 -12.156 -12.314 -12.307
0.800 -8.898 -9.408 -9.952 -11.044 -11.310 -11.398 -11.515 -11.479 -11.593 -11.574 -11.667 -11.737 -11.870 -11.987 -12.260 -12.412 -12.402
0.900 -8.561 -9.098 -9.720 -10.944 -11.265 -11.376 -11.527 -11.481 -11.630 -11.601 -11.717 -11.804 -11.951 -12.072 -12.348 -12.498 -12.485
1.000 -8.182 -8.739 -9.445 -10.803 -11.182 -11.319 -11.505 -11.450 -11.635 -11.598 -11.738 -11.845 -12.007 -12.137 -12.419 -12.570 -12.556
1.100 -7.762 -8.333 -9.129 -10.623 -11.065 -11.228 -11.453 -11.388 -11.614 -11.570 -11.735 -11.864 -12.047 -12.187 -12.480 -12.635 -12.622
1.200 -7.300 -7.877 -8.771 -10.405 -10.914 -11.106 -11.373 -11.298 -11.567 -11.517 -11.709 -11.862 -12.069 -12.222 -12.531 -12.692 -12.680
1.300 -6.800 -7.372 -8.374 -10.150 -10.731 -10.955 -11.266 -11.182 -11.497 -11.444 -11.663 -11.842 -12.077 -12.245 -12.572 -12.741 -12.732
1.400 -6.266 -6.820 -7.940 -9.859 -10.518 -10.776 -11.136 -11.043 -11.407 -11.353 -11.599 -11.808 -12.072 -12.257 -12.605 -12.784 -12.779
1.500 -5.699 -6.220 -7.469 -9.533 -10.276 -10.571 -10.983 -10.883 -11.299 -11.248 -11.521 -11.760 -12.058 -12.261 -12.633 -12.824 -12.823
1.600 -5.103 -5.570 -6.964 -9.172 -10.006 -10.343 -10.811 -10.703 -11.176 -11.130 -11.430 -11.701 -12.033 -12.255 -12.652 -12.856 -12.860
