# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -6.970 -6.834 -6.668 -5.987 -5.669 -5.511 -5.233 -5.342 -5.000 -5.160 -4.870 -4.611 -4.316 -4.087 -3.618 -3.005 -2.434
0.100 -11.804 -12.020 -12.125 -12.317 -12.269 -12.225 -12.135 -12.166 -12.035 -12.078 -11.974 -11.838 -11.662 -11.512 -11.188 -10.710 -10.234
0.200 -12.019 -12.342 -12.566 -13.033 -13.072 -13.064 -13.027 -13.038 -12.965 -12.982 -12.925 -12.823 -12.681 -12.555 -12.274 -11.836 -11.390
0.300 -12.008 -12.400 -12.716 -13.381 -13.486 -13.504 -13.507 -13.504 -13.473 -13.471 -13.447 -13.369 -13.251 -13.141 -12.890 -12.481 -12.056
0.400 -11.935 -12.374 -12.770 -13.591 -13.751 -13.791 -13.826 -13.811 -13.815 -13.799 -13.801 -13.741 -13.642 -13.545 -13.317 -12.931 -12.523
0.500 -11.826 -12.302 -12.768 -13.722 -13.931 -13.991 -14.055 -14.031 -14.064 -14.037 -14.061 -14.017 -13.935 -13.848 -13.640 -13.274 -12.879
0.600 -11.706 -12.210 -12.741 -13.809 -14.062 -14.141 -14.230 -14.197 -14.257 -14.220 -14.264 -14.235 -14.167 -14.090 -13.899 -13.550 -13.168
0.700 -11.580 -12.106 -12.696 -13.866 -14.160 -14.255 -14.368 -14.328 -14.412 -14.367 -14.428 -14.412 -14.357 -14.289 -14.114 -13.779 -13.409
0.800 -11.449 -11.992 -12.638 -13.901 -14.233 -14.344 -14.479 -14.432 -14.538 -14.486 -14.563 -14.560 -14.517 -14.457 -14.297 -13.976 -13.615
0.900 -11.319 -11.875 -12.574 -13.921 -14.289 -14.414 -14.570 -14.517 -14.644 -14.586 -14.677 -14.686 -14.654 -14.601 -14.455 -14.147 -13.796
1.000 -11.183 -11.748 -12.499 -13.925 -14.328 -14.467 -14.643 -14.584 -14.732 -14.667 -14.773 -14.792 -14.772 -14.726 -14.593 -14.297 -13.955
1.100 -11.049 -11.621 -12.421 -13.920 -14.356 -14.509 -14.703 -14.639 -14.806 -14.737 -14.855 -14.885 -14.875 -14.836 -14.715 -14.431 -14.097
1.200 -10.916 -11.492 -12.340 -13.908 -14.375 -14.541 -14.753 -14.684 -14.869 -14.796 -14.926 -14.966 -14.966 -14.934 -14.825 -14.551 -14.226
1.300 -10.780 -11.357 -12.252 -13.886 -14.384 -14.562 -14.792 -14.719 -14.922 -14.844 -14.986 -15.036 -15.046 -15.021 -14.923 -14.660 -14.343
1.400 -10.646 -11.223 -12.164 -13.860 -14.387 -14.578 -14.825 -14.748 -14.967 -14.886 -15.038 -15.098 -15.118 -15.099 -15.013 -14.760 -14.450
1.500 -10.512 -11.086 -12.073 -13.828 -14.384 -14.587 -14.850 -14.769 -15.005 -14.920 -15.083 -15.152 -15.182 -15.170 -15.094 -14.851 -14.548
1.600 -10.375 -10.945 -11.977 -13.790 -14.374 -14.589 -14.868 -14.783 -15.035 -14.948 -15.121 -15.199 -15.239 -15.232 -15.167 -14.934 -14.639
1.700 -10.244 -10.807 -11.883 -13.750 -14.362 -14.588 -14.883 -14.794 -15.062 -14.972 -15.154 -15.241 -15.291 -15.290 -15.236 -15.012 -14.723
1.800 -10.107 -10.662 -11.783 -13.702 -14.342 -14.580 -14.890 -14.798 -15.081 -14.989 -15.181 -15.277 -15.335 -15.341 -15.297 -15.083 -14.801
1.900 -9.971 -10.516 -11.682 -13.652 -14.319 -14.568 -14.894 -14.798 -15.096 -15.002 -15.203 -15.308 -15.376 -15.387 -15.354 -15.149 -14.874
2.000 -9.838 -10.372 -11.581 -13.601 -14.294 -14.554 -14.895 -14.796 -15.109 -15.014 -15.223 -15.336 -15.413 -15.431 -15.408 -15.210 -14.940
2.100 -9.701 -10.222 -11.475 -13.543 -14.263 -14.534 -14.890 -14.789 -15.116 -15.019 -15.237 -15.359 -15.446 -15.470 -15.456 -15.267 -15.000
2.200 -9.564 -10.070 -11.368 -13.482 -14.229 -14.511 -14.882 -14.778 -15.120 -15.022 -15.248 -15.379 -15.475 -15.505 -15.502 -15.319 -15.057
2.300 -9.429 -9.919 -11.262 -13.420 -14.193 -14.486 -14.871 -14.765 -15.121 -15.022 -15.257 -15.396 -15.502 -15.537 -15.544 -15.369 -15.110
2.400 -9.293 -9.765 -11.153 -13.355 -14.154 -14.458 -14.857 -14.748 -15.119 -15.019 -15.261 -15.409 -15.524 -15.566 -15.582 -15.415 -15.161
2.500 -9.154 -9.606 -11.039 -13.284 -14.110 -14.425 -14.839 -14.727 -15.112 -15.012 -15.262 -15.418 -15.543 -15.591 -15.617 -15.458 -15.208
2.600 -9.015 -9.446 -10.925 -13.212 -14.064 -14.390 -14.818 -14.704 -15.103 -15.003 -15.260 -15.425 -15.559 -15.613 -15.650 -15.498 -15.253
2.700 -8.878 -9.285 -10.811 -13.138 -14.016 -14.353 -14.795 -14.679 -15.091 -14.992 -15.256 -15.429 -15.572 -15.633 -15.680 -15.536 -15.295
2.800 -8.739 -9.122 -10.695 -13.061 -13.965 -14.313 -14.769 -14.651 -15.077 -14.978 -15.249 -15.430 -15.583 -15.650 -15.707 -15.572 -15.336
2.900 -8.597 -8.954 -10.575 -12.980 -13.910 -14.268 -14.739 -14.619 -15.059 -14.960 -15.239 -15.428 -15.590 -15.663 -15.731 -15.604 -15.373
3.000 -8.456 -8.784 -10.454 -12.896 -13.853 -14.222 -14.707 -14.586 -15.039 -14.941 -15.226 -15.424 -15.596 -15.675 -15.754 -15.635 -15.409
3.100 -8.315 -8.613 -10.332 -12.811 -13.794 -14.174 -14.673 -14.550 -15.016 -14.919 -15.211 -15.417 -15.599 -15.684 -15.774 -15.664 -15.443
3.200 -8.174 -8.440 -10.209 -12.723 -13.732 -14.124 -14.637 -14.512 -14.992 -14.896 -15.194 -15.409 -15.600 -15.692 -15.792 -15.691 -15.475
