# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -6.808 -6.723 -6.587 -6.023 -5.735 -5.590 -5.333 -5.432 -5.113 -5.259 -4.990 -4.743 -4.460 -4.238 -3.782 -3.181 -2.618
0.100 -8.947 -9.314 -9.737 -10.761 -11.067 -11.173 -11.303 -11.257 -11.358 -11.306 -11.379 -11.369 -11.311 -11.236 -11.037 -10.663 -10.255
0.200 -8.715 -9.117 -9.625 -10.880 -11.352 -11.537 -11.784 -11.708 -11.935 -11.855 -12.012 -12.079 -12.105 -12.085 -11.982 -11.692 -11.340
0.300 -8.521 -8.958 -9.514 -10.856 -11.413 -11.644 -11.963 -11.873 -12.177 -12.090 -12.296 -12.415 -12.500 -12.520 -12.488 -12.261 -11.951
0.400 -8.311 -8.783 -9.389 -10.786 -11.393 -11.655 -12.023 -11.925 -12.285 -12.200 -12.437 -12.596 -12.730 -12.784 -12.813 -12.639 -12.366
0.500 -8.086 -8.589 -9.253 -10.709 -11.349 -11.632 -12.037 -11.935 -12.336 -12.256 -12.516 -12.708 -12.882 -12.965 -13.046 -12.919 -12.677
0.600 -7.848 -8.374 -9.101 -10.622 -11.285 -11.584 -12.016 -11.913 -12.346 -12.273 -12.551 -12.769 -12.980 -13.088 -13.218 -13.134 -12.921
0.700 -7.595 -8.138 -8.932 -10.524 -11.209 -11.521 -11.976 -11.871 -12.332 -12.266 -12.558 -12.799 -13.042 -13.174 -13.348 -13.304 -13.119
0.800 -7.329 -7.883 -8.746 -10.415 -11.123 -11.446 -11.920 -11.814 -12.298 -12.241 -12.544 -12.805 -13.078 -13.232 -13.447 -13.442 -13.283
0.900 -7.045 -7.603 -8.541 -10.292 -11.025 -11.359 -11.850 -11.744 -12.249 -12.200 -12.513 -12.792 -13.093 -13.268 -13.523 -13.554 -13.420
1.000 -6.748 -7.303 -8.320 -10.158 -10.923 -11.269 -11.779 -11.672 -12.196 -12.156 -12.478 -12.774 -13.101 -13.295 -13.587 -13.652 -13.541
1.100 -6.436 -6.982 -8.080 -10.006 -10.803 -11.163 -11.690 -11.582 -12.126 -12.093 -12.425 -12.736 -13.088 -13.301 -13.630 -13.729 -13.642
1.200 -6.106 -6.634 -7.820 -9.837 -10.674 -11.048 -11.596 -11.487 -12.051 -12.026 -12.367 -12.693 -13.069 -13.300 -13.665 -13.797 -13.732
1.300 -5.761 -6.264 -7.541 -9.650 -10.529 -10.919 -11.487 -11.377 -11.961 -11.945 -12.294 -12.636 -13.036 -13.285 -13.685 -13.849 -13.808
1.400 -5.402 -5.869 -7.245 -9.446 -10.372 -10.781 -11.372 -11.261 -11.867 -11.860 -12.218 -12.574 -12.998 -13.265 -13.699 -13.895 -13.876
1.500 -5.025 -5.446 -6.928 -9.220 -10.197 -10.625 -11.240 -11.129 -11.757 -11.759 -12.125 -12.497 -12.945 -13.230 -13.700 -13.928 -13.932
1.600 -4.636 -4.998 -6.593 -8.976 -10.011 -10.461 -11.104 -10.992 -11.645 -11.658 -12.033 -12.421 -12.893 -13.196 -13.700 -13.960 -13.985
1.700 -4.233 -4.522 -6.242 -8.715 -9.815 -10.292 -10.967 -10.854 -11.535 -11.558 -11.943 -12.346 -12.841 -13.159 -13.692 -13.977 -14.020
1.800 -3.828 -4.018 -5.884 -8.451 -9.641 -10.155 -10.876 -10.761 -11.477 -11.508 -11.905 -12.322 -12.830 -13.154 -13.693 -13.981 -14.025
1.900 -3.419 -3.488 -5.517 -8.173 -9.460 -10.014 -10.782 -10.666 -11.417 -11.457 -11.865 -12.296 -12.818 -13.149 -13.695 -13.987 -14.031
2.000 -3.012 -2.932 -5.144 -7.882 -9.273 -9.869 -10.683 -10.566 -11.352 -11.401 -11.818 -12.264 -12.799 -13.136 -13.690 -13.985 -14.030
2.100 -2.610 -2.347 -4.770 -7.582 -9.083 -9.720 -10.580 -10.464 -11.282 -11.342 -11.768 -12.226 -12.774 -13.118 -13.680 -13.978 -14.025
2.200 -2.225 -1.740 -4.406 -7.280 -8.898 -9.577 -10.481 -10.366 -11.215 -11.286 -11.720 -12.191 -12.752 -13.102 -13.672 -13.974 -14.023
2.300 -1.865 -1.114 -4.059 -6.983 -8.719 -9.438 -10.384 -10.271 -11.147 -11.229 -11.670 -12.152 -12.725 -13.082 -13.659 -13.966 -14.016
2.400 -1.541 -0.481 -3.741 -6.699 -8.551 -9.307 -10.290 -10.179 -11.080 -11.171 -11.617 -12.110 -12.694 -13.057 -13.642 -13.952 -14.004
2.500 -1.260 0.145 -3.460 -6.437 -8.397 -9.186 -10.202 -10.093 -11.014 -11.116 -11.566 -12.067 -12.662 -13.030 -13.622 -13.937 -13.991
2.600 -1.027 0.739 -3.225 -6.207 -8.263 -9.080 -10.123 -10.016 -10.955 -11.065 -11.519 -12.028 -12.632 -13.005 -13.604 -13.922 -13.979
2.700 -0.842 1.262 -3.035 -6.013 -8.146 -8.985 -10.050 -9.945 -10.898 -11.016 -11.473 -11.988 -12.599 -12.977 -13.582 -13.905 -13.963
2.800 -0.696 1.682 -2.885 -5.856 -8.046 -8.902 -9.983 -9.880 -10.844 -10.967 -11.426 -11.946 -12.564 -12.946 -13.557 -13.883 -13.943
2.900 -0.584 1.984 -2.770 -5.732 -7.962 -8.829 -9.922 -9.821 -10.792 -10.920 -11.381 -11.905 -12.528 -12.913 -13.529 -13.858 -13.921
3.000 -0.501 2.178 -2.685 -5.639 -7.894 -8.769 -9.870 -9.770 -10.746 -10.879 -11.340 -11.867 -12.495 -12.882 -13.502 -13.835 -13.900
3.100 -0.436 2.296 -2.619 -5.568 -7.838 -8.717 -9.823 -9.724 -10.704 -10.839 -11.302 -11.830 -12.462 -12.851 -13.475 -13.811 -13.877
