# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -10.752 -10.550 -10.347 -9.496 -9.131 -8.953 -8.643 -8.767 -8.387 -8.571 -8.246 -7.966 -7.652 -7.409 -6.918 -6.283 -5.697
0.100 -14.575 -14.689 -14.696 -14.616 -14.475 -14.391 -14.237 -14.293 -14.091 -14.171 -14.006 -13.829 -13.614 -13.438 -13.069 -12.550 -12.047
0.200 -13.700 -14.018 -14.236 -14.688 -14.717 -14.703 -14.657 -14.671 -14.586 -14.607 -14.540 -14.429 -14.278 -14.145 -13.851 -13.402 -12.948
0.300 -12.462 -12.916 -13.353 -14.266 -14.470 -14.531 -14.595 -14.570 -14.605 -14.577 -14.602 -14.559 -14.476 -14.387 -14.173 -13.796 -13.392
0.400 -10.860 -11.392 -12.085 -13.465 -13.878 -14.027 -14.221 -14.159 -14.329 -14.262 -14.383 -14.420 -14.419 -14.385 -14.267 -13.974 -13.626
0.500 -9.432 -9.917 -10.722 -12.400 -13.031 -13.281 -13.618 -13.523 -13.842 -13.754 -13.968 -14.096 -14.194 -14.226 -14.222 -14.028 -13.745
0.600 -8.765 -9.236 -9.895 -11.426 -12.154 -12.474 -12.925 -12.815 -13.259 -13.179 -13.461 -13.676 -13.879 -13.982 -14.103 -14.015 -13.801
0.700 -8.417 -8.926 -9.545 -10.886 -11.524 -11.840 -12.322 -12.219 -12.720 -12.672 -12.983 -13.261 -13.555 -13.722 -13.961 -13.975 -13.829
0.800 -8.092 -8.631 -9.300 -10.643 -11.181 -11.455 -11.899 -11.811 -12.304 -12.287 -12.598 -12.906 -13.264 -13.482 -13.822 -13.927 -13.844
0.900 -7.738 -8.297 -9.043 -10.478 -10.988 -11.233 -11.634 -11.554 -12.015 -12.015 -12.314 -12.628 -13.022 -13.275 -13.693 -13.878 -13.851
1.000 -7.349 -7.920 -8.753 -10.309 -10.845 -11.087 -11.473 -11.394 -11.839 -11.841 -12.134 -12.446 -12.853 -13.125 -13.589 -13.822 -13.832
1.100 -6.925 -7.499 -8.428 -10.114 -10.701 -10.959 -11.362 -11.278 -11.732 -11.733 -12.030 -12.344 -12.758 -13.037 -13.518 -13.770 -13.792
1.200 -6.465 -7.031 -8.065 -9.884 -10.530 -10.808 -11.232 -11.144 -11.614 -11.615 -11.919 -12.240 -12.665 -12.953 -13.458 -13.733 -13.772
1.300 -5.973 -6.519 -7.668 -9.624 -10.346 -10.657 -11.122 -11.027 -11.531 -11.531 -11.850 -12.183 -12.616 -12.909 -13.417 -13.695 -13.736
1.400 -5.453 -5.963 -7.239 -9.333 -10.140 -10.488 -11.002 -10.900 -11.446 -11.448 -11.784 -12.132 -12.577 -12.874 -13.385 -13.663 -13.704
1.500 -4.908 -5.362 -6.779 -9.010 -9.911 -10.301 -10.867 -10.760 -11.351 -11.357 -11.711 -12.077 -12.537 -12.840 -13.356 -13.635 -13.676
1.600 -4.341 -4.717 -6.292 -8.657 -9.662 -10.096 -10.720 -10.609 -11.247 -11.261 -11.632 -12.017 -12.494 -12.804 -13.328 -13.609 -13.651
1.700 -3.763 -4.030 -5.783 -8.279 -9.397 -9.881 -10.565 -10.450 -11.137 -11.161 -11.548 -11.953 -12.448 -12.767 -13.299 -13.584 -13.627
1.800 -3.180 -3.304 -5.261 -7.880 -9.123 -9.659 -10.405 -10.289 -11.024 -11.059 -11.461 -11.886 -12.400 -12.728 -13.270 -13.560 -13.603
1.900 -2.604 -2.539 -4.734 -7.464 -8.844 -9.435 -10.244 -10.127 -10.909 -10.957 -11.373 -11.817 -12.350 -12.687 -13.239 -13.533 -13.579
2.000 -2.055 -1.748 -4.220 -7.047 -8.572 -9.218 -10.088 -9.972 -10.796 -10.859 -11.286 -11.747 -12.298 -12.644 -13.207 -13.506 -13.553
2.100 -1.548 -0.935 -3.737 -6.638 -8.315 -9.014 -9.939 -9.825 -10.688 -10.765 -11.202 -11.679 -12.246 -12.600 -13.173 -13.477 -13.527
2.200 -1.103 -0.118 -3.302 -6.253 -8.079 -8.827 -9.802 -9.690 -10.586 -10.675 -11.120 -11.610 -12.192 -12.553 -13.137 -13.446 -13.498
2.300 -0.733 0.677 -2.933 -5.910 -7.871 -8.661 -9.677 -9.568 -10.490 -10.591 -11.042 -11.543 -12.138 -12.506 -13.098 -13.413 -13.467
2.400 -0.443 1.400 -2.640 -5.622 -7.695 -8.518 -9.566 -9.459 -10.402 -10.513 -10.968 -11.478 -12.084 -12.458 -13.058 -13.377 -13.434
2.500 -0.225 1.998 -2.416 -5.392 -7.550 -8.396 -9.468 -9.364 -10.321 -10.441 -10.899 -11.416 -12.030 -12.409 -13.016 -13.340 -13.399
2.600 -0.063 2.432 -2.250 -5.216 -7.430 -8.293 -9.381 -9.278 -10.247 -10.373 -10.833 -11.355 -11.976 -12.359 -12.973 -13.301 -13.362
2.700 0.058 2.709 -2.126 -5.083 -7.331 -8.204 -9.303 -9.202 -10.177 -10.308 -10.770 -11.295 -11.922 -12.308 -12.927 -13.259 -13.323
2.800 0.152 2.877 -2.031 -4.981 -7.248 -8.127 -9.232 -9.132 -10.112 -10.247 -10.709 -11.237 -11.868 -12.257 -12.880 -13.216 -13.281
2.900 0.219 2.965 -1.963 -4.910 -7.184 -8.065 -9.173 -9.074 -10.055 -10.192 -10.654 -11.183 -11.816 -12.206 -12.832 -13.169 -13.236
3.000 0.268 3.013 -1.915 -4.862 -7.136 -8.017 -9.125 -9.025 -10.007 -10.143 -10.606 -11.135 -11.768 -12.158 -12.783 -13.121 -13.188
3.100 0.318 3.063 -1.865 -4.812 -7.086 -7.967 -9.074 -8.975 -9.957 -10.093 -10.555 -11.085 -11.717 -12.108 -12.733 -13.071 -13.138
3.200 0.370 3.115 -1.813 -4.760 -7.034 -7.915 -9.023 -8.923 -9.905 -10.041 -10.504 -11.033 -11.665 -12.056 -12.681 -13.019 -13.086
3.300 0.423 3.169 -1.759 -4.707 -6.980 -7.861 -8.969 -8.870 -9.852 -9.988 -10.450 -10.980 -11.612 -12.002 -12.628 -12.965 -13.032
3.400 0.478 3.224 -1.704 -4.651 -6.925 -7.806 -8.914 -8.815 -9.796 -9.932 -10.395 -10.924 -11.557 -11.947 -12.572 -12.910 -12.977
3.500 0.535 3.280 -1.647 -4.595 -6.868 -7.749 -8.857 -8.758 -9.740 -9.876 -10.338 -10.868 -11.500 -11.890 -12.516 -12.854 -12.921
3.600 0.593 3.339 -1.589 -4.537 -6.810 -7.691 -8.799 -8.700 -9.681 -9.818 -10.280 -10.809 -11.442 -11.832 -12.458 -12.795 -12.862
3.700 0.653 3.399 -1.529 -4.476 -6.750 -7.631 -8.739 -8.640 -9.621 -9.758 -10.220 -10.749 -11.382 -11.772 -12.398 -12.735 -12.802
3.800 0.715 3.460 -1.468 -4.415 -6.689 -7.570 -8.678 -8.578 -9.560 -9.696 -10.159 -10.688 -11.321 -11.711 -12.336 -12.674 -12.741
3.900 0.777 3.523 -1.405 -4.353 -6.626 -7.507 -8.615 -8.516 -9.497 -9.634 -10.096 -10.625 -11.258 -11.648 -12.274 -12.611 -12.678
4.000 0.841 3.587 -1.341 -4.289 -6.562 -7.443 -8.551 -8.452 -9.433 -9.570 -10.032 -10.561 -11.194 -11.584 -12.210 -12.547 -12.614
4.100 0.906 3.652 -1.276 -4.223 -6.497 -7.378 -8.486 -8.387 -9.368 -9.504 -9.967 -10.496 -11.129 -11.519 -12.144 -12.482 -12.549
4.200 0.972 3.718 -1.210 -4.157 -6.431 -7.312 -8.420 -8.321 -9.302 -9.438 -9.901 -10.430 -11.063 -11.453 -12.079 -12.416 -12.483
4.300 1.040 3.785 -1.143 -4.090 -6.364 -7.245 -8.353 -8.253 -9.235 -9.371 -9.834 -10.363 -10.995 -11.386 -12.011 -12.349 -12.416
4.400 1.108 3.853 -1.075 -4.022 -6.296 -7.177 -8.284 -8.185 -9.167 -9.303 -9.765 -10.295 -10.927 -11.318 -11.943 -12.281 -12.348
4.500 1.176 3.922 -1.006 -3.953 -6.227 -7.108 -8.216 -8.117 -9.098 -9.235 -9.697 -10.226 -10.859 -11.249 -11.875 -12.212 -12.279
4.600 1.246 3.991 -0.937 -3.884 -6.158 -7.039 -8.147 -8.047 -9.029 -9.165 -9.628 -10.157 -10.790 -11.180 -11.805 -12.143 -12.210
4.700 1.315 4.061 -0.867 -3.815 -6.088 -6.969 -8.077 -7.978 -8.960 -9.096 -9.558 -10.088 -10.720 -11.110 -11.736 -12.073 -12.140
4.800 1.385 4.131 -0.797 -3.745 -6.018 -6.899 -8.007 -7.908 -8.890 -9.026 -9.488 -10.018 -10.650 -11.040 -11.666 -12.003 -12.070
4.900 1.455 4.201 -0.727 -3.675 -5.948 -6.829 -7.937 -7.838 -8.820 -8.956 -9.418 -9.948 -10.580 -10.970 -11.596 -11.933 -12.000
5.000 1.525 4.270 -0.658 -3.605 -5.879 -6.760 -7.867 -7.768 -8.750 -8.886 -9.348 -9.878 -10.510 -10.901 -11.526 -11.864 -11.931
5.100 1.594 4.340 -0.588 -3.535 -5.809 -6.690 -7.798 -7.699 -8.680 -8.816 -9.279 -9.808 -10.441 -10.831 -11.456 -11.794 -11.861
5.200 1.664 4.409 -0.519 -3.466 -5.740 -6.621 -7.728 -7.629 -8.611 -8.747 -9.209 -9.739 -10.371 -10.762 -11.387 -11.725 -11.792
5.300 1.733 4.478 -0.450 -3.397 -5.671 -6.552 -7.659 -7.560 -8.542 -8.678 -9.140 -9.670 -10.302 -10.693 -11.318 -11.656 -11.723
5.400 1.801 4.547 -0.381 -3.329 -5.602 -6.483 -7.591 -7.492 -8.474 -8.610 -9.072 -9.602 -10.234 -10.624 -11.250 -11.587 -11.654
5.500 1.869 4.614 -0.314 -3.261 -5.535 -6.416 -7.524 -7.424 -8.406 -8.542 -9.005 -9.534 -10.167 -10.557 -11.182 -11.520 -11.587
5.600 1.935 4.681 -0.247 -3.195 -5.468 -6.349 -7.457 -7.358 -8.340 -8.476 -8.938 -9.468 -10.100 -10.490 -11.116 -11.453 -11.520
