# day	W2	M2	W1	u	g	r	i	z	y	J	H	K
0.000	-13.400	-13.216	-13.021	-12.221	-11.729	-11.173	-10.772	-10.467	-10.233	-9.753	-9.130	-8.553
0.250	-15.356	-15.469	-15.484	-15.460	-15.292	-15.034	-14.805	-14.609	-14.449	-14.101	-13.605	-13.118
0.500	-14.216	-14.568	-14.840	-15.444	-15.545	-15.502	-15.390	-15.264	-15.151	-14.884	-14.462	-14.026
0.750	-12.864	-13.369	-13.922	-15.061	-15.426	-15.587	-15.584	-15.523	-15.453	-15.259	-14.903	-14.513
1.000	-11.446	-12.017	-12.874	-14.482	-15.117	-15.482	-15.589	-15.594	-15.568	-15.446	-15.155	-14.810
1.250	-10.078	-10.621	-11.794	-13.798	-14.697	-15.259	-15.477	-15.549	-15.567	-15.520	-15.295	-14.995
1.500	-8.956	-9.407	-10.852	-13.132	-14.256	-14.988	-15.307	-15.440	-15.500	-15.526	-15.365	-15.109
1.750	-8.116	-8.460	-10.116	-12.572	-13.866	-14.731	-15.132	-15.318	-15.415	-15.502	-15.393	-15.170
2.000	-7.445	-7.676	-9.516	-12.100	-13.534	-14.503	-14.970	-15.200	-15.326	-15.466	-15.405	-15.213
2.250	-6.855	-6.960	-8.981	-11.672	-13.234	-14.297	-14.822	-15.088	-15.241	-15.428	-15.409	-15.247
2.500	-6.302	-6.260	-8.475	-11.257	-12.947	-14.102	-14.683	-14.985	-15.162	-15.389	-15.405	-15.265
2.750	-5.764	-5.550	-7.974	-10.837	-12.658	-13.904	-14.542	-14.879	-15.080	-15.348	-15.396	-15.277
3.000	-5.227	-4.814	-7.469	-10.399	-12.355	-13.694	-14.388	-14.761	-14.987	-15.297	-15.382	-15.286
3.250	-4.690	-4.048	-6.956	-9.940	-12.035	-13.469	-14.221	-14.631	-14.882	-15.237	-15.361	-15.291
3.500	-4.148	-3.248	-6.433	-9.454	-11.697	-13.227	-14.039	-14.487	-14.765	-15.166	-15.331	-15.290
3.750	-3.595	-2.404	-5.894	-8.934	-11.334	-12.966	-13.840	-14.328	-14.633	-15.083	-15.292	-15.281
4.000	-3.033	-1.521	-5.344	-8.384	-10.948	-12.685	-13.624	-14.153	-14.487	-14.989	-15.244	-15.265
4.250	-2.461	-0.599	-4.781	-7.801	-10.537	-12.383	-13.390	-13.962	-14.327	-14.882	-15.186	-15.241
4.500	-1.877	0.361	-4.206	-7.185	-10.102	-12.060	-13.137	-13.754	-14.151	-14.763	-15.118	-15.208
4.750	-1.308	1.302	-3.646	-6.569	-9.661	-11.728	-12.873	-13.535	-13.963	-14.632	-15.038	-15.165
5.000	-1.204	1.401	-3.542	-6.467	-9.554	-11.616	-12.758	-13.419	-13.849	-14.522	-14.938	-15.076
5.250	-1.098	1.504	-3.436	-6.362	-9.445	-11.503	-12.643	-13.302	-13.731	-14.408	-14.834	-14.984
5.500	-0.990	1.609	-3.328	-6.256	-9.336	-11.390	-12.527	-13.184	-13.613	-14.292	-14.727	-14.889
5.750	-0.881	1.718	-3.218	-6.147	-9.225	-11.276	-12.410	-13.066	-13.494	-14.174	-14.617	-14.792
6.000	-0.770	1.828	-3.107	-6.036	-9.113	-11.162	-12.293	-12.947	-13.374	-14.055	-14.505	-14.693
6.250	-0.658	1.939	-2.995	-5.925	-9.001	-11.048	-12.177	-12.829	-13.254	-13.935	-14.392	-14.593
6.500	-0.546	2.051	-2.883	-5.813	-8.888	-10.934	-12.061	-12.711	-13.135	-13.815	-14.277	-14.492
6.750	-0.434	2.163	-2.771	-5.701	-8.776	-10.821	-11.946	-12.594	-13.016	-13.695	-14.163	-14.391
7.000	-0.324	2.273	-2.661	-5.591	-8.666	-10.710	-11.833	-12.480	-12.901	-13.578	-14.050	-14.291
7.250	-0.215	2.382	-2.552	-5.482	-8.557	-10.600	-11.722	-12.368	-12.787	-13.462	-13.938	-14.191
7.500	-0.109	2.488	-2.446	-5.376	-8.451	-10.493	-11.614	-12.258	-12.676	-13.348	-13.828	-14.093
7.750	-0.006	2.591	-2.343	-5.273	-8.348	-10.390	-11.510	-12.153	-12.569	-13.239	-13.720	-13.997
8.000	0.093	2.690	-2.244	-5.174	-8.248	-10.290	-11.410	-12.051	-12.466	-13.133	-13.615	-13.902
8.250	0.189	2.786	-2.148	-5.078	-8.153	-10.194	-11.313	-11.954	-12.368	-13.031	-13.513	-13.810
8.500	0.280	2.877	-2.057	-4.987	-8.062	-10.103	-11.222	-11.861	-12.274	-12.933	-13.414	-13.721
8.750	0.367	2.964	-1.970	-4.900	-7.975	-10.016	-11.134	-11.773	-12.185	-12.841	-13.320	-13.633
9.000	0.450	3.047	-1.887	-4.817	-7.892	-9.933	-11.051	-11.689	-12.100	-12.752	-13.228	-13.549
9.250	0.528	3.125	-1.809	-4.739	-7.814	-9.855	-10.972	-11.610	-12.020	-12.669	-13.142	-13.467
9.500	0.601	3.198	-1.735	-4.666	-7.740	-9.781	-10.898	-11.535	-11.945	-12.590	-13.059	-13.387
9.750	0.671	3.268	-1.666	-4.596	-7.670	-9.711	-10.828	-11.465	-11.873	-12.516	-12.979	-13.311
10.000	0.737	3.334	-1.600	-4.530	-7.604	-9.645	-10.762	-11.398	-11.806	-12.446	-12.904	-13.236
10.250	0.800	3.397	-1.537	-4.467	-7.542	-9.582	-10.699	-11.335	-11.743	-12.380	-12.832	-13.164
10.500	0.859	3.456	-1.478	-4.408	-7.482	-9.523	-10.640	-11.276	-11.683	-12.317	-12.763	-13.094
10.750	0.916	3.513	-1.421	-4.351	-7.426	-9.467	-10.583	-11.219	-11.626	-12.257	-12.697	-13.027
11.000	0.970	3.567	-1.367	-4.297	-7.372	-9.413	-10.529	-11.165	-11.571	-12.201	-12.635	-12.961
11.250	1.021	3.618	-1.316	-4.246	-7.320	-9.361	-10.478	-11.113	-11.519	-12.147	-12.575	-12.897
11.500	1.070	3.667	-1.267	-4.197	-7.271	-9.312	-10.429	-11.064	-11.470	-12.095	-12.517	-12.835
