# day	W2	M2	W1	u	g	r	i	z	y	J	H	K
0.000	-11.117	-11.087	-10.990	-10.597	-10.266	-9.853	-9.531	-9.275	-9.073	-8.649	-8.079	-7.538
0.250	-12.750	-13.137	-13.447	-14.114	-14.240	-14.225	-14.137	-14.030	-13.932	-13.692	-13.299	-12.884
0.500	-10.466	-11.028	-11.808	-13.306	-13.886	-14.230	-14.343	-14.360	-14.346	-14.255	-13.997	-13.676
0.750	-7.908	-8.410	-9.392	-11.332	-12.446	-13.271	-13.687	-13.896	-14.013	-14.146	-14.083	-13.891
1.000	-7.073	-7.638	-8.537	-10.232	-11.199	-12.155	-12.787	-13.172	-13.422	-13.797	-13.950	-13.903
1.250	-6.414	-6.978	-8.038	-9.905	-10.813	-11.645	-12.264	-12.690	-12.991	-13.485	-13.763	-13.805
1.500	-5.690	-6.210	-7.469	-9.562	-10.625	-11.522	-12.132	-12.538	-12.824	-13.292	-13.552	-13.584
1.750	-4.889	-5.321	-6.807	-9.118	-10.357	-11.349	-11.976	-12.378	-12.655	-13.105	-13.349	-13.373
2.000	-4.019	-4.307	-6.058	-8.575	-10.012	-11.120	-11.784	-12.193	-12.469	-12.909	-13.141	-13.157
2.250	-3.095	-3.167	-5.234	-7.937	-9.596	-10.836	-11.552	-11.979	-12.261	-12.701	-12.927	-12.936
2.500	-2.134	-1.899	-4.349	-7.208	-9.112	-10.501	-11.282	-11.736	-12.030	-12.482	-12.708	-12.714
2.750	-1.161	-0.510	-3.428	-6.397	-8.573	-10.119	-10.974	-11.464	-11.776	-12.249	-12.485	-12.493
3.000	-0.219	0.962	-2.519	-5.540	-8.001	-9.707	-10.641	-11.171	-11.507	-12.011	-12.265	-12.281
3.250	0.652	2.450	-1.668	-4.679	-7.421	-9.278	-10.289	-10.862	-11.224	-11.767	-12.048	-12.079
3.500	1.398	3.767	-0.934	-3.896	-6.871	-8.854	-9.936	-10.548	-10.938	-11.523	-11.838	-11.891
3.750	1.856	4.453	-0.481	-3.411	-6.486	-8.527	-9.643	-10.278	-10.683	-11.295	-11.632	-11.699
4.000	2.053	4.650	-0.284	-3.214	-6.289	-8.329	-9.446	-10.081	-10.485	-11.097	-11.435	-11.502
4.250	2.232	4.829	-0.105	-3.035	-6.110	-8.151	-9.267	-9.902	-10.307	-10.919	-11.256	-11.324
4.500	2.394	4.991	0.057	-2.873	-5.947	-7.988	-9.105	-9.740	-10.144	-10.756	-11.094	-11.161
4.750	2.541	5.138	0.204	-2.726	-5.801	-7.841	-8.958	-9.593	-9.997	-10.610	-10.947	-11.014
5.000	2.676	5.273	0.339	-2.591	-5.666	-7.707	-8.823	-9.458	-9.863	-10.475	-10.813	-10.880
5.250	2.800	5.397	0.463	-2.467	-5.542	-7.583	-8.699	-9.334	-9.739	-10.351	-10.689	-10.756
5.500	2.915	5.512	0.578	-2.352	-5.426	-7.467	-8.584	-9.219	-9.623	-10.235	-10.573	-10.640
5.750	3.023	5.620	0.686	-2.244	-5.318	-7.359	-8.476	-9.111	-9.515	-10.127	-10.465	-10.532
6.000	3.125	5.722	0.788	-2.142	-5.216	-7.257	-8.374	-9.008	-9.413	-10.025	-10.363	-10.430
6.250	3.222	5.819	0.885	-2.045	-5.119	-7.160	-8.277	-8.912	-9.316	-9.928	-10.266	-10.333
6.500	3.314	5.911	0.977	-1.953	-5.027	-7.068	-8.185	-8.819	-9.224	-9.836	-10.174	-10.241
6.750	3.402	5.999	1.065	-1.865	-4.939	-6.980	-8.097	-8.731	-9.136	-9.748	-10.086	-10.153
7.000	3.487	6.084	1.150	-1.780	-4.855	-6.896	-8.012	-8.647	-9.052	-9.664	-10.002	-10.069
7.250	3.567	6.164	1.231	-1.700	-4.774	-6.815	-7.931	-8.566	-8.971	-9.583	-9.921	-9.988
7.500	3.645	6.242	1.309	-1.622	-4.696	-6.737	-7.854	-8.488	-8.893	-9.505	-9.843	-9.910
7.750	3.720	6.317	1.383	-1.547	-4.621	-6.662	-7.779	-8.414	-8.818	-9.430	-9.768	-9.835
8.000	3.792	6.389	1.455	-1.475	-4.549	-6.590	-7.707	-8.341	-8.746	-9.358	-9.696	-9.763
8.250	3.862	6.459	1.525	-1.405	-4.479	-6.520	-7.637	-8.272	-8.676	-9.288	-9.626	-9.693
8.500	3.929	6.526	1.593	-1.338	-4.412	-6.453	-7.569	-8.204	-8.609	-9.221	-9.559	-9.626
8.750	3.995	6.592	1.658	-1.272	-4.347	-6.388	-7.504	-8.139	-8.544	-9.156	-9.493	-9.561
9.000	4.058	6.655	1.721	-1.209	-4.284	-6.324	-7.441	-8.076	-8.480	-9.092	-9.430	-9.497
9.250	4.119	6.716	1.782	-1.148	-4.222	-6.263	-7.380	-8.015	-8.419	-9.031	-9.369	-9.436
9.500	4.179	6.776	1.842	-1.088	-4.163	-6.204	-7.320	-7.955	-8.360	-8.972	-9.310	-9.377
9.750	4.236	6.833	1.899	-1.031	-4.105	-6.146	-7.263	-7.898	-8.302	-8.914	-9.252	-9.319
10.000	4.292	6.889	1.955	-0.975	-4.049	-6.090	-7.207	-7.841	-8.246	-8.858	-9.196	-9.263
10.250	4.347	6.944	2.010	-0.920	-3.995	-6.035	-7.152	-7.787	-8.191	-8.804	-9.141	-9.208
10.500	4.400	6.997	2.063	-0.867	-3.942	-5.982	-7.099	-7.734	-8.138	-8.751	-9.088	-9.155
10.750	4.452	7.049	2.115	-0.815	-3.890	-5.931	-7.047	-7.682	-8.087	-8.699	-9.036	-9.103
11.000	4.502	7.099	2.165	-0.765	-3.839	-5.880	-6.997	-7.632	-8.036	-8.648	-8.986	-9.053
11.250	4.551	7.148	2.214	-0.716	-3.790	-5.831	-6.948	-7.583	-7.987	-8.599	-8.937	-9.004
11.500	4.599	7.196	2.262	-0.668	-3.742	-5.783	-6.900	-7.535	-7.939	-8.551	-8.889	-8.956
11.750	4.646	7.243	2.309	-0.621	-3.696	-5.736	-6.853	-7.488	-7.892	-8.505	-8.842	-8.909
12.000	4.692	7.289	2.355	-0.575	-3.650	-5.691	-6.807	-7.442	-7.847	-8.459	-8.797	-8.864
12.250	4.736	7.333	2.399	-0.531	-3.605	-5.646	-6.763	-7.398	-7.802	-8.414	-8.752	-8.819
12.500	4.780	7.377	2.443	-0.487	-3.562	-5.602	-6.719	-7.354	-7.758	-8.371	-8.708	-8.775
12.750	4.823	7.420	2.486	-0.444	-3.519	-5.560	-6.676	-7.311	-7.716	-8.328	-8.666	-8.733
13.000	4.864	7.461	2.527	-0.403	-3.477	-5.518	-6.635	-7.269	-7.674	-8.286	-8.624	-8.691
13.250	4.905	7.502	2.568	-0.362	-3.436	-5.477	-6.594	-7.229	-7.633	-8.245	-8.583	-8.650
13.500	4.945	7.542	2.608	-0.322	-3.396	-5.437	-6.554	-7.189	-7.593	-8.205	-8.543	-8.610
13.750	4.984	7.581	2.648	-0.283	-3.357	-5.398	-6.514	-7.149	-7.554	-8.166	-8.504	-8.571
14.000	5.023	7.620	2.686	-0.244	-3.319	-5.359	-6.476	-7.111	-7.515	-8.128	-8.465	-8.532
14.250	5.061	7.658	2.724	-0.206	-3.281	-5.322	-6.438	-7.073	-7.478	-8.090	-8.428	-8.495
14.500	5.098	7.695	2.761	-0.169	-3.244	-5.285	-6.401	-7.036	-7.441	-8.053	-8.391	-8.458
14.750	5.134	7.731	2.797	-0.133	-3.208	-5.249	-6.365	-7.000	-7.404	-8.017	-8.354	-8.421
15.000	5.169	7.766	2.833	-0.098	-3.172	-5.213	-6.329	-6.964	-7.369	-7.981	-8.319	-8.386
15.250	5.204	7.801	2.868	-0.063	-3.137	-5.178	-6.295	-6.929	-7.334	-7.946	-8.284	-8.351
15.500	5.239	7.836	2.902	-0.028	-3.103	-5.144	-6.260	-6.895	-7.300	-7.912	-8.249	-8.316
15.750	5.272	7.869	2.936	0.005	-3.069	-5.110	-6.226	-6.861	-7.266	-7.878	-8.216	-8.283
16.000	5.306	7.903	2.969	0.039	-3.036	-5.077	-6.193	-6.828	-7.233	-7.845	-8.183	-8.250
16.250	5.338	7.935	3.001	0.071	-3.003	-5.044	-6.161	-6.796	-7.200	-7.812	-8.150	-8.217
16.500	5.370	7.967	3.033	0.103	-2.971	-5.012	-6.129	-6.764	-7.168	-7.780	-8.118	-8.185
16.750	5.402	7.999	3.065	0.135	-2.940	-4.981	-6.097	-6.732	-7.137	-7.749	-8.086	-8.153
17.000	5.433	8.030	3.096	0.166	-2.909	-4.950	-6.066	-6.701	-7.106	-7.718	-8.055	-8.122
17.250	5.463	8.060	3.126	0.196	-2.878	-4.919	-6.036	-6.670	-7.075	-7.687	-8.025	-8.092
17.500	5.493	8.090	3.156	0.226	-2.848	-4.889	-6.006	-6.640	-7.045	-7.657	-7.995	-8.062
17.750	5.523	8.120	3.186	0.256	-2.819	-4.859	-5.976	-6.611	-7.015	-7.628	-7.965	-8.032
18.000	5.552	8.149	3.215	0.285	-2.789	-4.830	-5.947	-6.582	-6.986	-7.598	-7.936	-8.003
18.250	5.581	8.178	3.244	0.314	-2.761	-4.802	-5.918	-6.553	-6.957	-7.570	-7.907	-7.974
18.500	5.609	8.206	3.272	0.342	-2.732	-4.773	-5.890	-6.525	-6.929	-7.541	-7.879	-7.946
