# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -9.796 -9.593 -9.391 -8.538 -8.172 -7.994 -7.683 -7.807 -7.427 -7.611 -7.286 -7.006 -6.691 -6.448 -5.957 -5.322 -4.735
0.100 -14.277 -14.274 -14.205 -13.922 -13.744 -13.648 -13.475 -13.539 -13.318 -13.408 -13.227 -13.041 -12.816 -12.633 -12.250 -11.716 -11.202
0.200 -13.903 -14.071 -14.143 -14.278 -14.229 -14.187 -14.100 -14.129 -14.002 -14.044 -13.942 -13.808 -13.634 -13.484 -13.160 -12.679 -12.201
0.300 -13.246 -13.561 -13.790 -14.301 -14.372 -14.378 -14.365 -14.367 -14.319 -14.324 -14.286 -14.196 -14.064 -13.942 -13.665 -13.227 -12.778
0.400 -12.597 -13.018 -13.398 -14.216 -14.394 -14.444 -14.495 -14.475 -14.495 -14.473 -14.487 -14.434 -14.339 -14.241 -14.005 -13.604 -13.179
0.500 -12.049 -12.531 -13.036 -14.088 -14.358 -14.447 -14.554 -14.516 -14.595 -14.551 -14.609 -14.589 -14.527 -14.450 -14.252 -13.883 -13.481
0.600 -11.601 -12.115 -12.717 -13.945 -14.293 -14.414 -14.569 -14.517 -14.646 -14.588 -14.680 -14.691 -14.658 -14.601 -14.438 -14.101 -13.719
0.700 -11.205 -11.739 -12.423 -13.792 -14.206 -14.357 -14.554 -14.490 -14.663 -14.594 -14.717 -14.753 -14.749 -14.711 -14.581 -14.273 -13.911
0.800 -10.810 -11.360 -12.128 -13.625 -14.102 -14.279 -14.514 -14.441 -14.654 -14.577 -14.726 -14.787 -14.809 -14.789 -14.690 -14.411 -14.069
0.900 -10.391 -10.951 -11.812 -13.441 -13.979 -14.183 -14.454 -14.372 -14.623 -14.540 -14.712 -14.796 -14.843 -14.840 -14.773 -14.521 -14.199
1.000 -9.936 -10.497 -11.466 -13.233 -13.836 -14.066 -14.374 -14.284 -14.571 -14.484 -14.678 -14.784 -14.856 -14.870 -14.834 -14.609 -14.306
1.100 -9.443 -9.992 -11.085 -12.999 -13.671 -13.930 -14.275 -14.178 -14.502 -14.410 -14.627 -14.754 -14.851 -14.882 -14.875 -14.678 -14.394
1.200 -8.925 -9.444 -10.676 -12.740 -13.487 -13.776 -14.160 -14.055 -14.417 -14.323 -14.560 -14.710 -14.831 -14.878 -14.901 -14.732 -14.467
1.300 -8.396 -8.863 -10.250 -12.462 -13.288 -13.607 -14.031 -13.920 -14.319 -14.223 -14.481 -14.652 -14.798 -14.861 -14.914 -14.771 -14.525
1.400 -7.882 -8.275 -9.823 -12.173 -13.078 -13.429 -13.893 -13.775 -14.211 -14.116 -14.393 -14.585 -14.755 -14.834 -14.915 -14.799 -14.572
1.500 -7.403 -7.709 -9.413 -11.882 -12.864 -13.246 -13.748 -13.625 -14.097 -14.003 -14.298 -14.511 -14.704 -14.799 -14.908 -14.818 -14.610
1.600 -6.975 -7.187 -9.035 -11.601 -12.654 -13.065 -13.603 -13.476 -13.982 -13.891 -14.202 -14.434 -14.650 -14.760 -14.896 -14.828 -14.636
1.700 -6.603 -6.728 -8.698 -11.338 -12.454 -12.891 -13.462 -13.332 -13.868 -13.782 -14.106 -14.357 -14.595 -14.720 -14.881 -14.834 -14.655
1.800 -6.278 -6.322 -8.398 -11.095 -12.267 -12.726 -13.327 -13.195 -13.758 -13.677 -14.014 -14.281 -14.540 -14.679 -14.863 -14.835 -14.668
1.900 -5.988 -5.955 -8.126 -10.870 -12.092 -12.572 -13.199 -13.066 -13.654 -13.579 -13.926 -14.209 -14.488 -14.639 -14.845 -14.834 -14.676
2.000 -5.719 -5.608 -7.873 -10.658 -11.926 -12.425 -13.077 -12.943 -13.552 -13.484 -13.840 -14.138 -14.435 -14.598 -14.825 -14.831 -14.683
2.100 -5.466 -5.273 -7.633 -10.455 -11.767 -12.285 -12.959 -12.825 -13.455 -13.393 -13.757 -14.068 -14.382 -14.557 -14.805 -14.827 -14.689
2.200 -5.216 -4.935 -7.396 -10.254 -11.610 -12.145 -12.842 -12.707 -13.357 -13.302 -13.673 -13.997 -14.328 -14.515 -14.783 -14.822 -14.695
2.300 -4.970 -4.594 -7.161 -10.052 -11.453 -12.007 -12.726 -12.591 -13.260 -13.212 -13.590 -13.926 -14.274 -14.472 -14.760 -14.816 -14.700
2.400 -4.723 -4.242 -6.922 -9.844 -11.293 -11.864 -12.606 -12.471 -13.160 -13.119 -13.505 -13.853 -14.217 -14.427 -14.734 -14.808 -14.704
2.500 -4.476 -3.883 -6.682 -9.632 -11.129 -11.720 -12.484 -12.350 -13.059 -13.025 -13.418 -13.778 -14.159 -14.380 -14.708 -14.799 -14.707
2.600 -4.227 -3.514 -6.439 -9.414 -10.962 -11.572 -12.360 -12.226 -12.955 -12.930 -13.329 -13.702 -14.100 -14.331 -14.680 -14.788 -14.707
2.700 -3.979 -3.134 -6.194 -9.190 -10.792 -11.424 -12.237 -12.104 -12.854 -12.838 -13.244 -13.629 -14.044 -14.286 -14.652 -14.773 -14.700
2.800 -3.727 -2.742 -5.944 -8.957 -10.615 -11.268 -12.107 -11.975 -12.746 -12.740 -13.152 -13.551 -13.983 -14.237 -14.621 -14.757 -14.693
2.900 -3.469 -2.335 -5.687 -8.713 -10.429 -11.104 -11.969 -11.839 -12.631 -12.636 -13.055 -13.466 -13.916 -14.182 -14.587 -14.740 -14.685
3.000 -3.210 -1.919 -5.426 -8.462 -10.236 -10.933 -11.825 -11.697 -12.511 -12.527 -12.952 -13.377 -13.846 -14.124 -14.551 -14.720 -14.676
3.100 -2.945 -1.488 -5.160 -8.199 -10.035 -10.755 -11.674 -11.548 -12.384 -12.413 -12.843 -13.281 -13.770 -14.061 -14.510 -14.698 -14.666
3.200 -2.678 -1.046 -4.889 -7.928 -9.825 -10.569 -11.515 -11.392 -12.250 -12.293 -12.729 -13.180 -13.689 -13.994 -14.467 -14.674 -14.654
3.300 -2.407 -0.593 -4.614 -7.648 -9.609 -10.376 -11.350 -11.231 -12.110 -12.167 -12.608 -13.074 -13.603 -13.922 -14.419 -14.647 -14.641
3.400 -2.131 -0.126 -4.333 -7.357 -9.384 -10.175 -11.177 -11.061 -11.963 -12.035 -12.482 -12.961 -13.511 -13.845 -14.368 -14.618 -14.625
3.500 -1.854 0.347 -4.052 -7.061 -9.153 -9.969 -11.000 -10.888 -11.811 -11.900 -12.351 -12.843 -13.415 -13.764 -14.313 -14.586 -14.608
3.600 -1.575 0.828 -3.766 -6.756 -8.916 -9.756 -10.815 -10.707 -11.653 -11.758 -12.214 -12.720 -13.314 -13.678 -14.255 -14.550 -14.589
3.700 -1.294 1.312 -3.480 -6.446 -8.673 -9.537 -10.625 -10.522 -11.489 -11.612 -12.072 -12.592 -13.208 -13.587 -14.193 -14.512 -14.567
3.800 -1.081 1.665 -3.263 -6.210 -8.484 -9.365 -10.473 -10.374 -11.355 -11.491 -11.954 -12.483 -13.116 -13.506 -14.132 -14.469 -14.536
3.900 -1.029 1.716 -3.212 -6.159 -8.433 -9.314 -10.422 -10.322 -11.304 -11.440 -11.903 -12.432 -13.064 -13.455 -14.080 -14.418 -14.485
4.000 -0.977 1.769 -3.159 -6.107 -8.380 -9.261 -10.369 -10.270 -11.252 -11.388 -11.850 -12.380 -13.012 -13.402 -14.028 -14.365 -14.432
4.100 -0.924 1.822 -3.106 -6.053 -8.327 -9.208 -10.316 -10.217 -11.198 -11.334 -11.797 -12.326 -12.959 -13.349 -13.975 -14.312 -14.379
4.200 -0.870 1.876 -3.052 -6.000 -8.273 -9.154 -10.262 -10.163 -11.144 -11.281 -11.743 -12.273 -12.905 -13.295 -13.921 -14.258 -14.325
4.300 -0.815 1.930 -2.998 -5.945 -8.219 -9.100 -10.207 -10.108 -11.090 -11.226 -11.688 -12.218 -12.850 -13.241 -13.866 -14.204 -14.271
4.400 -0.760 1.986 -2.942 -5.890 -8.163 -9.044 -10.152 -10.053 -11.035 -11.171 -11.633 -12.163 -12.795 -13.185 -13.811 -14.148 -14.215
4.500 -0.705 2.041 -2.887 -5.834 -8.108 -8.989 -10.097 -9.998 -10.979 -11.115 -11.578 -12.107 -12.740 -13.130 -13.755 -14.093 -14.160
4.600 -0.649 2.097 -2.831 -5.778 -8.052 -8.933 -10.041 -9.942 -10.923 -11.060 -11.522 -12.051 -12.684 -13.074 -13.700 -14.037 -14.104
4.700 -0.593 2.153 -2.775 -5.723 -7.996 -8.877 -9.985 -9.886 -10.867 -11.004 -11.466 -11.996 -12.628 -13.018 -13.644 -13.981 -14.048
4.800 -0.537 2.209 -2.719 -5.666 -7.940 -8.821 -9.929 -9.830 -10.811 -10.948 -11.410 -11.939 -12.572 -12.962 -13.588 -13.925 -13.992
4.900 -0.481 2.265 -2.663 -5.611 -7.884 -8.765 -9.873 -9.774 -10.755 -10.892 -11.354 -11.883 -12.516 -12.906 -13.532 -13.869 -13.936
5.000 -0.425 2.320 -2.608 -5.555 -7.829 -8.710 -9.818 -9.718 -10.700 -10.836 -11.299 -11.828 -12.460 -12.851 -13.476 -13.814 -13.881
5.100 -0.370 2.375 -2.553 -5.500 -7.774 -8.655 -9.762 -9.663 -10.645 -10.781 -11.243 -11.773 -12.405 -12.796 -13.421 -13.759 -13.826
5.200 -0.316 2.430 -2.498 -5.445 -7.719 -8.600 -9.708 -9.608 -10.590 -10.726 -11.189 -11.718 -12.351 -12.741 -13.366 -13.704 -13.771
5.300 -0.261 2.484 -2.444 -5.391 -7.665 -8.546 -9.654 -9.554 -10.536 -10.672 -11.135 -11.664 -12.297 -12.687 -13.312 -13.650 -13.717
5.400 -0.208 2.538 -2.390 -5.338 -7.611 -8.492 -9.600 -9.501 -10.483 -10.619 -11.081 -11.611 -12.243 -12.633 -13.259 -13.597 -13.664
5.500 -0.156 2.590 -2.338 -5.285 -7.559 -8.440 -9.548 -9.449 -10.430 -10.566 -11.029 -11.558 -12.191 -12.581 -13.206 -13.544 -13.611
5.600 -0.104 2.642 -2.286 -5.234 -7.507 -8.388 -9.496 -9.397 -10.379 -10.515 -10.977 -11.507 -12.139 -12.529 -13.155 -13.492 -13.559
5.700 -0.053 2.692 -2.236 -5.183 -7.457 -8.338 -9.445 -9.346 -10.328 -10.464 -10.926 -11.456 -12.088 -12.479 -13.104 -13.442 -13.509
5.800 -0.004 2.742 -2.186 -5.133 -7.407 -8.288 -9.396 -9.297 -10.278 -10.414 -10.877 -11.406 -12.039 -12.429 -13.054 -13.392 -13.459
5.900 0.045 2.790 -2.137 -5.085 -7.358 -8.239 -9.347 -9.248 -10.230 -10.366 -10.828 -11.358 -11.990 -12.380 -13.006 -13.344 -13.411
6.000 0.092 2.838 -2.090 -5.037 -7.311 -8.192 -9.300 -9.201 -10.182 -10.319 -10.781 -11.310 -11.943 -12.333 -12.959 -13.296 -13.363
6.100 0.138 2.884 -2.044 -4.991 -7.265 -8.146 -9.254 -9.155 -10.136 -10.272 -10.735 -11.264 -11.897 -12.287 -12.912 -13.250 -13.317
6.200 0.183 2.929 -1.999 -4.946 -7.220 -8.101 -9.209 -9.110 -10.091 -10.227 -10.690 -11.219 -11.852 -12.242 -12.868 -13.205 -13.272
6.300 0.227 2.973 -1.955 -4.903 -7.176 -8.057 -9.165 -9.066 -10.047 -10.184 -10.646 -11.175 -11.808 -12.198 -12.824 -13.161 -13.228
6.400 0.270 3.015 -1.913 -4.860 -7.134 -8.015 -9.123 -9.023 -10.005 -10.141 -10.604 -11.133 -11.765 -12.156 -12.781 -13.119 -13.186
6.500 0.311 3.057 -1.871 -4.819 -7.092 -7.973 -9.081 -8.982 -9.964 -10.100 -10.562 -11.092 -11.724 -12.114 -12.740 -13.077 -13.144
6.600 0.351 3.097 -1.831 -4.779 -7.052 -7.933 -9.041 -8.942 -9.923 -10.060 -10.522 -11.051 -11.684 -12.074 -12.700 -13.037 -13.104
6.700 0.390 3.136 -1.792 -4.740 -7.013 -7.894 -9.002 -8.903 -9.884 -10.021 -10.483 -11.013 -11.645 -12.035 -12.661 -12.998 -13.065
6.800 0.428 3.174 -1.754 -4.702 -6.975 -7.856 -8.964 -8.865 -9.847 -9.983 -10.445 -10.975 -11.607 -11.997 -12.623 -12.960 -13.027
6.900 0.465 3.210 -1.718 -4.665 -6.939 -7.820 -8.927 -8.828 -9.810 -9.946 -10.408 -10.938 -11.570 -11.961 -12.586 -12.924 -12.991
7.000 0.500 3.246 -1.682 -4.629 -6.903 -7.784 -8.892 -8.793 -9.774 -9.910 -10.373 -10.902 -11.535 -11.925 -12.551 -12.888 -12.955
7.100 0.535 3.281 -1.647 -4.595 -6.868 -7.749 -8.857 -8.758 -9.740 -9.876 -10.338 -10.868 -11.500 -11.890 -12.516 -12.853 -12.921
7.200 0.569 3.314 -1.614 -4.561 -6.835 -7.716 -8.824 -8.724 -9.706 -9.842 -10.305 -10.834 -11.466 -11.857 -12.482 -12.820 -12.887
