# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -7.159 -7.019 -6.851 -6.158 -5.837 -5.678 -5.398 -5.508 -5.164 -5.325 -5.033 -4.773 -4.477 -4.246 -3.776 -3.162 -2.590
0.100 -12.197 -12.391 -12.472 -12.600 -12.530 -12.477 -12.370 -12.407 -12.259 -12.311 -12.192 -12.047 -11.862 -11.706 -11.372 -10.884 -10.403
0.200 -12.468 -12.767 -12.959 -13.352 -13.363 -13.342 -13.287 -13.304 -13.211 -13.236 -13.163 -13.048 -12.894 -12.760 -12.465 -12.016 -11.562
0.300 -12.495 -12.862 -13.141 -13.724 -13.797 -13.802 -13.783 -13.787 -13.733 -13.741 -13.699 -13.606 -13.474 -13.354 -13.087 -12.664 -12.229
0.400 -12.452 -12.867 -13.219 -13.953 -14.078 -14.104 -14.116 -14.109 -14.087 -14.081 -14.064 -13.988 -13.874 -13.765 -13.519 -13.117 -12.698
0.500 -12.367 -12.820 -13.238 -14.100 -14.272 -14.317 -14.356 -14.340 -14.346 -14.328 -14.333 -14.273 -14.173 -14.074 -13.846 -13.461 -13.056
0.600 -12.269 -12.751 -13.229 -14.202 -14.416 -14.477 -14.541 -14.517 -14.548 -14.521 -14.544 -14.498 -14.411 -14.321 -14.109 -13.740 -13.345
0.700 -12.160 -12.666 -13.200 -14.272 -14.525 -14.602 -14.688 -14.656 -14.711 -14.675 -14.715 -14.681 -14.607 -14.525 -14.327 -13.971 -13.587
0.800 -12.047 -12.572 -13.157 -14.319 -14.608 -14.700 -14.807 -14.769 -14.845 -14.802 -14.857 -14.835 -14.772 -14.698 -14.513 -14.169 -13.794
0.900 -11.931 -12.472 -13.107 -14.351 -14.673 -14.779 -14.906 -14.861 -14.958 -14.908 -14.978 -14.967 -14.914 -14.847 -14.674 -14.342 -13.976
1.000 -11.809 -12.361 -13.044 -14.365 -14.721 -14.840 -14.986 -14.936 -15.052 -14.995 -15.079 -15.078 -15.036 -14.976 -14.814 -14.493 -14.135
1.100 -11.687 -12.248 -12.978 -14.371 -14.757 -14.889 -15.053 -14.998 -15.132 -15.070 -15.167 -15.176 -15.144 -15.090 -14.940 -14.629 -14.278
1.200 -11.565 -12.134 -12.907 -14.368 -14.784 -14.928 -15.110 -15.049 -15.201 -15.135 -15.243 -15.262 -15.240 -15.191 -15.052 -14.751 -14.408
1.300 -11.439 -12.013 -12.830 -14.355 -14.800 -14.957 -15.155 -15.090 -15.259 -15.188 -15.308 -15.337 -15.324 -15.281 -15.153 -14.861 -14.525
1.400 -11.315 -11.891 -12.752 -14.338 -14.811 -14.979 -15.194 -15.124 -15.310 -15.235 -15.365 -15.403 -15.399 -15.363 -15.244 -14.962 -14.633
1.500 -11.190 -11.767 -12.670 -14.314 -14.815 -14.994 -15.225 -15.151 -15.353 -15.274 -15.415 -15.462 -15.467 -15.437 -15.328 -15.054 -14.731
1.600 -11.061 -11.637 -12.582 -14.283 -14.811 -15.002 -15.248 -15.170 -15.388 -15.306 -15.457 -15.512 -15.527 -15.502 -15.403 -15.139 -14.822
1.700 -10.937 -11.511 -12.497 -14.251 -14.806 -15.007 -15.268 -15.187 -15.419 -15.334 -15.495 -15.559 -15.582 -15.563 -15.474 -15.218 -14.907
1.800 -10.807 -11.377 -12.405 -14.211 -14.792 -15.005 -15.281 -15.196 -15.444 -15.356 -15.526 -15.599 -15.632 -15.619 -15.539 -15.289 -14.981
1.900 -10.678 -11.242 -12.311 -14.168 -14.775 -14.999 -15.289 -15.201 -15.464 -15.374 -15.553 -15.635 -15.676 -15.669 -15.598 -15.355 -15.051
2.000 -10.552 -11.109 -12.218 -14.124 -14.756 -14.990 -15.295 -15.204 -15.481 -15.389 -15.576 -15.667 -15.717 -15.716 -15.654 -15.418 -15.118
2.100 -10.420 -10.969 -12.119 -14.073 -14.731 -14.975 -15.295 -15.201 -15.492 -15.398 -15.594 -15.693 -15.753 -15.757 -15.705 -15.476 -15.179
2.200 -10.288 -10.827 -12.019 -14.019 -14.702 -14.957 -15.291 -15.194 -15.499 -15.403 -15.608 -15.716 -15.784 -15.794 -15.752 -15.530 -15.237
2.300 -10.158 -10.685 -11.918 -13.964 -14.671 -14.937 -15.285 -15.185 -15.504 -15.407 -15.620 -15.735 -15.813 -15.828 -15.795 -15.581 -15.292
2.400 -10.027 -10.541 -11.816 -13.905 -14.637 -14.913 -15.275 -15.172 -15.505 -15.407 -15.628 -15.751 -15.838 -15.859 -15.836 -15.629 -15.344
2.500 -9.891 -10.391 -11.708 -13.841 -14.598 -14.885 -15.260 -15.155 -15.502 -15.403 -15.631 -15.763 -15.858 -15.886 -15.872 -15.672 -15.392
2.600 -9.756 -10.239 -11.599 -13.774 -14.557 -14.854 -15.243 -15.135 -15.496 -15.396 -15.632 -15.772 -15.876 -15.909 -15.905 -15.714 -15.438
2.700 -9.622 -10.088 -11.490 -13.707 -14.514 -14.821 -15.224 -15.114 -15.488 -15.387 -15.631 -15.779 -15.892 -15.931 -15.937 -15.753 -15.482
2.800 -9.487 -9.934 -11.380 -13.636 -14.468 -14.786 -15.202 -15.090 -15.477 -15.376 -15.627 -15.783 -15.905 -15.950 -15.965 -15.789 -15.523
2.900 -9.348 -9.774 -11.264 -13.560 -14.418 -14.746 -15.176 -15.062 -15.462 -15.361 -15.619 -15.783 -15.914 -15.965 -15.991 -15.823 -15.561
3.000 -9.209 -9.612 -11.148 -13.482 -14.365 -14.704 -15.148 -15.031 -15.445 -15.344 -15.609 -15.781 -15.921 -15.978 -16.014 -15.854 -15.598
3.100 -9.070 -9.449 -11.030 -13.402 -14.310 -14.659 -15.117 -14.999 -15.425 -15.325 -15.597 -15.777 -15.926 -15.989 -16.035 -15.884 -15.632
3.200 -8.931 -9.284 -10.911 -13.320 -14.254 -14.613 -15.084 -14.964 -15.404 -15.304 -15.582 -15.770 -15.929 -15.998 -16.055 -15.911 -15.665
3.300 -8.790 -9.115 -10.790 -13.235 -14.194 -14.564 -15.049 -14.927 -15.379 -15.281 -15.565 -15.762 -15.929 -16.004 -16.071 -15.937 -15.695
3.400 -8.646 -8.941 -10.664 -13.146 -14.130 -14.511 -15.010 -14.886 -15.352 -15.254 -15.545 -15.749 -15.927 -16.008 -16.086 -15.960 -15.724
3.500 -8.502 -8.766 -10.538 -13.054 -14.065 -14.456 -14.969 -14.844 -15.323 -15.226 -15.524 -15.736 -15.923 -16.010 -16.099 -15.981 -15.751
3.600 -8.357 -8.587 -10.410 -12.960 -13.997 -14.399 -14.925 -14.799 -15.291 -15.195 -15.499 -15.720 -15.916 -16.010 -16.109 -16.001 -15.776
3.700 -8.212 -8.406 -10.281 -12.864 -13.927 -14.340 -14.880 -14.752 -15.257 -15.164 -15.474 -15.702 -15.908 -16.008 -16.119 -16.019 -15.800
3.800 -8.066 -8.223 -10.150 -12.765 -13.855 -14.279 -14.833 -14.704 -15.221 -15.130 -15.446 -15.682 -15.898 -16.004 -16.126 -16.036 -15.822
3.900 -7.918 -8.036 -10.017 -12.663 -13.780 -14.215 -14.783 -14.653 -15.183 -15.094 -15.416 -15.660 -15.886 -15.999 -16.132 -16.051 -15.843
