# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -7.005 -6.916 -6.777 -6.201 -5.910 -5.764 -5.504 -5.605 -5.283 -5.430 -5.159 -4.911 -4.626 -4.403 -3.946 -3.344 -2.780
0.100 -8.752 -9.235 -9.806 -10.993 -11.312 -11.417 -11.544 -11.499 -11.594 -11.542 -11.609 -11.592 -11.527 -11.446 -11.236 -10.852 -10.437
0.200 -8.152 -8.660 -9.459 -11.058 -11.589 -11.785 -12.041 -11.961 -12.190 -12.106 -12.263 -12.325 -12.341 -12.314 -12.197 -11.893 -11.532
0.300 -7.692 -8.189 -9.113 -10.931 -11.605 -11.865 -12.210 -12.112 -12.432 -12.336 -12.549 -12.667 -12.744 -12.757 -12.710 -12.468 -12.147
0.400 -7.321 -7.807 -8.812 -10.762 -11.544 -11.854 -12.268 -12.158 -12.546 -12.449 -12.701 -12.862 -12.990 -13.036 -13.048 -12.857 -12.570
0.500 -6.986 -7.465 -8.534 -10.571 -11.439 -11.790 -12.260 -12.143 -12.589 -12.494 -12.776 -12.974 -13.146 -13.222 -13.287 -13.141 -12.885
0.600 -6.676 -7.149 -8.277 -10.380 -11.318 -11.703 -12.222 -12.100 -12.593 -12.506 -12.811 -13.041 -13.252 -13.355 -13.468 -13.363 -13.135
0.700 -6.373 -6.839 -8.029 -10.189 -11.187 -11.602 -12.163 -12.038 -12.573 -12.494 -12.818 -13.076 -13.323 -13.451 -13.608 -13.542 -13.339
0.800 -6.069 -6.522 -7.781 -9.997 -11.049 -11.491 -12.089 -11.963 -12.535 -12.466 -12.806 -13.090 -13.370 -13.520 -13.719 -13.689 -13.511
0.900 -5.756 -6.187 -7.525 -9.800 -10.904 -11.371 -12.005 -11.877 -12.484 -12.425 -12.780 -13.087 -13.398 -13.570 -13.808 -13.813 -13.657
1.000 -5.428 -5.828 -7.253 -9.589 -10.744 -11.237 -11.904 -11.777 -12.415 -12.369 -12.736 -13.065 -13.406 -13.600 -13.876 -13.914 -13.782
1.100 -5.086 -5.443 -6.969 -9.373 -10.582 -11.100 -11.800 -11.673 -12.342 -12.308 -12.687 -13.036 -13.407 -13.620 -13.933 -14.003 -13.892
1.200 -4.725 -5.023 -6.664 -9.139 -10.408 -10.951 -11.685 -11.558 -12.258 -12.237 -12.626 -12.996 -13.395 -13.628 -13.976 -14.078 -13.988
1.300 -4.348 -4.568 -6.339 -8.889 -10.222 -10.793 -11.561 -11.435 -12.165 -12.158 -12.558 -12.947 -13.374 -13.626 -14.010 -14.142 -14.073
1.400 -3.957 -4.076 -5.997 -8.621 -10.026 -10.625 -11.429 -11.305 -12.065 -12.073 -12.482 -12.890 -13.344 -13.616 -14.034 -14.197 -14.148
1.500 -3.556 -3.547 -5.640 -8.338 -9.822 -10.452 -11.293 -11.170 -11.961 -11.985 -12.403 -12.829 -13.311 -13.601 -14.053 -14.245 -14.216
1.600 -3.144 -2.978 -5.264 -8.030 -9.599 -10.262 -11.141 -11.021 -11.843 -11.884 -12.311 -12.756 -13.265 -13.575 -14.061 -14.283 -14.274
1.700 -2.736 -2.374 -4.886 -7.713 -9.376 -10.073 -10.992 -10.875 -11.727 -11.786 -12.221 -12.684 -13.220 -13.548 -14.068 -14.318 -14.329
1.800 -2.328 -1.734 -4.499 -7.375 -9.138 -9.871 -10.830 -10.717 -11.600 -11.679 -12.121 -12.602 -13.166 -13.513 -14.066 -14.345 -14.375
1.900 -1.928 -1.062 -4.112 -7.024 -8.892 -9.662 -10.663 -10.554 -11.468 -11.567 -12.016 -12.515 -13.106 -13.472 -14.058 -14.367 -14.416
2.000 -1.602 -0.390 -3.793 -6.731 -8.709 -9.513 -10.549 -10.443 -11.381 -11.496 -11.949 -12.461 -13.071 -13.449 -14.057 -14.383 -14.444
2.100 -1.403 0.225 -3.595 -6.553 -8.627 -9.456 -10.514 -10.410 -11.361 -11.481 -11.937 -12.453 -13.069 -13.449 -14.061 -14.389 -14.451
2.200 -1.258 0.760 -3.449 -6.413 -8.561 -9.408 -10.483 -10.380 -11.341 -11.466 -11.924 -12.444 -13.064 -13.447 -14.062 -14.392 -14.454
2.300 -1.161 1.172 -3.349 -6.311 -8.511 -9.371 -10.459 -10.357 -11.326 -11.454 -11.914 -12.437 -13.060 -13.445 -14.063 -14.394 -14.458
2.400 -1.098 1.444 -3.283 -6.241 -8.475 -9.344 -10.440 -10.339 -11.313 -11.444 -11.905 -12.430 -13.057 -13.444 -14.063 -14.397 -14.461
2.500 -1.054 1.604 -3.238 -6.192 -8.446 -9.321 -10.422 -10.322 -11.299 -11.433 -11.894 -12.421 -13.050 -13.438 -14.060 -14.394 -14.460
2.600 -1.025 1.690 -3.208 -6.158 -8.424 -9.302 -10.407 -10.307 -11.287 -11.422 -11.884 -12.412 -13.042 -13.432 -14.055 -14.391 -14.457
2.700 -1.006 1.733 -3.188 -6.136 -8.408 -9.288 -10.395 -10.296 -11.277 -11.413 -11.875 -12.404 -13.036 -13.426 -14.050 -14.387 -14.454
2.800 -0.995 1.750 -3.178 -6.125 -8.399 -9.280 -10.387 -10.288 -11.270 -11.406 -11.868 -12.398 -13.030 -13.421 -14.046 -14.384 -14.451
2.900 -0.988 1.757 -3.171 -6.118 -8.392 -9.273 -10.381 -10.281 -11.263 -11.399 -11.862 -12.391 -13.023 -13.414 -14.039 -14.377 -14.444
3.000 -0.980 1.766 -3.162 -6.110 -8.383 -9.264 -10.372 -10.273 -11.255 -11.391 -11.853 -12.383 -13.015 -13.405 -14.031 -14.368 -14.435
