# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -7.055 -6.920 -6.755 -6.071 -5.751 -5.593 -5.314 -5.423 -5.079 -5.240 -4.949 -4.689 -4.393 -4.163 -3.693 -3.078 -2.506
0.100 -11.361 -11.644 -11.826 -12.212 -12.226 -12.207 -12.150 -12.168 -12.071 -12.096 -12.018 -11.897 -11.731 -11.586 -11.267 -10.789 -10.312
0.200 -11.375 -11.768 -12.097 -12.800 -12.927 -12.955 -12.971 -12.962 -12.943 -12.935 -12.919 -12.843 -12.721 -12.606 -12.338 -11.907 -11.462
0.300 -11.229 -11.688 -12.130 -13.052 -13.262 -13.324 -13.391 -13.366 -13.402 -13.372 -13.398 -13.353 -13.264 -13.170 -12.941 -12.544 -12.122
0.400 -11.032 -11.536 -12.076 -13.174 -13.453 -13.544 -13.653 -13.614 -13.694 -13.650 -13.708 -13.689 -13.627 -13.550 -13.352 -12.983 -12.581
0.500 -10.822 -11.356 -11.984 -13.230 -13.569 -13.685 -13.830 -13.780 -13.899 -13.843 -13.928 -13.931 -13.891 -13.830 -13.659 -13.315 -12.930
0.600 -10.601 -11.156 -11.867 -13.243 -13.637 -13.776 -13.954 -13.895 -14.047 -13.982 -14.091 -14.113 -14.095 -14.047 -13.901 -13.580 -13.210
0.700 -10.374 -10.942 -11.732 -13.226 -13.672 -13.832 -14.040 -13.973 -14.156 -14.084 -14.213 -14.254 -14.255 -14.220 -14.098 -13.797 -13.441
0.800 -10.142 -10.716 -11.583 -13.186 -13.681 -13.862 -14.099 -14.025 -14.237 -14.159 -14.307 -14.365 -14.384 -14.362 -14.261 -13.979 -13.638
0.900 -9.913 -10.488 -11.429 -13.132 -13.674 -13.875 -14.138 -14.057 -14.297 -14.214 -14.379 -14.453 -14.489 -14.479 -14.399 -14.136 -13.807
1.000 -9.678 -10.248 -11.263 -13.060 -13.648 -13.868 -14.158 -14.071 -14.337 -14.250 -14.431 -14.521 -14.574 -14.575 -14.515 -14.271 -13.955
