# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -7.412 -7.283 -7.120 -6.450 -6.134 -5.977 -5.700 -5.809 -5.468 -5.627 -5.338 -5.079 -4.785 -4.555 -4.087 -3.474 -2.903
0.100 -11.567 -11.846 -12.037 -12.464 -12.503 -12.494 -12.456 -12.466 -12.389 -12.405 -12.344 -12.233 -12.078 -11.940 -11.633 -11.166 -10.696
0.200 -11.575 -11.953 -12.278 -13.003 -13.156 -13.197 -13.234 -13.219 -13.224 -13.207 -13.209 -13.148 -13.041 -12.936 -12.685 -12.269 -11.834
0.300 -11.431 -11.872 -12.300 -13.227 -13.460 -13.536 -13.625 -13.593 -13.655 -13.618 -13.663 -13.635 -13.564 -13.481 -13.273 -12.894 -12.485
0.400 -11.285 -11.766 -12.277 -13.354 -13.648 -13.749 -13.877 -13.834 -13.937 -13.887 -13.962 -13.960 -13.916 -13.852 -13.677 -13.329 -12.940
0.500 -11.112 -11.624 -12.211 -13.416 -13.762 -13.886 -14.047 -13.994 -14.132 -14.074 -14.173 -14.193 -14.172 -14.124 -13.978 -13.656 -13.286
0.600 -10.912 -11.447 -12.108 -13.431 -13.827 -13.972 -14.163 -14.102 -14.272 -14.206 -14.327 -14.365 -14.366 -14.332 -14.212 -13.914 -13.561
0.700 -10.680 -11.232 -11.969 -13.406 -13.851 -14.017 -14.237 -14.168 -14.368 -14.296 -14.437 -14.493 -14.514 -14.494 -14.399 -14.124 -13.786
0.800 -10.409 -10.972 -11.788 -13.341 -13.837 -14.024 -14.274 -14.198 -14.428 -14.350 -14.511 -14.586 -14.626 -14.620 -14.549 -14.297 -13.974
0.900 -10.094 -10.662 -11.565 -13.236 -13.788 -13.997 -14.279 -14.195 -14.457 -14.374 -14.554 -14.648 -14.709 -14.717 -14.671 -14.440 -14.134
1.000 -9.734 -10.298 -11.296 -13.091 -13.702 -13.937 -14.251 -14.161 -14.456 -14.369 -14.569 -14.682 -14.765 -14.787 -14.767 -14.559 -14.268
