# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -6.768 -6.657 -6.504 -5.877 -5.572 -5.420 -5.151 -5.256 -4.924 -5.078 -4.797 -4.544 -4.253 -4.027 -3.564 -2.956 -2.388
0.100 -10.045 -10.413 -10.724 -11.419 -11.557 -11.590 -11.613 -11.602 -11.591 -11.579 -11.570 -11.497 -11.379 -11.265 -10.999 -10.568 -10.122
0.200 -9.870 -10.334 -10.813 -11.839 -12.112 -12.204 -12.316 -12.276 -12.361 -12.316 -12.377 -12.361 -12.301 -12.226 -12.028 -11.657 -11.253
0.300 -9.616 -10.131 -10.739 -11.985 -12.352 -12.484 -12.656 -12.600 -12.748 -12.686 -12.792 -12.815 -12.796 -12.748 -12.600 -12.274 -11.899
0.400 -9.363 -9.908 -10.623 -12.037 -12.478 -12.643 -12.861 -12.792 -12.989 -12.917 -13.055 -13.108 -13.122 -13.097 -12.988 -12.698 -12.349
0.500 -9.113 -9.674 -10.486 -12.040 -12.545 -12.737 -12.993 -12.915 -13.153 -13.073 -13.238 -13.316 -13.358 -13.351 -13.278 -13.019 -12.691
0.600 -8.877 -9.444 -10.345 -12.018 -12.579 -12.794 -13.084 -12.999 -13.270 -13.187 -13.372 -13.472 -13.538 -13.549 -13.506 -13.274 -12.965
0.700 -8.651 -9.216 -10.201 -11.980 -12.591 -12.828 -13.147 -13.056 -13.357 -13.271 -13.474 -13.593 -13.681 -13.707 -13.691 -13.485 -13.194
0.800 -8.436 -8.993 -10.056 -11.930 -12.588 -12.844 -13.190 -13.094 -13.422 -13.334 -13.553 -13.689 -13.797 -13.836 -13.846 -13.664 -13.388
0.900 -8.232 -8.776 -9.914 -11.873 -12.574 -12.849 -13.219 -13.118 -13.471 -13.382 -13.616 -13.766 -13.893 -13.945 -13.978 -13.817 -13.557
1.000 -8.034 -8.561 -9.772 -11.809 -12.552 -12.843 -13.237 -13.132 -13.508 -13.418 -13.664 -13.829 -13.973 -14.037 -14.092 -13.952 -13.705
1.100 -7.842 -8.348 -9.630 -11.739 -12.522 -12.830 -13.245 -13.137 -13.534 -13.445 -13.702 -13.880 -14.040 -14.115 -14.192 -14.070 -13.838
1.200 -7.660 -8.142 -9.492 -11.668 -12.488 -12.812 -13.248 -13.136 -13.553 -13.464 -13.732 -13.923 -14.098 -14.183 -14.280 -14.176 -13.957
1.300 -7.481 -7.936 -9.353 -11.592 -12.449 -12.788 -13.243 -13.129 -13.564 -13.477 -13.755 -13.957 -14.146 -14.242 -14.357 -14.272 -14.064
1.400 -7.310 -7.735 -9.218 -11.515 -12.407 -12.760 -13.234 -13.118 -13.571 -13.485 -13.772 -13.985 -14.188 -14.293 -14.427 -14.358 -14.162
1.500 -7.141 -7.533 -9.082 -11.434 -12.361 -12.728 -13.220 -13.101 -13.572 -13.487 -13.783 -14.006 -14.223 -14.337 -14.488 -14.436 -14.252
1.600 -6.978 -7.335 -8.949 -11.352 -12.313 -12.694 -13.203 -13.082 -13.569 -13.487 -13.790 -14.024 -14.253 -14.377 -14.544 -14.508 -14.335
1.700 -6.820 -7.140 -8.818 -11.269 -12.263 -12.656 -13.183 -13.060 -13.563 -13.483 -13.793 -14.036 -14.278 -14.410 -14.594 -14.573 -14.411
1.800 -6.664 -6.944 -8.686 -11.183 -12.209 -12.616 -13.159 -13.035 -13.552 -13.475 -13.792 -14.045 -14.299 -14.440 -14.640 -14.633 -14.482
1.900 -6.512 -6.750 -8.557 -11.097 -12.154 -12.574 -13.133 -13.007 -13.540 -13.465 -13.789 -14.051 -14.316 -14.465 -14.681 -14.689 -14.548
2.000 -6.363 -6.558 -8.429 -11.009 -12.097 -12.529 -13.104 -12.977 -13.524 -13.452 -13.782 -14.053 -14.330 -14.487 -14.717 -14.740 -14.609
2.100 -6.216 -6.365 -8.300 -10.918 -12.038 -12.482 -13.073 -12.945 -13.506 -13.436 -13.773 -14.053 -14.341 -14.506 -14.751 -14.787 -14.666
2.200 -6.073 -6.175 -8.173 -10.827 -11.978 -12.434 -13.040 -12.911 -13.486 -13.419 -13.762 -14.050 -14.349 -14.521 -14.781 -14.831 -14.720
2.300 -5.932 -5.985 -8.047 -10.735 -11.916 -12.384 -13.005 -12.875 -13.463 -13.400 -13.748 -14.044 -14.354 -14.534 -14.808 -14.871 -14.770
2.400 -5.791 -5.793 -7.920 -10.641 -11.851 -12.332 -12.967 -12.836 -13.438 -13.379 -13.732 -14.036 -14.357 -14.545 -14.833 -14.909 -14.817
2.500 -5.655 -5.605 -7.797 -10.547 -11.787 -12.280 -12.929 -12.798 -13.413 -13.356 -13.715 -14.027 -14.358 -14.553 -14.855 -14.944 -14.862
2.600 -5.519 -5.414 -7.671 -10.450 -11.720 -12.224 -12.888 -12.756 -13.384 -13.332 -13.695 -14.015 -14.357 -14.559 -14.875 -14.977 -14.904
2.700 -5.384 -5.224 -7.547 -10.353 -11.652 -12.168 -12.846 -12.714 -13.354 -13.306 -13.674 -14.002 -14.354 -14.563 -14.892 -15.006 -14.942
2.800 -5.253 -5.033 -7.425 -10.256 -11.587 -12.116 -12.811 -12.678 -13.332 -13.288 -13.661 -13.997 -14.359 -14.574 -14.912 -15.032 -14.970
2.900 -5.125 -4.844 -7.305 -10.160 -11.523 -12.065 -12.774 -12.642 -13.309 -13.269 -13.647 -13.991 -14.362 -14.583 -14.930 -15.055 -14.996
3.000 -4.998 -4.653 -7.185 -10.062 -11.457 -12.011 -12.736 -12.604 -13.284 -13.249 -13.632 -13.983 -14.364 -14.591 -14.946 -15.077 -15.021
3.100 -4.873 -4.463 -7.066 -9.964 -11.390 -11.956 -12.697 -12.564 -13.258 -13.227 -13.615 -13.974 -14.364 -14.597 -14.961 -15.098 -15.045
3.200 -4.748 -4.272 -6.946 -9.863 -11.321 -11.900 -12.656 -12.524 -13.230 -13.204 -13.596 -13.963 -14.362 -14.601 -14.974 -15.117 -15.067
3.300 -4.624 -4.078 -6.826 -9.761 -11.250 -11.842 -12.614 -12.481 -13.201 -13.179 -13.576 -13.950 -14.359 -14.604 -14.986 -15.135 -15.088
3.400 -4.502 -3.886 -6.708 -9.659 -11.180 -11.785 -12.571 -12.439 -13.171 -13.155 -13.555 -13.936 -14.355 -14.605 -14.997 -15.152 -15.108
3.500 -4.382 -3.693 -6.591 -9.556 -11.108 -11.725 -12.526 -12.395 -13.139 -13.128 -13.533 -13.921 -14.349 -14.605 -15.006 -15.168 -15.127
3.600 -4.262 -3.499 -6.473 -9.451 -11.036 -11.665 -12.481 -12.350 -13.106 -13.101 -13.509 -13.905 -14.342 -14.604 -15.014 -15.182 -15.145
3.700 -4.143 -3.304 -6.356 -9.346 -10.962 -11.604 -12.434 -12.304 -13.073 -13.073 -13.484 -13.887 -14.333 -14.601 -15.020 -15.195 -15.162
3.800 -4.025 -3.107 -6.240 -9.239 -10.888 -11.542 -12.387 -12.257 -13.038 -13.043 -13.458 -13.868 -14.324 -14.598 -15.026 -15.207 -15.177
3.900 -3.908 -2.910 -6.123 -9.131 -10.812 -11.478 -12.338 -12.209 -13.001 -13.013 -13.431 -13.848 -14.313 -14.592 -15.030 -15.218 -15.192
4.000 -3.793 -2.714 -6.009 -9.024 -10.737 -11.415 -12.289 -12.161 -12.965 -12.982 -13.404 -13.827 -14.301 -14.587 -15.033 -15.228 -15.206
4.100 -3.678 -2.515 -5.894 -8.915 -10.660 -11.351 -12.239 -12.112 -12.927 -12.950 -13.375 -13.805 -14.288 -14.579 -15.036 -15.238 -15.219
4.200 -3.565 -2.316 -5.780 -8.806 -10.583 -11.285 -12.188 -12.062 -12.888 -12.917 -13.345 -13.782 -14.274 -14.571 -15.037 -15.246 -15.231
4.300 -3.452 -2.116 -5.667 -8.696 -10.505 -11.220 -12.136 -12.012 -12.849 -12.884 -13.315 -13.758 -14.259 -14.562 -15.037 -15.253 -15.243
4.400 -3.341 -1.917 -5.554 -8.586 -10.427 -11.154 -12.084 -11.961 -12.809 -12.850 -13.284 -13.733 -14.243 -14.552 -15.036 -15.259 -15.254
4.500 -3.230 -1.715 -5.442 -8.474 -10.348 -11.087 -12.030 -11.909 -12.767 -12.815 -13.251 -13.707 -14.226 -14.540 -15.034 -15.265 -15.263
4.600 -3.122 -1.514 -5.332 -8.363 -10.269 -11.020 -11.977 -11.857 -12.726 -12.780 -13.218 -13.680 -14.208 -14.528 -15.031 -15.269 -15.272
4.700 -3.015 -1.315 -5.223 -8.253 -10.191 -10.953 -11.924 -11.804 -12.684 -12.744 -13.185 -13.653 -14.189 -14.515 -15.028 -15.273 -15.280
4.800 -2.909 -1.114 -5.115 -8.142 -10.111 -10.885 -11.869 -11.751 -12.640 -12.707 -13.151 -13.625 -14.169 -14.501 -15.023 -15.276 -15.288
4.900 -2.804 -0.915 -5.008 -8.032 -10.033 -10.817 -11.814 -11.698 -12.597 -12.670 -13.116 -13.596 -14.149 -14.486 -15.018 -15.278 -15.294
5.000 -2.702 -0.718 -4.904 -7.923 -9.954 -10.750 -11.759 -11.645 -12.553 -12.633 -13.081 -13.566 -14.128 -14.470 -15.012 -15.279 -15.300
5.100 -2.601 -0.522 -4.801 -7.813 -9.876 -10.682 -11.704 -11.591 -12.509 -12.595 -13.045 -13.536 -14.106 -14.454 -15.005 -15.280 -15.306
5.200 -2.502 -0.329 -4.699 -7.705 -9.798 -10.615 -11.649 -11.538 -12.464 -12.557 -13.009 -13.505 -14.083 -14.437 -14.997 -15.279 -15.310
5.300 -2.405 -0.139 -4.599 -7.598 -9.720 -10.547 -11.593 -11.484 -12.419 -12.518 -12.972 -13.473 -14.059 -14.418 -14.988 -15.278 -15.314
5.400 -2.310 0.046 -4.502 -7.494 -9.643 -10.481 -11.538 -11.430 -12.374 -12.479 -12.935 -13.441 -14.035 -14.399 -14.978 -15.276 -15.317
5.500 -2.218 0.224 -4.408 -7.391 -9.568 -10.415 -11.483 -11.377 -12.329 -12.440 -12.897 -13.408 -14.011 -14.380 -14.968 -15.274 -15.320
5.600 -2.128 0.397 -4.316 -7.290 -9.493 -10.349 -11.428 -11.323 -12.283 -12.401 -12.859 -13.375 -13.985 -14.360 -14.957 -15.271 -15.322
5.700 -2.041 0.562 -4.227 -7.193 -9.420 -10.285 -11.373 -11.270 -12.238 -12.362 -12.821 -13.342 -13.959 -14.339 -14.946 -15.267 -15.323
5.800 -1.957 0.718 -4.141 -7.098 -9.348 -10.221 -11.319 -11.218 -12.192 -12.322 -12.783 -13.308 -13.933 -14.318 -14.933 -15.262 -15.323
5.900 -1.875 0.864 -4.058 -7.006 -9.278 -10.158 -11.265 -11.166 -12.147 -12.282 -12.745 -13.274 -13.906 -14.295 -14.920 -15.257 -15.323
6.000 -1.860 0.885 -4.042 -6.990 -9.263 -10.144 -11.252 -11.153 -12.135 -12.271 -12.733 -13.263 -13.895 -14.285 -14.911 -15.249 -15.316
6.100 -1.851 0.895 -4.033 -6.981 -9.254 -10.135 -11.243 -11.144 -12.126 -12.262 -12.724 -13.254 -13.886 -14.276 -14.902 -15.239 -15.306
6.200 -1.841 0.904 -4.024 -6.971 -9.245 -10.126 -11.234 -11.134 -12.116 -12.252 -12.715 -13.244 -13.876 -14.267 -14.892 -15.230 -15.297
6.300 -1.832 0.914 -4.014 -6.961 -9.235 -10.116 -11.224 -11.124 -12.106 -12.242 -12.705 -13.234 -13.867 -14.257 -14.882 -15.220 -15.287
6.400 -1.821 0.924 -4.004 -6.951 -9.225 -10.106 -11.214 -11.114 -12.096 -12.232 -12.695 -13.224 -13.857 -14.247 -14.872 -15.210 -15.277
6.500 -1.811 0.935 -3.993 -6.941 -9.214 -10.095 -11.203 -11.104 -12.086 -12.222 -12.684 -13.214 -13.846 -14.236 -14.862 -15.200 -15.267
6.600 -1.800 0.946 -3.982 -6.930 -9.203 -10.084 -11.192 -11.093 -12.075 -12.211 -12.673 -13.203 -13.835 -14.225 -14.851 -15.189 -15.256
6.700 -1.789 0.957 -3.971 -6.919 -9.192 -10.073 -11.181 -11.082 -12.063 -12.200 -12.662 -13.192 -13.824 -14.214 -14.840 -15.177 -15.244
6.800 -1.777 0.968 -3.960 -6.907 -9.181 -10.062 -11.170 -11.070 -12.052 -12.188 -12.651 -13.180 -13.813 -14.203 -14.828 -15.166 -15.233
6.900 -1.766 0.980 -3.948 -6.895 -9.169 -10.050 -11.158 -11.059 -12.040 -12.176 -12.639 -13.168 -13.801 -14.191 -14.816 -15.154 -15.221
7.000 -1.753 0.992 -3.936 -6.883 -9.157 -10.038 -11.146 -11.046 -12.028 -12.164 -12.627 -13.156 -13.789 -14.179 -14.804 -15.142 -15.209
7.100 -1.741 1.005 -3.923 -6.871 -9.144 -10.025 -11.133 -11.034 -12.016 -12.152 -12.614 -13.144 -13.776 -14.166 -14.792 -15.129 -15.196
7.200 -1.728 1.018 -3.910 -6.858 -9.131 -10.012 -11.120 -11.021 -12.003 -12.139 -12.601 -13.131 -13.763 -14.153 -14.779 -15.116 -15.184
7.300 -1.715 1.031 -3.897 -6.845 -9.118 -9.999 -11.107 -11.008 -11.989 -12.126 -12.588 -13.118 -13.750 -14.140 -14.766 -15.103 -15.170
7.400 -1.702 1.044 -3.884 -6.831 -9.105 -9.986 -11.094 -10.995 -11.976 -12.112 -12.575 -13.104 -13.737 -14.127 -14.752 -15.090 -15.157
7.500 -1.688 1.058 -3.870 -6.818 -9.091 -9.972 -11.080 -10.981 -11.963 -12.099 -12.561 -13.091 -13.723 -14.113 -14.739 -15.076 -15.143
7.600 -1.674 1.072 -3.856 -6.804 -9.077 -9.958 -11.066 -10.967 -11.949 -12.085 -12.547 -13.077 -13.709 -14.099 -14.725 -15.062 -15.130
7.700 -1.660 1.086 -3.842 -6.789 -9.063 -9.944 -11.052 -10.953 -11.934 -12.070 -12.533 -13.062 -13.695 -14.085 -14.711 -15.048 -15.115
7.800 -1.645 1.100 -3.828 -6.775 -9.049 -9.930 -11.038 -10.938 -11.920 -12.056 -12.519 -13.048 -13.680 -14.071 -14.696 -15.034 -15.101
7.900 -1.631 1.115 -3.813 -6.760 -9.034 -9.915 -11.023 -10.924 -11.905 -12.041 -12.504 -13.033 -13.666 -14.056 -14.682 -15.019 -15.086
8.000 -1.616 1.130 -3.798 -6.745 -9.019 -9.900 -11.008 -10.909 -11.890 -12.027 -12.489 -13.018 -13.651 -14.041 -14.667 -15.004 -15.071
8.100 -1.600 1.145 -3.783 -6.730 -9.004 -9.885 -10.993 -10.893 -11.875 -12.011 -12.474 -13.003 -13.636 -14.026 -14.651 -14.989 -15.056
8.200 -1.585 1.161 -3.767 -6.715 -8.988 -9.869 -10.977 -10.878 -11.860 -11.996 -12.458 -12.988 -13.620 -14.010 -14.636 -14.974 -15.041
8.300 -1.569 1.176 -3.752 -6.699 -8.973 -9.854 -10.962 -10.862 -11.844 -11.980 -12.443 -12.972 -13.604 -13.995 -14.620 -14.958 -15.025
8.400 -1.553 1.192 -3.736 -6.683 -8.957 -9.838 -10.945 -10.846 -11.828 -11.964 -12.426 -12.956 -13.588 -13.979 -14.604 -14.942 -15.009
8.500 -1.537 1.209 -3.719 -6.667 -8.940 -9.821 -10.929 -10.830 -11.812 -11.948 -12.410 -12.940 -13.572 -13.962 -14.588 -14.926 -14.993
8.600 -1.521 1.225 -3.703 -6.650 -8.924 -9.805 -10.913 -10.814 -11.795 -11.931 -12.394 -12.923 -13.556 -13.946 -14.572 -14.909 -14.976
8.700 -1.504 1.241 -3.687 -6.634 -8.908 -9.789 -10.896 -10.797 -11.779 -11.915 -12.377 -12.907 -13.539 -13.930 -14.555 -14.893 -14.960
8.800 -1.487 1.258 -3.670 -6.617 -8.891 -9.772 -10.880 -10.780 -11.762 -11.898 -12.361 -12.890 -13.522 -13.913 -14.538 -14.876 -14.943
8.900 -1.470 1.275 -3.653 -6.600 -8.874 -9.755 -10.863 -10.763 -11.745 -11.881 -12.344 -12.873 -13.505 -13.896 -14.521 -14.859 -14.926
