# day	W2	M2	W1	u	g	r	i	z	y	J	H	K
0.000	-11.417	-11.326	-11.187	-10.636	-10.251	-9.798	-9.459	-9.193	-8.986	-8.554	-7.977	-7.433
0.250	-14.118	-14.385	-14.537	-14.838	-14.770	-14.573	-14.372	-14.193	-14.047	-13.730	-13.273	-12.824
0.500	-12.441	-12.931	-13.430	-14.454	-14.736	-14.817	-14.763	-14.671	-14.583	-14.364	-14.002	-13.624
0.750	-9.596	-10.128	-11.044	-12.804	-13.594	-14.088	-14.274	-14.331	-14.341	-14.293	-14.082	-13.806
1.000	-7.721	-8.260	-9.145	-10.909	-11.965	-12.825	-13.290	-13.538	-13.685	-13.874	-13.869	-13.722
1.250	-6.235	-6.789	-7.891	-9.820	-10.840	-11.762	-12.376	-12.763	-13.021	-13.422	-13.608	-13.586
1.500	-4.545	-4.972	-6.467	-8.785	-10.074	-11.154	-11.856	-12.304	-12.610	-13.101	-13.370	-13.406
1.750	-2.746	-2.823	-4.878	-7.568	-9.320	-10.708	-11.543	-12.045	-12.376	-12.892	-13.171	-13.209
2.000	-1.079	-0.453	-3.342	-6.275	-8.576	-10.269	-11.231	-11.789	-12.149	-12.698	-12.994	-13.038
2.250	0.114	1.818	-2.205	-5.190	-7.975	-9.886	-10.939	-11.539	-11.922	-12.502	-12.815	-12.868
2.500	0.754	3.227	-1.580	-4.525	-7.553	-9.568	-10.671	-11.297	-11.695	-12.298	-12.627	-12.689
2.750	1.064	3.661	-1.273	-4.203	-7.277	-9.318	-10.435	-11.070	-11.474	-12.086	-12.424	-12.491
3.000	1.273	3.870	-1.064	-3.994	-7.068	-9.109	-10.226	-10.860	-11.265	-11.877	-12.215	-12.282
3.250	1.487	4.084	-0.850	-3.780	-6.855	-8.896	-10.012	-10.647	-11.052	-11.664	-12.002	-12.069
3.500	1.697	4.294	-0.640	-3.570	-6.645	-8.686	-9.802	-10.437	-10.842	-11.454	-11.791	-11.859
3.750	1.901	4.498	-0.435	-3.366	-6.440	-8.481	-9.597	-10.232	-10.637	-11.249	-11.587	-11.654
4.000	2.096	4.693	-0.241	-3.171	-6.246	-8.287	-9.403	-10.038	-10.443	-11.055	-11.392	-11.460
4.250	2.276	4.873	-0.060	-2.991	-6.065	-8.106	-9.222	-9.857	-10.262	-10.874	-11.212	-11.279
4.500	2.444	5.041	0.107	-2.823	-5.897	-7.938	-9.055	-9.690	-10.094	-10.706	-11.044	-11.111
4.750	2.597	5.194	0.260	-2.670	-5.745	-7.786	-8.902	-9.537	-9.942	-10.554	-10.891	-10.958
