# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -6.734 -6.670 -6.546 -6.030 -5.756 -5.616 -5.368 -5.463 -5.154 -5.294 -5.034 -4.793 -4.514 -4.296 -3.846 -3.250 -2.691
0.100 -9.093 -9.319 -9.569 -10.383 -10.719 -10.849 -11.023 -10.967 -11.120 -11.057 -11.166 -11.192 -11.174 -11.125 -10.973 -10.641 -10.261
0.200 -9.229 -9.519 -9.778 -10.578 -10.984 -11.168 -11.435 -11.359 -11.621 -11.546 -11.727 -11.831 -11.904 -11.917 -11.874 -11.639 -11.324
0.300 -9.240 -9.590 -9.892 -10.695 -11.091 -11.288 -11.589 -11.510 -11.823 -11.754 -11.967 -12.118 -12.251 -12.308 -12.346 -12.183 -11.917
0.400 -9.170 -9.570 -9.928 -10.780 -11.155 -11.349 -11.659 -11.583 -11.918 -11.861 -12.089 -12.271 -12.450 -12.542 -12.645 -12.543 -12.318
0.500 -9.051 -9.492 -9.909 -10.837 -11.200 -11.388 -11.696 -11.623 -11.967 -11.922 -12.156 -12.359 -12.575 -12.694 -12.854 -12.804 -12.617
0.600 -8.900 -9.375 -9.852 -10.868 -11.230 -11.412 -11.714 -11.644 -11.990 -11.954 -12.191 -12.408 -12.653 -12.797 -13.006 -13.004 -12.849
0.700 -8.722 -9.224 -9.763 -10.873 -11.244 -11.424 -11.721 -11.654 -11.998 -11.970 -12.207 -12.434 -12.703 -12.867 -13.121 -13.162 -13.039
0.800 -8.522 -9.047 -9.648 -10.853 -11.243 -11.423 -11.719 -11.652 -11.995 -11.972 -12.210 -12.444 -12.732 -12.915 -13.209 -13.290 -13.196
0.900 -8.298 -8.843 -9.506 -10.808 -11.222 -11.407 -11.704 -11.636 -11.979 -11.960 -12.199 -12.438 -12.743 -12.942 -13.274 -13.393 -13.326
1.000 -8.056 -8.615 -9.342 -10.742 -11.187 -11.379 -11.681 -11.611 -11.958 -11.940 -12.182 -12.425 -12.744 -12.958 -13.324 -13.480 -13.439
1.100 -7.795 -8.364 -9.159 -10.655 -11.135 -11.337 -11.648 -11.576 -11.928 -11.912 -12.157 -12.405 -12.737 -12.964 -13.363 -13.553 -13.538
1.200 -7.512 -8.087 -8.951 -10.547 -11.064 -11.277 -11.601 -11.525 -11.886 -11.869 -12.119 -12.371 -12.715 -12.956 -13.387 -13.611 -13.620
1.300 -7.213 -7.788 -8.726 -10.419 -10.978 -11.206 -11.547 -11.467 -11.841 -11.823 -12.080 -12.338 -12.695 -12.947 -13.408 -13.662 -13.694
1.400 -6.896 -7.466 -8.481 -10.275 -10.887 -11.139 -11.511 -11.425 -11.829 -11.810 -12.081 -12.352 -12.718 -12.974 -13.436 -13.691 -13.722
1.500 -6.560 -7.117 -8.215 -10.110 -10.778 -11.055 -11.461 -11.370 -11.806 -11.786 -12.073 -12.358 -12.736 -12.996 -13.463 -13.718 -13.749
1.600 -6.209 -6.747 -7.932 -9.928 -10.655 -10.958 -11.400 -11.303 -11.772 -11.754 -12.056 -12.356 -12.747 -13.013 -13.484 -13.741 -13.772
1.700 -5.841 -6.351 -7.630 -9.725 -10.515 -10.846 -11.325 -11.224 -11.727 -11.711 -12.028 -12.344 -12.748 -13.020 -13.497 -13.755 -13.787
1.800 -5.458 -5.929 -7.309 -9.505 -10.362 -10.722 -11.242 -11.136 -11.676 -11.664 -11.997 -12.329 -12.749 -13.029 -13.514 -13.775 -13.807
1.900 -5.062 -5.484 -6.973 -9.267 -10.195 -10.588 -11.149 -11.039 -11.617 -11.610 -11.957 -12.307 -12.743 -13.030 -13.523 -13.787 -13.820
2.000 -4.655 -5.014 -6.621 -9.013 -10.016 -10.443 -11.047 -10.934 -11.549 -11.549 -11.910 -12.277 -12.729 -13.024 -13.525 -13.793 -13.827
2.100 -4.237 -4.517 -6.254 -8.741 -9.827 -10.289 -10.940 -10.825 -11.478 -11.487 -11.862 -12.247 -12.716 -13.019 -13.531 -13.803 -13.838
2.200 -3.815 -3.996 -5.877 -8.456 -9.630 -10.131 -10.828 -10.711 -11.404 -11.421 -11.810 -12.212 -12.699 -13.010 -13.531 -13.808 -13.845
2.300 -3.391 -3.452 -5.493 -8.157 -9.426 -9.967 -10.712 -10.594 -11.325 -11.353 -11.754 -12.172 -12.676 -12.996 -13.527 -13.808 -13.847
2.400 -2.970 -2.886 -5.106 -7.850 -9.221 -9.802 -10.596 -10.478 -11.245 -11.284 -11.696 -12.130 -12.650 -12.979 -13.520 -13.806 -13.847
2.500 -2.558 -2.298 -4.721 -7.537 -9.016 -9.640 -10.482 -10.365 -11.167 -11.219 -11.641 -12.090 -12.626 -12.963 -13.514 -13.805 -13.848
2.600 -2.165 -1.692 -4.347 -7.224 -8.817 -9.483 -10.371 -10.255 -11.091 -11.154 -11.585 -12.048 -12.600 -12.944 -13.505 -13.801 -13.846
2.700 -1.798 -1.074 -3.992 -6.917 -8.626 -9.333 -10.265 -10.150 -11.015 -11.091 -11.528 -12.005 -12.570 -12.922 -13.492 -13.793 -13.841
2.800 -1.466 -0.451 -3.666 -6.625 -8.448 -9.193 -10.163 -10.051 -10.942 -11.029 -11.473 -11.960 -12.538 -12.897 -13.475 -13.781 -13.831
2.900 -1.178 0.163 -3.380 -6.358 -8.290 -9.070 -10.074 -9.964 -10.878 -10.975 -11.424 -11.921 -12.511 -12.876 -13.463 -13.774 -13.826
3.000 -0.938 0.746 -3.137 -6.122 -8.151 -8.959 -9.993 -9.885 -10.818 -10.924 -11.377 -11.883 -12.482 -12.853 -13.448 -13.763 -13.818
3.100 -0.744 1.270 -2.939 -5.921 -8.031 -8.863 -9.920 -9.814 -10.762 -10.876 -11.332 -11.844 -12.452 -12.828 -13.430 -13.750 -13.806
3.200 -0.593 1.703 -2.783 -5.758 -7.929 -8.779 -9.854 -9.750 -10.710 -10.830 -11.289 -11.806 -12.422 -12.801 -13.409 -13.733 -13.792
3.300 -0.475 2.030 -2.662 -5.628 -7.843 -8.706 -9.795 -9.692 -10.661 -10.787 -11.247 -11.769 -12.390 -12.773 -13.386 -13.714 -13.775
3.400 -0.390 2.248 -2.574 -5.532 -7.777 -8.649 -9.747 -9.646 -10.620 -10.751 -11.212 -11.737 -12.363 -12.749 -13.367 -13.698 -13.762
3.500 -0.324 2.387 -2.508 -5.459 -7.722 -8.600 -9.704 -9.604 -10.583 -10.716 -11.178 -11.706 -12.335 -12.724 -13.346 -13.681 -13.746
3.600 -0.273 2.472 -2.455 -5.403 -7.676 -8.557 -9.665 -9.566 -10.547 -10.684 -11.146 -11.675 -12.308 -12.698 -13.323 -13.661 -13.728
3.700 -0.250 2.496 -2.432 -5.379 -7.653 -8.534 -9.642 -9.543 -10.524 -10.661 -11.123 -11.652 -12.285 -12.675 -13.301 -13.638 -13.705
3.800 -0.225 2.520 -2.408 -5.355 -7.629 -8.510 -9.618 -9.518 -10.500 -10.636 -11.099 -11.628 -12.261 -12.651 -13.276 -13.614 -13.681
3.900 -0.199 2.546 -2.382 -5.329 -7.603 -8.484 -9.592 -9.492 -10.474 -10.610 -11.073 -11.602 -12.234 -12.625 -13.250 -13.588 -13.655
4.000 -0.176 2.569 -2.359 -5.306 -7.580 -8.461 -9.568 -9.469 -10.451 -10.587 -11.049 -11.579 -12.211 -12.602 -13.227 -13.565 -13.632
4.100 -0.152 2.594 -2.334 -5.282 -7.555 -8.436 -9.544 -9.445 -10.427 -10.563 -11.025 -11.555 -12.187 -12.577 -13.203 -13.540 -13.607
4.200 -0.126 2.619 -2.309 -5.256 -7.530 -8.411 -9.519 -9.419 -10.401 -10.537 -11.000 -11.529 -12.161 -12.552 -13.177 -13.515 -13.582
4.300 -0.099 2.647 -2.281 -5.229 -7.502 -8.383 -9.491 -9.392 -10.374 -10.510 -10.972 -11.502 -12.134 -12.524 -13.150 -13.487 -13.554
4.400 -0.070 2.675 -2.252 -5.200 -7.473 -8.354 -9.462 -9.363 -10.345 -10.481 -10.943 -11.473 -12.105 -12.495 -13.121 -13.459 -13.526
4.500 -0.040 2.706 -2.222 -5.169 -7.443 -8.324 -9.432 -9.333 -10.314 -10.451 -10.913 -11.442 -12.075 -12.465 -13.091 -13.428 -13.495
4.600 -0.008 2.738 -2.190 -5.138 -7.411 -8.292 -9.400 -9.301 -10.282 -10.419 -10.881 -11.410 -12.043 -12.433 -13.059 -13.396 -13.463
4.700 0.022 2.768 -2.160 -5.108 -7.381 -8.262 -9.370 -9.271 -10.253 -10.389 -10.851 -11.381 -12.013 -12.403 -13.029 -13.366 -13.433
4.800 0.053 2.798 -2.130 -5.077 -7.351 -8.232 -9.339 -9.240 -10.222 -10.358 -10.820 -11.350 -11.982 -12.373 -12.998 -13.336 -13.403
4.900 0.085 2.830 -2.098 -5.045 -7.319 -8.200 -9.307 -9.208 -10.190 -10.326 -10.788 -11.318 -11.950 -12.341 -12.966 -13.304 -13.371
5.000 0.118 2.864 -2.064 -5.012 -7.285 -8.166 -9.274 -9.175 -10.157 -10.293 -10.755 -11.285 -11.917 -12.307 -12.933 -13.270 -13.338
5.100 0.153 2.898 -2.030 -4.977 -7.251 -8.132 -9.239 -9.140 -10.122 -10.258 -10.720 -11.250 -11.882 -12.273 -12.898 -13.236 -13.303
5.200 0.189 2.934 -1.994 -4.941 -7.215 -8.096 -9.204 -9.104 -10.086 -10.222 -10.685 -11.214 -11.846 -12.237 -12.862 -13.200 -13.267
5.300 0.226 2.971 -1.957 -4.904 -7.178 -8.059 -9.166 -9.067 -10.049 -10.185 -10.647 -11.177 -11.809 -12.200 -12.825 -13.163 -13.230
5.400 0.264 3.010 -1.918 -4.866 -7.139 -8.020 -9.128 -9.029 -10.011 -10.147 -10.609 -11.139 -11.771 -12.161 -12.787 -13.125 -13.192
5.500 0.302 3.048 -1.880 -4.828 -7.101 -7.982 -9.090 -8.991 -9.972 -10.109 -10.571 -11.101 -11.733 -12.123 -12.749 -13.086 -13.153
5.600 0.340 3.085 -1.843 -4.790 -7.064 -7.945 -9.053 -8.953 -9.935 -10.071 -10.534 -11.063 -11.695 -12.086 -12.711 -13.049 -13.116
5.700 0.378 3.124 -1.804 -4.751 -7.025 -7.906 -9.014 -8.915 -9.896 -10.033 -10.495 -11.024 -11.657 -12.047 -12.673 -13.010 -13.077
5.800 0.418 3.164 -1.764 -4.712 -6.985 -7.866 -8.974 -8.875 -9.857 -9.993 -10.455 -10.985 -11.617 -12.007 -12.633 -12.970 -13.038
5.900 0.459 3.204 -1.724 -4.671 -6.945 -7.826 -8.934 -8.834 -9.816 -9.952 -10.415 -10.944 -11.577 -11.967 -12.592 -12.930 -12.997
6.000 0.500 3.246 -1.682 -4.630 -6.903 -7.784 -8.892 -8.793 -9.775 -9.911 -10.373 -10.903 -11.535 -11.925 -12.551 -12.888 -12.955
6.100 0.543 3.288 -1.640 -4.587 -6.861 -7.742 -8.850 -8.750 -9.732 -9.868 -10.331 -10.860 -11.492 -11.883 -12.508 -12.846 -12.913
6.200 0.586 3.331 -1.597 -4.544 -6.818 -7.699 -8.806 -8.707 -9.689 -9.825 -10.287 -10.817 -11.449 -11.840 -12.465 -12.803 -12.870
6.300 0.630 3.375 -1.553 -4.500 -6.774 -7.655 -8.762 -8.663 -9.645 -9.781 -10.243 -10.773 -11.405 -11.796 -12.421 -12.759 -12.826
6.400 0.675 3.420 -1.508 -4.455 -6.729 -7.610 -8.718 -8.618 -9.600 -9.736 -10.199 -10.728 -11.360 -11.751 -12.376 -12.714 -12.781
6.500 0.719 3.465 -1.463 -4.411 -6.684 -7.565 -8.673 -8.574 -9.555 -9.692 -10.154 -10.684 -11.316 -11.706 -12.332 -12.669 -12.736
6.600 0.763 3.509 -1.419 -4.367 -6.640 -7.521 -8.629 -8.530 -9.511 -9.648 -10.110 -10.640 -11.272 -11.662 -12.288 -12.625 -12.692
6.700 0.808 3.554 -1.374 -4.322 -6.595 -7.476 -8.584 -8.485 -9.467 -9.603 -10.065 -10.595 -11.227 -11.617 -12.243 -12.581 -12.648
6.800 0.853 3.599 -1.329 -4.276 -6.550 -7.431 -8.539 -8.440 -9.421 -9.558 -10.020 -10.549 -11.182 -11.572 -12.198 -12.535 -12.602
6.900 0.899 3.645 -1.283 -4.231 -6.504 -7.385 -8.493 -8.394 -9.376 -9.512 -9.974 -10.504 -11.136 -11.526 -12.152 -12.489 -12.556
7.000 0.945 3.691 -1.237 -4.184 -6.458 -7.339 -8.447 -8.348 -9.329 -9.465 -9.928 -10.457 -11.090 -11.480 -12.106 -12.443 -12.510
7.100 0.992 3.738 -1.190 -4.138 -6.411 -7.292 -8.400 -8.301 -9.282 -9.419 -9.881 -10.410 -11.043 -11.433 -12.059 -12.396 -12.463
7.200 1.039 3.785 -1.143 -4.090 -6.364 -7.245 -8.353 -8.254 -9.235 -9.371 -9.834 -10.363 -10.996 -11.386 -12.012 -12.349 -12.416
7.300 1.087 3.832 -1.096 -4.043 -6.317 -7.198 -8.306 -8.206 -9.188 -9.324 -9.787 -10.316 -10.948 -11.339 -11.964 -12.302 -12.369
7.400 1.134 3.880 -1.048 -3.995 -6.269 -7.150 -8.258 -8.159 -9.140 -9.277 -9.739 -10.268 -10.901 -11.291 -11.917 -12.254 -12.321
7.500 1.182 3.928 -1.000 -3.948 -6.221 -7.102 -8.210 -8.111 -9.093 -9.229 -9.691 -10.221 -10.853 -11.243 -11.869 -12.207 -12.274
7.600 1.230 3.976 -0.952 -3.900 -6.173 -7.054 -8.162 -8.063 -9.045 -9.181 -9.643 -10.173 -10.805 -11.195 -11.821 -12.159 -12.226
7.700 1.277 4.023 -0.905 -3.853 -6.126 -7.007 -8.115 -8.016 -8.998 -9.134 -9.596 -10.126 -10.758 -11.148 -11.774 -12.112 -12.179
