# day	W2	M2	W1	u	g	r	i	z	y	J	H	K
0.000	-14.071	-13.883	-13.687	-12.877	-12.380	-11.821	-11.418	-11.111	-10.876	-10.395	-9.772	-9.193
0.250	-15.691	-15.836	-15.875	-15.905	-15.746	-15.489	-15.261	-15.065	-14.906	-14.561	-14.070	-13.587
0.500	-14.152	-14.551	-14.889	-15.623	-15.777	-15.770	-15.676	-15.561	-15.457	-15.207	-14.805	-14.387
0.750	-12.342	-12.880	-13.543	-14.866	-15.340	-15.588	-15.635	-15.606	-15.559	-15.408	-15.097	-14.744
1.000	-10.553	-11.122	-12.115	-13.911	-14.689	-15.176	-15.364	-15.423	-15.436	-15.389	-15.176	-14.892
1.250	-8.916	-9.407	-10.755	-12.943	-14.001	-14.701	-15.014	-15.153	-15.221	-15.269	-15.139	-14.908
1.500	-7.429	-7.723	-9.468	-11.986	-13.331	-14.233	-14.664	-14.874	-14.991	-15.123	-15.066	-14.886
1.750	-6.080	-6.060	-8.249	-11.019	-12.663	-13.774	-14.324	-14.606	-14.770	-14.978	-14.981	-14.837
2.000	-4.858	-4.423	-7.103	-10.043	-11.989	-13.307	-13.979	-14.336	-14.548	-14.832	-14.894	-14.782
2.250	-3.750	-2.821	-6.037	-9.065	-11.309	-12.825	-13.618	-14.048	-14.310	-14.677	-14.805	-14.734
2.500	-2.740	-1.258	-5.049	-8.094	-10.631	-12.337	-13.246	-13.749	-14.061	-14.512	-14.712	-14.687
2.750	-1.821	0.244	-4.146	-7.150	-9.973	-11.858	-12.876	-13.448	-13.808	-14.343	-14.612	-14.634
3.000	-0.979	1.650	-3.317	-6.242	-9.331	-11.382	-12.504	-13.143	-13.550	-14.168	-14.510	-14.580
3.250	-0.215	2.861	-2.567	-5.395	-8.715	-10.913	-12.132	-12.835	-13.288	-13.987	-14.402	-14.523
3.500	0.458	3.741	-1.907	-4.651	-8.136	-10.458	-11.764	-12.526	-13.023	-13.803	-14.291	-14.463
3.750	1.029	4.265	-1.347	-4.047	-7.608	-10.021	-11.402	-12.218	-12.757	-13.615	-14.176	-14.399
4.000	1.486	4.557	-0.893	-3.599	-7.144	-9.610	-11.050	-11.914	-12.491	-13.424	-14.056	-14.332
4.250	1.839	4.745	-0.538	-3.282	-6.750	-9.228	-10.710	-11.614	-12.226	-13.231	-13.934	-14.261
4.500	2.107	4.892	-0.263	-3.057	-6.428	-8.881	-10.385	-11.321	-11.964	-13.035	-13.808	-14.186
4.750	2.312	5.017	-0.051	-2.888	-6.169	-8.574	-10.080	-11.037	-11.705	-12.839	-13.679	-14.109
5.000	2.475	5.133	0.119	-2.751	-5.962	-8.305	-9.795	-10.763	-11.452	-12.643	-13.547	-14.029
