# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -10.255 -10.049 -9.845 -8.985 -8.617 -8.438 -8.126 -8.250 -7.868 -8.054 -7.727 -7.445 -7.130 -6.887 -6.393 -5.757 -5.170
0.100 -15.049 -14.980 -14.864 -14.406 -14.177 -14.060 -13.855 -13.933 -13.677 -13.787 -13.576 -13.371 -13.131 -12.939 -12.539 -11.993 -11.470
0.200 -14.974 -15.028 -14.998 -14.843 -14.708 -14.633 -14.495 -14.545 -14.365 -14.434 -14.290 -14.131 -13.934 -13.772 -13.426 -12.929 -12.441
0.300 -14.549 -14.721 -14.794 -14.932 -14.890 -14.854 -14.777 -14.803 -14.691 -14.727 -14.639 -14.518 -14.359 -14.222 -13.921 -13.465 -13.005
0.400 -13.996 -14.276 -14.463 -14.885 -14.936 -14.937 -14.918 -14.923 -14.873 -14.881 -14.843 -14.757 -14.633 -14.518 -14.256 -13.835 -13.399
0.500 -13.390 -13.765 -14.076 -14.766 -14.908 -14.947 -14.983 -14.969 -14.978 -14.962 -14.968 -14.915 -14.822 -14.728 -14.503 -14.114 -13.700
0.600 -12.773 -13.225 -13.666 -14.604 -14.836 -14.911 -15.001 -14.969 -15.033 -14.997 -15.044 -15.021 -14.959 -14.884 -14.693 -14.334 -13.940
0.700 -12.169 -12.679 -13.250 -14.415 -14.734 -14.844 -14.984 -14.937 -15.053 -15.000 -15.084 -15.090 -15.057 -15.001 -14.842 -14.512 -14.137
0.800 -11.590 -12.138 -12.837 -14.206 -14.609 -14.754 -14.942 -14.881 -15.046 -14.980 -15.097 -15.131 -15.125 -15.088 -14.961 -14.658 -14.301
0.900 -11.038 -11.605 -12.429 -13.982 -14.465 -14.643 -14.878 -14.804 -15.016 -14.940 -15.088 -15.148 -15.170 -15.151 -15.055 -14.779 -14.441
1.000 -10.507 -11.077 -12.021 -13.740 -14.302 -14.513 -14.793 -14.709 -14.966 -14.881 -15.058 -15.144 -15.194 -15.192 -15.128 -14.879 -14.559
1.100 -9.985 -10.543 -11.608 -13.480 -14.120 -14.364 -14.688 -14.594 -14.896 -14.805 -15.008 -15.120 -15.198 -15.215 -15.182 -14.961 -14.659
1.200 -9.464 -9.995 -11.184 -13.200 -13.919 -14.196 -14.565 -14.462 -14.807 -14.713 -14.941 -15.079 -15.185 -15.221 -15.221 -15.027 -14.744
1.300 -8.935 -9.424 -10.744 -12.898 -13.699 -14.010 -14.422 -14.313 -14.701 -14.605 -14.857 -15.021 -15.156 -15.211 -15.244 -15.080 -14.815
1.400 -8.396 -8.826 -10.289 -12.577 -13.460 -13.805 -14.263 -14.147 -14.578 -14.483 -14.758 -14.948 -15.112 -15.187 -15.255 -15.119 -14.874
1.500 -7.852 -8.202 -9.820 -12.236 -13.206 -13.586 -14.089 -13.967 -14.441 -14.349 -14.645 -14.860 -15.055 -15.150 -15.253 -15.147 -14.923
1.600 -7.310 -7.556 -9.345 -11.881 -12.937 -13.353 -13.901 -13.774 -14.291 -14.203 -14.519 -14.760 -14.986 -15.101 -15.239 -15.165 -14.961
1.700 -6.788 -6.909 -8.878 -11.522 -12.664 -13.114 -13.706 -13.575 -14.132 -14.051 -14.385 -14.650 -14.906 -15.042 -15.217 -15.174 -14.991
1.800 -6.297 -6.278 -8.430 -11.165 -12.390 -12.873 -13.506 -13.373 -13.967 -13.895 -14.245 -14.533 -14.819 -14.975 -15.186 -15.175 -15.013
1.900 -5.851 -5.687 -8.013 -10.822 -12.123 -12.636 -13.307 -13.173 -13.801 -13.739 -14.102 -14.412 -14.726 -14.901 -15.148 -15.168 -15.028
2.000 -5.454 -5.154 -7.636 -10.500 -11.869 -12.409 -13.114 -12.979 -13.637 -13.586 -13.960 -14.290 -14.630 -14.824 -15.105 -15.156 -15.037
2.100 -5.106 -4.684 -7.300 -10.204 -11.632 -12.196 -12.931 -12.796 -13.480 -13.439 -13.823 -14.170 -14.535 -14.745 -15.058 -15.139 -15.042
2.200 -4.796 -4.262 -6.998 -9.931 -11.411 -11.997 -12.757 -12.623 -13.331 -13.299 -13.691 -14.053 -14.440 -14.666 -15.009 -15.118 -15.041
2.300 -4.521 -3.878 -6.728 -9.686 -11.217 -11.824 -12.610 -12.477 -13.206 -13.184 -13.584 -13.960 -14.365 -14.603 -14.966 -15.091 -15.023
2.400 -4.263 -3.510 -6.474 -9.451 -11.032 -11.658 -12.469 -12.336 -13.086 -13.074 -13.480 -13.868 -14.291 -14.541 -14.924 -15.063 -15.004
2.500 -4.018 -3.152 -6.231 -9.225 -10.853 -11.498 -12.331 -12.200 -12.969 -12.967 -13.378 -13.779 -14.219 -14.480 -14.882 -15.037 -14.987
2.600 -3.778 -2.792 -5.993 -9.000 -10.676 -11.340 -12.195 -12.065 -12.853 -12.860 -13.277 -13.689 -14.146 -14.418 -14.839 -15.010 -14.971
2.700 -3.540 -2.427 -5.755 -8.774 -10.499 -11.181 -12.059 -11.931 -12.737 -12.753 -13.176 -13.599 -14.072 -14.355 -14.797 -14.984 -14.956
2.800 -3.303 -2.054 -5.518 -8.545 -10.320 -11.021 -11.922 -11.795 -12.619 -12.647 -13.074 -13.509 -13.998 -14.292 -14.753 -14.957 -14.940
2.900 -3.077 -1.674 -5.291 -8.323 -10.153 -10.875 -11.798 -11.674 -12.516 -12.553 -12.985 -13.431 -13.934 -14.237 -14.713 -14.927 -14.916
