# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -7.143 -7.001 -6.833 -6.136 -5.813 -5.653 -5.372 -5.482 -5.136 -5.298 -5.005 -4.744 -4.447 -4.216 -3.744 -3.129 -2.556
0.100 -11.974 -12.194 -12.303 -12.508 -12.463 -12.420 -12.328 -12.359 -12.225 -12.269 -12.162 -12.022 -11.840 -11.686 -11.351 -10.861 -10.377
0.200 -12.169 -12.496 -12.725 -13.209 -13.254 -13.249 -13.215 -13.224 -13.153 -13.168 -13.112 -13.008 -12.863 -12.732 -12.441 -11.992 -11.536
0.300 -12.151 -12.546 -12.869 -13.549 -13.661 -13.683 -13.690 -13.685 -13.658 -13.654 -13.632 -13.554 -13.433 -13.320 -13.060 -12.640 -12.204
0.400 -12.051 -12.495 -12.900 -13.740 -13.910 -13.955 -13.996 -13.979 -13.989 -13.970 -13.977 -13.919 -13.819 -13.720 -13.485 -13.088 -12.669
0.500 -11.930 -12.410 -12.887 -13.861 -14.081 -14.146 -14.217 -14.190 -14.231 -14.201 -14.230 -14.190 -14.108 -14.020 -13.807 -13.430 -13.025
0.600 -11.787 -12.296 -12.840 -13.933 -14.199 -14.283 -14.381 -14.346 -14.414 -14.374 -14.424 -14.399 -14.333 -14.256 -14.062 -13.703 -13.311
0.700 -11.635 -12.166 -12.773 -13.973 -14.282 -14.384 -14.507 -14.463 -14.558 -14.509 -14.578 -14.567 -14.516 -14.449 -14.272 -13.930 -13.550
0.800 -11.475 -12.023 -12.691 -13.989 -14.338 -14.457 -14.603 -14.553 -14.672 -14.616 -14.701 -14.705 -14.667 -14.609 -14.449 -14.122 -13.753
0.900 -11.306 -11.867 -12.593 -13.984 -14.373 -14.507 -14.676 -14.620 -14.762 -14.699 -14.801 -14.817 -14.793 -14.743 -14.599 -14.286 -13.928
1.000 -11.149 -11.718 -12.500 -13.973 -14.399 -14.548 -14.738 -14.676 -14.839 -14.771 -14.887 -14.915 -14.903 -14.862 -14.732 -14.433 -14.084
1.100 -10.977 -11.552 -12.390 -13.944 -14.406 -14.570 -14.782 -14.713 -14.898 -14.825 -14.954 -14.995 -14.995 -14.962 -14.847 -14.561 -14.221
1.200 -10.809 -11.386 -12.278 -13.908 -14.405 -14.584 -14.815 -14.742 -14.946 -14.868 -15.011 -15.063 -15.075 -15.050 -14.948 -14.675 -14.345
1.300 -10.634 -11.210 -12.156 -13.860 -14.391 -14.585 -14.836 -14.758 -14.982 -14.900 -15.056 -15.119 -15.143 -15.126 -15.038 -14.777 -14.456
1.400 -10.461 -11.033 -12.033 -13.806 -14.372 -14.579 -14.850 -14.767 -15.010 -14.925 -15.093 -15.167 -15.202 -15.192 -15.118 -14.870 -14.557
1.500 -10.276 -10.843 -11.898 -13.739 -14.340 -14.562 -14.851 -14.764 -15.027 -14.938 -15.118 -15.203 -15.251 -15.249 -15.188 -14.952 -14.648
1.600 -10.104 -10.661 -11.770 -13.675 -14.308 -14.544 -14.852 -14.760 -15.041 -14.950 -15.141 -15.237 -15.295 -15.301 -15.253 -15.029 -14.733
1.700 -9.918 -10.463 -11.627 -13.596 -14.263 -14.513 -14.840 -14.744 -15.044 -14.951 -15.153 -15.259 -15.330 -15.343 -15.309 -15.096 -14.810
1.800 -9.732 -10.263 -11.482 -13.513 -14.214 -14.477 -14.823 -14.724 -15.042 -14.946 -15.159 -15.276 -15.359 -15.379 -15.359 -15.158 -14.880
1.900 -9.550 -10.064 -11.339 -13.429 -14.162 -14.439 -14.803 -14.700 -15.036 -14.939 -15.162 -15.290 -15.383 -15.411 -15.404 -15.215 -14.945
2.000 -9.357 -9.851 -11.183 -13.332 -14.099 -14.391 -14.773 -14.667 -15.021 -14.923 -15.156 -15.295 -15.400 -15.436 -15.442 -15.266 -15.005
2.100 -9.161 -9.631 -11.023 -13.229 -14.031 -14.336 -14.737 -14.628 -15.000 -14.901 -15.145 -15.294 -15.412 -15.456 -15.476 -15.312 -15.059
2.200 -8.973 -9.418 -10.868 -13.128 -13.963 -14.282 -14.701 -14.589 -14.979 -14.880 -15.133 -15.292 -15.421 -15.473 -15.507 -15.355 -15.110
2.300 -8.776 -9.192 -10.703 -13.017 -13.887 -14.220 -14.658 -14.543 -14.951 -14.852 -15.114 -15.285 -15.427 -15.486 -15.533 -15.391 -15.153
2.400 -8.571 -8.953 -10.528 -12.896 -13.802 -14.150 -14.607 -14.489 -14.916 -14.817 -15.089 -15.271 -15.426 -15.494 -15.555 -15.424 -15.191
2.500 -8.369 -8.715 -10.355 -12.774 -13.715 -14.078 -14.554 -14.434 -14.879 -14.781 -15.062 -15.255 -15.422 -15.498 -15.573 -15.453 -15.227
2.600 -8.170 -8.476 -10.182 -12.650 -13.626 -14.004 -14.499 -14.376 -14.839 -14.742 -15.032 -15.236 -15.416 -15.501 -15.589 -15.480 -15.260
2.700 -7.964 -8.227 -10.001 -12.518 -13.530 -13.922 -14.436 -14.311 -14.793 -14.697 -14.997 -15.212 -15.405 -15.498 -15.601 -15.503 -15.290
2.800 -7.751 -7.965 -9.811 -12.376 -13.426 -13.833 -14.367 -14.240 -14.740 -14.647 -14.955 -15.182 -15.388 -15.490 -15.609 -15.523 -15.317
2.900 -7.535 -7.697 -9.618 -12.228 -13.316 -13.739 -14.294 -14.165 -14.683 -14.593 -14.909 -15.147 -15.368 -15.479 -15.613 -15.539 -15.340
3.000 -7.326 -7.432 -9.428 -12.082 -13.207 -13.646 -14.220 -14.089 -14.626 -14.538 -14.863 -15.112 -15.346 -15.466 -15.616 -15.554 -15.363
3.100 -7.113 -7.160 -9.234 -11.930 -13.093 -13.547 -14.141 -14.009 -14.564 -14.480 -14.812 -15.073 -15.321 -15.450 -15.615 -15.566 -15.383
3.200 -6.894 -6.875 -9.032 -11.768 -12.971 -13.442 -14.055 -13.922 -14.496 -14.416 -14.756 -15.029 -15.291 -15.430 -15.611 -15.575 -15.400
3.300 -6.671 -6.581 -8.823 -11.599 -12.843 -13.330 -13.964 -13.830 -14.422 -14.347 -14.695 -14.979 -15.256 -15.405 -15.603 -15.581 -15.414
3.400 -6.444 -6.277 -8.610 -11.422 -12.708 -13.212 -13.868 -13.733 -14.344 -14.273 -14.630 -14.926 -15.218 -15.377 -15.592 -15.584 -15.426
3.500 -6.222 -5.975 -8.399 -11.246 -12.573 -13.094 -13.771 -13.635 -14.265 -14.200 -14.563 -14.871 -15.178 -15.347 -15.580 -15.586 -15.437
3.600 -5.999 -5.667 -8.187 -11.065 -12.435 -12.973 -13.670 -13.534 -14.183 -14.123 -14.494 -14.814 -15.136 -15.315 -15.565 -15.586 -15.446
3.700 -5.773 -5.349 -7.969 -10.876 -12.290 -12.845 -13.564 -13.428 -14.095 -14.042 -14.420 -14.751 -15.089 -15.279 -15.547 -15.583 -15.452
3.800 -5.542 -5.020 -7.745 -10.679 -12.138 -12.711 -13.452 -13.316 -14.003 -13.957 -14.342 -14.685 -15.039 -15.239 -15.526 -15.577 -15.456
3.900 -5.307 -4.682 -7.516 -10.475 -11.980 -12.571 -13.335 -13.199 -13.905 -13.867 -14.259 -14.614 -14.985 -15.196 -15.502 -15.569 -15.458
4.000 -5.070 -4.333 -7.283 -10.263 -11.816 -12.426 -13.212 -13.077 -13.803 -13.773 -14.171 -14.539 -14.926 -15.149 -15.475 -15.559 -15.458
4.100 -4.835 -3.983 -7.051 -10.050 -11.650 -12.279 -13.088 -12.954 -13.699 -13.678 -14.082 -14.462 -14.866 -15.100 -15.447 -15.547 -15.457
4.200 -4.602 -3.629 -6.819 -9.833 -11.482 -12.130 -12.962 -12.829 -13.593 -13.581 -13.991 -14.383 -14.805 -15.050 -15.416 -15.533 -15.454
