# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -11.078 -10.872 -10.669 -9.810 -9.442 -9.263 -8.951 -9.076 -8.694 -8.879 -8.553 -8.271 -7.956 -7.713 -7.220 -6.584 -5.997
0.100 -15.396 -15.423 -15.365 -15.089 -14.893 -14.787 -14.596 -14.667 -14.425 -14.527 -14.328 -14.129 -13.893 -13.704 -13.310 -12.770 -12.252
0.200 -14.835 -15.057 -15.166 -15.354 -15.293 -15.242 -15.137 -15.173 -15.024 -15.075 -14.956 -14.808 -14.621 -14.465 -14.131 -13.646 -13.168
0.300 -13.990 -14.360 -14.642 -15.230 -15.301 -15.304 -15.280 -15.285 -15.224 -15.233 -15.185 -15.085 -14.944 -14.818 -14.538 -14.104 -13.662
0.400 -13.014 -13.486 -13.948 -14.895 -15.101 -15.159 -15.218 -15.195 -15.221 -15.196 -15.214 -15.164 -15.072 -14.978 -14.755 -14.373 -13.967
0.500 -11.877 -12.418 -13.079 -14.376 -14.729 -14.849 -14.998 -14.947 -15.068 -15.011 -15.098 -15.102 -15.064 -15.007 -14.848 -14.523 -14.158
0.600 -10.628 -11.187 -12.061 -13.693 -14.209 -14.398 -14.645 -14.568 -14.790 -14.709 -14.864 -14.927 -14.953 -14.937 -14.852 -14.593 -14.272
0.700 -9.419 -9.938 -10.972 -12.871 -13.557 -13.820 -14.171 -14.072 -14.400 -14.308 -14.526 -14.655 -14.753 -14.785 -14.785 -14.600 -14.330
0.800 -8.492 -8.975 -10.003 -11.991 -12.819 -13.153 -13.604 -13.490 -13.921 -13.831 -14.106 -14.302 -14.479 -14.565 -14.661 -14.560 -14.345
0.900 -7.873 -8.380 -9.315 -11.197 -12.081 -12.462 -12.991 -12.872 -13.388 -13.317 -13.634 -13.892 -14.153 -14.296 -14.496 -14.486 -14.331
1.000 -7.395 -7.937 -8.848 -10.616 -11.448 -11.835 -12.397 -12.283 -12.850 -12.809 -13.149 -13.459 -13.798 -13.999 -14.305 -14.389 -14.297
1.100 -6.942 -7.502 -8.461 -10.224 -10.979 -11.341 -11.890 -11.787 -12.366 -12.356 -12.703 -13.049 -13.454 -13.705 -14.107 -14.274 -14.235
1.200 -6.471 -7.032 -8.077 -9.919 -10.643 -10.979 -11.499 -11.403 -11.969 -11.980 -12.324 -12.686 -13.137 -13.427 -13.910 -14.149 -14.160
1.300 -5.976 -6.519 -7.672 -9.634 -10.384 -10.719 -11.230 -11.134 -11.691 -11.708 -12.049 -12.415 -12.886 -13.197 -13.728 -14.015 -14.059
1.400 -5.455 -5.963 -7.242 -9.339 -10.164 -10.527 -11.068 -10.967 -11.544 -11.558 -11.907 -12.276 -12.747 -13.057 -13.587 -13.875 -13.921
1.500 -4.910 -5.362 -6.781 -9.014 -9.926 -10.323 -10.904 -10.798 -11.404 -11.417 -11.777 -12.153 -12.626 -12.936 -13.462 -13.747 -13.790
1.600 -4.342 -4.717 -6.292 -8.658 -9.665 -10.101 -10.727 -10.616 -11.257 -11.272 -11.644 -12.031 -12.510 -12.821 -13.347 -13.630 -13.671
