# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -8.412 -8.260 -8.088 -7.379 -7.056 -6.896 -6.616 -6.726 -6.382 -6.543 -6.251 -5.991 -5.696 -5.466 -4.997 -4.383 -3.812
0.100 -13.978 -14.103 -14.118 -14.056 -13.915 -13.832 -13.677 -13.733 -13.531 -13.611 -13.447 -13.272 -13.062 -12.892 -12.538 -12.041 -11.558
0.200 -13.560 -13.853 -14.037 -14.405 -14.399 -14.369 -14.297 -14.321 -14.207 -14.241 -14.151 -14.023 -13.858 -13.719 -13.421 -12.979 -12.539
0.300 -12.159 -12.609 -13.034 -13.917 -14.098 -14.146 -14.190 -14.172 -14.182 -14.163 -14.170 -14.111 -14.014 -13.918 -13.701 -13.336 -12.951
0.400 -10.471 -10.930 -11.533 -12.845 -13.256 -13.406 -13.599 -13.536 -13.705 -13.638 -13.759 -13.794 -13.795 -13.766 -13.667 -13.410 -13.101
0.500 -9.795 -10.194 -10.630 -11.752 -12.244 -12.458 -12.763 -12.679 -12.980 -12.904 -13.109 -13.242 -13.359 -13.411 -13.461 -13.340 -13.124
0.600 -9.597 -10.028 -10.428 -11.324 -11.656 -11.822 -12.094 -12.028 -12.333 -12.291 -12.504 -12.688 -12.895 -13.018 -13.208 -13.214 -13.083
0.700 -9.412 -9.877 -10.325 -11.253 -11.502 -11.611 -11.793 -11.750 -11.973 -11.961 -12.131 -12.303 -12.539 -12.699 -12.979 -13.073 -13.000
0.800 -9.198 -9.693 -10.200 -11.227 -11.479 -11.570 -11.707 -11.671 -11.828 -11.820 -11.947 -12.076 -12.287 -12.450 -12.771 -12.926 -12.900
0.900 -8.951 -9.471 -10.042 -11.179 -11.465 -11.563 -11.697 -11.657 -11.794 -11.774 -11.884 -11.977 -12.142 -12.280 -12.589 -12.764 -12.763
1.000 -8.675 -9.215 -9.853 -11.102 -11.433 -11.548 -11.702 -11.655 -11.804 -11.771 -11.887 -11.968 -12.100 -12.210 -12.463 -12.597 -12.576
1.100 -8.369 -8.927 -9.635 -10.997 -11.375 -11.508 -11.685 -11.630 -11.796 -11.752 -11.877 -11.954 -12.065 -12.152 -12.356 -12.449 -12.406
1.200 -8.033 -8.603 -9.387 -10.862 -11.290 -11.443 -11.645 -11.583 -11.772 -11.717 -11.855 -11.934 -12.033 -12.104 -12.269 -12.325 -12.259
1.300 -7.670 -8.246 -9.110 -10.700 -11.181 -11.355 -11.585 -11.515 -11.729 -11.665 -11.819 -11.905 -11.999 -12.061 -12.195 -12.218 -12.131
1.400 -7.280 -7.856 -8.806 -10.513 -11.048 -11.245 -11.506 -11.427 -11.670 -11.598 -11.769 -11.865 -11.962 -12.020 -12.135 -12.132 -12.025
1.500 -6.863 -7.431 -8.472 -10.297 -10.891 -11.113 -11.405 -11.319 -11.593 -11.514 -11.703 -11.813 -11.918 -11.976 -12.081 -12.058 -11.936
1.600 -6.421 -6.972 -8.113 -10.056 -10.712 -10.959 -11.286 -11.192 -11.499 -11.415 -11.623 -11.749 -11.867 -11.929 -12.031 -11.997 -11.862
1.700 -5.955 -6.478 -7.726 -9.789 -10.510 -10.784 -11.147 -11.046 -11.388 -11.299 -11.527 -11.672 -11.805 -11.875 -11.982 -11.942 -11.799
1.800 -5.468 -5.949 -7.315 -9.495 -10.286 -10.588 -10.989 -10.882 -11.260 -11.169 -11.416 -11.581 -11.734 -11.814 -11.931 -11.890 -11.743
1.900 -4.962 -5.386 -6.878 -9.176 -10.039 -10.372 -10.813 -10.699 -11.115 -11.023 -11.291 -11.477 -11.651 -11.744 -11.876 -11.841 -11.692
2.000 -4.441 -4.792 -6.422 -8.833 -9.773 -10.137 -10.619 -10.500 -10.954 -10.864 -11.151 -11.360 -11.559 -11.665 -11.817 -11.791 -11.645
2.100 -3.904 -4.162 -5.943 -8.464 -9.484 -9.882 -10.407 -10.283 -10.778 -10.691 -10.997 -11.229 -11.455 -11.577 -11.752 -11.740 -11.598
2.200 -3.357 -3.501 -5.446 -8.071 -9.176 -9.609 -10.178 -10.050 -10.586 -10.505 -10.830 -11.087 -11.340 -11.480 -11.682 -11.687 -11.552
2.300 -2.803 -2.809 -4.934 -7.655 -8.849 -9.318 -9.934 -9.802 -10.380 -10.307 -10.650 -10.932 -11.216 -11.375 -11.606 -11.631 -11.506
2.400 -2.249 -2.091 -4.413 -7.219 -8.506 -9.013 -9.675 -9.542 -10.162 -10.099 -10.460 -10.767 -11.082 -11.261 -11.525 -11.572 -11.459
2.500 -1.694 -1.347 -3.882 -6.763 -8.147 -8.693 -9.403 -9.269 -9.932 -9.882 -10.259 -10.592 -10.940 -11.140 -11.438 -11.511 -11.412
2.600 -1.141 -0.578 -3.346 -6.289 -7.774 -8.360 -9.120 -8.985 -9.691 -9.657 -10.048 -10.408 -10.789 -11.011 -11.345 -11.446 -11.362
2.700 -0.598 0.208 -2.812 -5.801 -7.390 -8.018 -8.827 -8.694 -9.442 -9.426 -9.831 -10.216 -10.632 -10.877 -11.249 -11.378 -11.311
