# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -8.307 -8.164 -7.996 -7.302 -6.981 -6.822 -6.543 -6.653 -6.309 -6.470 -6.179 -5.918 -5.623 -5.393 -4.923 -4.309 -3.738
0.100 -13.620 -13.769 -13.806 -13.817 -13.710 -13.643 -13.517 -13.562 -13.393 -13.457 -13.321 -13.167 -12.977 -12.819 -12.482 -11.996 -11.516
0.200 -13.575 -13.858 -14.030 -14.376 -14.370 -14.343 -14.277 -14.299 -14.196 -14.227 -14.146 -14.029 -13.876 -13.744 -13.457 -13.019 -12.576
0.300 -12.954 -13.354 -13.683 -14.369 -14.477 -14.497 -14.500 -14.496 -14.466 -14.464 -14.441 -14.364 -14.250 -14.145 -13.907 -13.518 -13.111
0.400 -11.913 -12.413 -12.936 -13.995 -14.246 -14.324 -14.413 -14.381 -14.441 -14.405 -14.449 -14.422 -14.358 -14.285 -14.108 -13.776 -13.410
0.500 -10.595 -11.140 -11.878 -13.315 -13.737 -13.888 -14.080 -14.018 -14.186 -14.118 -14.238 -14.273 -14.273 -14.244 -14.143 -13.881 -13.565
0.600 -9.401 -9.907 -10.741 -12.415 -13.009 -13.238 -13.543 -13.454 -13.739 -13.653 -13.847 -13.953 -14.032 -14.056 -14.051 -13.876 -13.620
0.700 -8.744 -9.235 -9.959 -11.546 -12.218 -12.501 -12.893 -12.791 -13.173 -13.090 -13.340 -13.517 -13.681 -13.764 -13.868 -13.792 -13.606
0.800 -8.401 -8.923 -9.590 -10.997 -11.596 -11.873 -12.284 -12.187 -12.611 -12.551 -12.826 -13.055 -13.296 -13.435 -13.642 -13.654 -13.522
0.900 -8.114 -8.661 -9.361 -10.744 -11.247 -11.479 -11.844 -11.762 -12.163 -12.127 -12.394 -12.642 -12.934 -13.115 -13.408 -13.494 -13.408
1.000 -7.818 -8.382 -9.145 -10.599 -11.070 -11.272 -11.584 -11.511 -11.861 -11.837 -12.080 -12.317 -12.624 -12.829 -13.183 -13.332 -13.290
1.100 -7.500 -8.073 -8.910 -10.465 -10.952 -11.145 -11.431 -11.359 -11.669 -11.641 -11.862 -12.073 -12.367 -12.577 -12.967 -13.170 -13.170
1.200 -7.156 -7.733 -8.650 -10.316 -10.847 -11.053 -11.347 -11.270 -11.577 -11.538 -11.755 -11.950 -12.219 -12.415 -12.794 -13.001 -13.011
1.300 -6.790 -7.362 -8.366 -10.144 -10.728 -10.955 -11.272 -11.188 -11.512 -11.463 -11.687 -11.878 -12.129 -12.309 -12.657 -12.840 -12.838
1.400 -6.401 -6.960 -8.056 -9.948 -10.588 -10.837 -11.181 -11.091 -11.436 -11.378 -11.613 -11.805 -12.047 -12.215 -12.538 -12.700 -12.686
1.500 -5.989 -6.526 -7.721 -9.725 -10.426 -10.699 -11.073 -10.976 -11.346 -11.282 -11.530 -11.728 -11.967 -12.128 -12.432 -12.576 -12.550
1.600 -5.556 -6.061 -7.362 -9.479 -10.243 -10.541 -10.948 -10.844 -11.244 -11.175 -11.438 -11.646 -11.887 -12.046 -12.338 -12.467 -12.431
1.700 -5.104 -5.563 -6.979 -9.208 -10.039 -10.365 -10.806 -10.697 -11.127 -11.056 -11.334 -11.555 -11.805 -11.965 -12.251 -12.369 -12.325
1.800 -4.634 -5.033 -6.574 -8.912 -9.814 -10.169 -10.648 -10.533 -10.997 -10.926 -11.219 -11.456 -11.718 -11.883 -12.168 -12.280 -12.230
1.900 -4.149 -4.472 -6.148 -8.593 -9.570 -9.956 -10.473 -10.353 -10.853 -10.783 -11.093 -11.348 -11.626 -11.799 -12.089 -12.199 -12.145
2.000 -3.653 -3.882 -5.704 -8.252 -9.307 -9.726 -10.284 -10.160 -10.696 -10.630 -10.957 -11.231 -11.529 -11.710 -12.011 -12.123 -12.067
2.100 -3.145 -3.259 -5.242 -7.887 -9.025 -9.478 -10.079 -9.952 -10.526 -10.466 -10.809 -11.104 -11.423 -11.617 -11.933 -12.050 -11.994
2.200 -2.630 -2.607 -4.766 -7.501 -8.727 -9.214 -9.860 -9.730 -10.344 -10.293 -10.651 -10.968 -11.311 -11.519 -11.853 -11.979 -11.925
2.300 -2.113 -1.927 -4.279 -7.095 -8.412 -8.937 -9.629 -9.497 -10.151 -10.110 -10.484 -10.823 -11.193 -11.416 -11.771 -11.908 -11.860
2.400 -1.598 -1.225 -3.787 -6.672 -8.085 -8.649 -9.387 -9.256 -9.949 -9.921 -10.309 -10.671 -11.068 -11.307 -11.686 -11.838 -11.796
2.500 -1.087 -0.499 -3.291 -6.233 -7.747 -8.350 -9.137 -9.005 -9.739 -9.726 -10.127 -10.512 -10.938 -11.195 -11.599 -11.768 -11.734
2.600 -0.583 0.247 -2.796 -5.782 -7.400 -8.044 -8.879 -8.749 -9.523 -9.527 -9.940 -10.348 -10.802 -11.077 -11.509 -11.697 -11.673
2.700 -0.094 1.005 -2.309 -5.324 -7.050 -7.735 -8.618 -8.491 -9.303 -9.326 -9.750 -10.180 -10.664 -10.957 -11.418 -11.626 -11.612
2.800 0.377 1.770 -1.836 -4.865 -6.700 -7.426 -8.356 -8.233 -9.081 -9.124 -9.558 -10.009 -10.522 -10.833 -11.324 -11.553 -11.552
2.900 0.822 2.528 -1.385 -4.413 -6.357 -7.122 -8.097 -7.978 -8.861 -8.925 -9.367 -9.838 -10.379 -10.708 -11.228 -11.480 -11.492
3.000 1.240 3.266 -0.961 -3.975 -6.024 -6.826 -7.843 -7.730 -8.644 -8.729 -9.178 -9.667 -10.235 -10.582 -11.132 -11.407 -11.433
3.100 1.622 3.955 -0.571 -3.563 -5.708 -6.543 -7.598 -7.490 -8.433 -8.538 -8.993 -9.499 -10.092 -10.456 -11.035 -11.333 -11.373
3.200 1.965 4.563 -0.222 -3.188 -5.414 -6.278 -7.366 -7.263 -8.230 -8.354 -8.814 -9.334 -9.951 -10.331 -10.937 -11.259 -11.315
3.300 2.206 4.952 0.024 -2.923 -5.197 -6.078 -7.186 -7.087 -8.068 -8.205 -8.667 -9.196 -9.829 -10.219 -10.845 -11.182 -11.249
3.400 2.286 5.032 0.104 -2.843 -5.117 -5.998 -7.106 -7.007 -7.988 -8.124 -8.587 -9.116 -9.749 -10.139 -10.765 -11.102 -11.169
3.500 2.363 5.109 0.181 -2.767 -5.040 -5.921 -7.029 -6.930 -7.911 -8.048 -8.510 -9.039 -9.672 -10.062 -10.688 -11.025 -11.092
3.600 2.437 5.183 0.255 -2.692 -4.966 -5.847 -6.955 -6.856 -7.837 -7.973 -8.436 -8.965 -9.598 -9.988 -10.614 -10.951 -11.018
3.700 2.509 5.254 0.326 -2.621 -4.895 -5.776 -6.884 -6.784 -7.766 -7.902 -8.365 -8.894 -9.526 -9.917 -10.542 -10.880 -10.947
3.800 2.577 5.323 0.395 -2.552 -4.826 -5.707 -6.815 -6.716 -7.697 -7.833 -8.296 -8.825 -9.458 -9.848 -10.474 -10.811 -10.878
3.900 2.643 5.389 0.461 -2.486 -4.760 -5.641 -6.749 -6.649 -7.631 -7.767 -8.230 -8.759 -9.392 -9.782 -10.407 -10.745 -10.812
4.000 2.707 5.453 0.525 -2.422 -4.696 -5.577 -6.685 -6.586 -7.567 -7.703 -8.166 -8.695 -9.328 -9.718 -10.344 -10.681 -10.748
4.100 2.769 5.514 0.586 -2.361 -4.635 -5.516 -6.623 -6.524 -7.506 -7.642 -8.104 -8.634 -9.266 -9.657 -10.282 -10.620 -10.687
4.200 2.828 5.574 0.646 -2.302 -4.575 -5.456 -6.564 -6.465 -7.446 -7.583 -8.045 -8.575 -9.207 -9.597 -10.223 -10.560 -10.627
4.300 2.886 5.631 0.703 -2.244 -4.518 -5.399 -6.507 -6.407 -7.389 -7.525 -7.988 -8.517 -9.150 -9.540 -10.165 -10.503 -10.570
4.400 2.941 5.687 0.759 -2.189 -4.462 -5.343 -6.451 -6.352 -7.333 -7.470 -7.932 -8.462 -9.094 -9.484 -10.110 -10.447 -10.514
4.500 2.995 5.741 0.813 -2.135 -4.408 -5.289 -6.397 -6.298 -7.280 -7.416 -7.878 -8.408 -9.040 -9.430 -10.056 -10.393 -10.460
4.600 3.047 5.793 0.865 -2.082 -4.356 -5.237 -6.345 -6.246 -7.227 -7.363 -7.826 -8.355 -8.988 -9.378 -10.004 -10.341 -10.408
4.700 3.098 5.844 0.916 -2.031 -4.305 -5.186 -6.294 -6.195 -7.176 -7.312 -7.775 -8.304 -8.937 -9.327 -9.953 -10.290 -10.357
4.800 3.148 5.893 0.965 -1.982 -4.256 -5.137 -6.245 -6.145 -7.127 -7.263 -7.726 -8.255 -8.887 -9.278 -9.903 -10.241 -10.308
4.900 3.196 5.941 1.013 -1.934 -4.208 -5.089 -6.196 -6.097 -7.079 -7.215 -7.677 -8.207 -8.839 -9.230 -9.855 -10.193 -10.260
5.000 3.243 5.988 1.060 -1.887 -4.161 -5.042 -6.149 -6.050 -7.032 -7.168 -7.630 -8.160 -8.792 -9.183 -9.808 -10.146 -10.213
5.100 3.289 6.034 1.106 -1.841 -4.115 -4.996 -6.104 -6.004 -6.986 -7.122 -7.585 -8.114 -8.747 -9.137 -9.762 -10.100 -10.167
5.200 3.333 6.079 1.151 -1.797 -4.070 -4.951 -6.059 -5.960 -6.941 -7.078 -7.540 -8.069 -8.702 -9.092 -9.718 -10.055 -10.122
5.300 3.377 6.122 1.195 -1.753 -4.026 -4.907 -6.015 -5.916 -6.898 -7.034 -7.496 -8.026 -8.658 -9.048 -9.674 -10.012 -10.079
5.400 3.420 6.165 1.237 -1.710 -3.984 -4.865 -5.973 -5.873 -6.855 -6.991 -7.454 -7.983 -8.615 -9.006 -9.631 -9.969 -10.036
5.500 3.461 6.207 1.279 -1.668 -3.942 -4.823 -5.931 -5.832 -6.813 -6.949 -7.412 -7.941 -8.574 -8.964 -9.590 -9.927 -9.994
5.600 3.502 6.248 1.320 -1.627 -3.901 -4.782 -5.890 -5.791 -6.772 -6.908 -7.371 -7.900 -8.533 -8.923 -9.549 -9.886 -9.953
5.700 3.542 6.288 1.360 -1.587 -3.861 -4.742 -5.850 -5.751 -6.732 -6.868 -7.331 -7.860 -8.493 -8.883 -9.509 -9.846 -9.913
5.800 3.582 6.327 1.399 -1.548 -3.822 -4.703 -5.811 -5.711 -6.693 -6.829 -7.292 -7.821 -8.453 -8.844 -9.469 -9.807 -9.874
