# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -8.102 -7.959 -7.789 -7.091 -6.769 -6.609 -6.329 -6.439 -6.094 -6.256 -5.964 -5.703 -5.407 -5.176 -4.706 -4.092 -3.520
0.100 -13.465 -13.604 -13.635 -13.627 -13.517 -13.449 -13.321 -13.367 -13.196 -13.260 -13.123 -12.968 -12.776 -12.617 -12.278 -11.788 -11.306
0.200 -13.341 -13.622 -13.794 -14.141 -14.138 -14.113 -14.052 -14.072 -13.975 -14.004 -13.927 -13.814 -13.664 -13.534 -13.249 -12.812 -12.368
0.300 -12.524 -12.937 -13.287 -14.020 -14.151 -14.182 -14.203 -14.193 -14.184 -14.175 -14.168 -14.104 -14.004 -13.908 -13.683 -13.302 -12.898
0.400 -11.198 -11.716 -12.298 -13.466 -13.771 -13.874 -14.002 -13.959 -14.063 -14.014 -14.091 -14.092 -14.058 -14.005 -13.859 -13.547 -13.190
0.500 -9.712 -10.248 -11.038 -12.588 -13.095 -13.287 -13.543 -13.465 -13.703 -13.625 -13.790 -13.872 -13.923 -13.926 -13.878 -13.652 -13.351
0.600 -8.724 -9.228 -10.009 -11.645 -12.299 -12.569 -12.943 -12.844 -13.208 -13.124 -13.364 -13.529 -13.677 -13.744 -13.809 -13.678 -13.439
0.700 -8.207 -8.736 -9.470 -10.996 -11.654 -11.952 -12.387 -12.284 -12.726 -12.660 -12.943 -13.174 -13.408 -13.537 -13.711 -13.674 -13.496
0.800 -7.785 -8.340 -9.122 -10.649 -11.261 -11.548 -11.987 -11.891 -12.356 -12.313 -12.610 -12.879 -13.178 -13.356 -13.622 -13.667 -13.545
0.900 -7.341 -7.910 -8.780 -10.404 -11.012 -11.291 -11.721 -11.630 -12.097 -12.071 -12.370 -12.659 -13.000 -13.213 -13.552 -13.667 -13.592
1.000 -6.858 -7.427 -8.404 -10.159 -10.801 -11.086 -11.520 -11.428 -11.900 -11.882 -12.184 -12.485 -12.856 -13.096 -13.494 -13.667 -13.635
1.100 -6.335 -6.890 -7.987 -9.885 -10.586 -10.890 -11.345 -11.249 -11.738 -11.725 -12.036 -12.348 -12.741 -13.001 -13.443 -13.661 -13.661
1.200 -5.772 -6.296 -7.526 -9.573 -10.353 -10.687 -11.181 -11.080 -11.603 -11.593 -11.919 -12.248 -12.664 -12.939 -13.410 -13.654 -13.672
1.300 -5.173 -5.644 -7.024 -9.219 -10.086 -10.456 -10.994 -10.888 -11.450 -11.448 -11.790 -12.139 -12.580 -12.872 -13.375 -13.647 -13.684
1.400 -4.549 -4.938 -6.488 -8.834 -9.813 -10.233 -10.834 -10.723 -11.340 -11.345 -11.708 -12.081 -12.543 -12.844 -13.357 -13.632 -13.671
1.500 -3.904 -4.177 -5.923 -8.414 -9.518 -9.993 -10.662 -10.547 -11.220 -11.237 -11.620 -12.016 -12.501 -12.814 -13.338 -13.618 -13.657
1.600 -3.248 -3.359 -5.334 -7.964 -9.208 -9.741 -10.482 -10.365 -11.095 -11.126 -11.527 -11.947 -12.456 -12.780 -13.317 -13.602 -13.644
1.700 -2.604 -2.497 -4.743 -7.495 -8.894 -9.491 -10.304 -10.187 -10.970 -11.018 -11.434 -11.878 -12.409 -12.744 -13.295 -13.587 -13.631
1.800 -1.990 -1.591 -4.165 -7.020 -8.588 -9.248 -10.131 -10.015 -10.849 -10.913 -11.343 -11.807 -12.360 -12.706 -13.270 -13.568 -13.615
1.900 -1.437 -0.659 -3.632 -6.561 -8.304 -9.025 -9.971 -9.858 -10.734 -10.816 -11.256 -11.738 -12.311 -12.667 -13.243 -13.548 -13.598
2.000 -0.976 0.267 -3.177 -6.147 -8.057 -8.830 -9.830 -9.720 -10.632 -10.728 -11.176 -11.673 -12.262 -12.628 -13.215 -13.527 -13.580
2.100 -0.621 1.130 -2.818 -5.801 -7.852 -8.668 -9.709 -9.602 -10.541 -10.650 -11.104 -11.612 -12.215 -12.588 -13.186 -13.504 -13.560
2.200 -0.368 1.842 -2.560 -5.536 -7.691 -8.537 -9.608 -9.504 -10.461 -10.580 -11.038 -11.555 -12.169 -12.548 -13.155 -13.479 -13.537
2.300 -0.198 2.327 -2.385 -5.349 -7.570 -8.435 -9.525 -9.423 -10.392 -10.520 -10.980 -11.503 -12.125 -12.509 -13.123 -13.452 -13.514
2.400 -0.085 2.598 -2.269 -5.223 -7.479 -8.354 -9.456 -9.356 -10.333 -10.465 -10.927 -11.454 -12.082 -12.469 -13.090 -13.423 -13.487
2.500 -0.007 2.736 -2.190 -5.137 -7.410 -8.291 -9.398 -9.299 -10.280 -10.416 -10.879 -11.408 -12.040 -12.430 -13.055 -13.393 -13.459
2.600 0.029 2.775 -2.153 -5.100 -7.374 -8.255 -9.363 -9.264 -10.245 -10.381 -10.844 -11.373 -12.006 -12.396 -13.022 -13.359 -13.426
2.700 0.063 2.809 -2.119 -5.066 -7.340 -8.221 -9.329 -9.230 -10.211 -10.347 -10.810 -11.339 -11.972 -12.362 -12.988 -13.325 -13.392
2.800 0.099 2.844 -2.084 -5.031 -7.305 -8.186 -9.293 -9.194 -10.176 -10.312 -10.774 -11.304 -11.936 -12.327 -12.952 -13.290 -13.357
2.900 0.136 2.881 -2.047 -4.994 -7.268 -8.149 -9.257 -9.157 -10.139 -10.275 -10.738 -11.267 -11.900 -12.290 -12.915 -13.253 -13.320
3.000 0.174 2.920 -2.008 -4.955 -7.229 -8.110 -9.218 -9.119 -10.100 -10.236 -10.699 -11.228 -11.861 -12.251 -12.877 -13.214 -13.281
3.100 0.215 2.960 -1.968 -4.915 -7.189 -8.070 -9.178 -9.078 -10.060 -10.196 -10.659 -11.188 -11.820 -12.211 -12.836 -13.174 -13.241
3.200 0.256 3.002 -1.926 -4.874 -7.147 -8.028 -9.136 -9.037 -10.018 -10.155 -10.617 -11.147 -11.779 -12.169 -12.795 -13.132 -13.199
3.300 0.299 3.044 -1.884 -4.831 -7.105 -7.986 -9.094 -8.994 -9.976 -10.112 -10.575 -11.104 -11.736 -12.127 -12.752 -13.090 -13.157
3.400 0.344 3.089 -1.839 -4.786 -7.060 -7.941 -9.049 -8.949 -9.931 -10.067 -10.530 -11.059 -11.691 -12.082 -12.707 -13.045 -13.112
3.500 0.390 3.135 -1.793 -4.740 -7.014 -7.895 -9.003 -8.903 -9.885 -10.021 -10.483 -11.013 -11.645 -12.036 -12.661 -12.999 -13.066
3.600 0.438 3.184 -1.744 -4.692 -6.965 -7.846 -8.954 -8.855 -9.837 -9.973 -10.435 -10.965 -11.597 -11.987 -12.613 -12.950 -13.017
3.700 0.488 3.233 -1.695 -4.642 -6.916 -7.797 -8.904 -8.805 -9.787 -9.923 -10.385 -10.915 -11.547 -11.938 -12.563 -12.901 -12.968
3.800 0.539 3.284 -1.644 -4.591 -6.865 -7.746 -8.854 -8.754 -9.736 -9.872 -10.335 -10.864 -11.496 -11.887 -12.512 -12.850 -12.917
3.900 0.591 3.336 -1.592 -4.539 -6.813 -7.694 -8.802 -8.702 -9.684 -9.820 -10.283 -10.812 -11.444 -11.835 -12.460 -12.798 -12.865
4.000 0.645 3.390 -1.538 -4.485 -6.759 -7.640 -8.748 -8.648 -9.630 -9.766 -10.229 -10.758 -11.390 -11.781 -12.406 -12.744 -12.811
4.100 0.700 3.445 -1.483 -4.430 -6.704 -7.585 -8.693 -8.593 -9.575 -9.711 -10.174 -10.703 -11.335 -11.726 -12.351 -12.689 -12.756
4.200 0.756 3.502 -1.426 -4.374 -6.647 -7.528 -8.636 -8.537 -9.518 -9.655 -10.117 -10.647 -11.279 -11.669 -12.295 -12.632 -12.699
4.300 0.814 3.560 -1.368 -4.316 -6.589 -7.470 -8.578 -8.479 -9.461 -9.597 -10.059 -10.589 -11.221 -11.611 -12.237 -12.575 -12.642
4.400 0.873 3.618 -1.310 -4.257 -6.531 -7.412 -8.519 -8.420 -9.402 -9.538 -10.000 -10.530 -11.162 -11.553 -12.178 -12.516 -12.583
4.500 0.932 3.678 -1.250 -4.197 -6.471 -7.352 -8.460 -8.361 -9.342 -9.478 -9.941 -10.470 -11.103 -11.493 -12.119 -12.456 -12.523
4.600 0.993 3.738 -1.190 -4.137 -6.411 -7.292 -8.400 -8.300 -9.282 -9.418 -9.881 -10.410 -11.042 -11.433 -12.058 -12.396 -12.463
4.700 1.054 3.800 -1.128 -4.076 -6.349 -7.230 -8.338 -8.239 -9.221 -9.357 -9.819 -10.349 -10.981 -11.371 -11.997 -12.334 -12.401
4.800 1.116 3.862 -1.066 -4.013 -6.287 -7.168 -8.276 -8.177 -9.158 -9.294 -9.757 -10.286 -10.919 -11.309 -11.934 -12.272 -12.339
4.900 1.179 3.924 -1.003 -3.951 -6.224 -7.105 -8.213 -8.114 -9.096 -9.232 -9.694 -10.224 -10.856 -11.246 -11.872 -12.210 -12.277
5.000 1.242 3.988 -0.940 -3.887 -6.161 -7.042 -8.150 -8.051 -9.032 -9.169 -9.631 -10.160 -10.793 -11.183 -11.809 -12.146 -12.213
5.100 1.306 4.052 -0.876 -3.824 -6.097 -6.978 -8.086 -7.987 -8.969 -9.105 -9.567 -10.097 -10.729 -11.119 -11.745 -12.083 -12.150
5.200 1.370 4.115 -0.813 -3.760 -6.034 -6.915 -8.022 -7.923 -8.905 -9.041 -9.503 -10.033 -10.665 -11.056 -11.681 -12.019 -12.086
5.300 1.434 4.179 -0.749 -3.696 -5.970 -6.851 -7.959 -7.859 -8.841 -8.977 -9.440 -9.969 -10.601 -10.992 -11.617 -11.955 -12.022
5.400 1.498 4.243 -0.685 -3.632 -5.906 -6.787 -7.895 -7.795 -8.777 -8.913 -9.376 -9.905 -10.537 -10.928 -11.553 -11.891 -11.958
5.500 1.561 4.307 -0.621 -3.568 -5.842 -6.723 -7.831 -7.732 -8.713 -8.849 -9.312 -9.841 -10.474 -10.864 -11.490 -11.827 -11.894
5.600 1.625 4.371 -0.557 -3.505 -5.778 -6.659 -7.767 -7.668 -8.649 -8.786 -9.248 -9.777 -10.410 -10.800 -11.426 -11.763 -11.830
