# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -8.174 -8.026 -7.854 -7.148 -6.825 -6.665 -6.384 -6.495 -6.149 -6.311 -6.018 -5.757 -5.461 -5.230 -4.760 -4.145 -3.573
0.100 -13.838 -13.949 -13.953 -13.863 -13.720 -13.638 -13.485 -13.541 -13.343 -13.422 -13.262 -13.091 -12.885 -12.717 -12.365 -11.866 -11.378
0.200 -14.056 -14.281 -14.390 -14.577 -14.515 -14.463 -14.358 -14.394 -14.247 -14.299 -14.181 -14.037 -13.858 -13.708 -13.392 -12.930 -12.472
0.300 -13.811 -14.131 -14.348 -14.792 -14.812 -14.793 -14.737 -14.755 -14.660 -14.685 -14.610 -14.494 -14.341 -14.209 -13.924 -13.495 -13.063
0.400 -13.271 -13.680 -14.021 -14.732 -14.845 -14.864 -14.865 -14.862 -14.827 -14.825 -14.798 -14.714 -14.591 -14.479 -14.231 -13.837 -13.432
0.500 -12.480 -12.967 -13.459 -14.457 -14.680 -14.744 -14.812 -14.785 -14.820 -14.791 -14.817 -14.771 -14.686 -14.599 -14.395 -14.043 -13.668
0.600 -11.521 -12.061 -12.720 -14.012 -14.360 -14.476 -14.620 -14.570 -14.684 -14.629 -14.711 -14.710 -14.670 -14.613 -14.462 -14.159 -13.819
0.700 -10.485 -11.033 -11.847 -13.409 -13.894 -14.069 -14.297 -14.224 -14.426 -14.349 -14.490 -14.541 -14.555 -14.533 -14.447 -14.203 -13.904
0.800 -9.593 -10.108 -10.982 -12.704 -13.317 -13.553 -13.865 -13.774 -14.065 -13.976 -14.173 -14.280 -14.356 -14.376 -14.366 -14.190 -13.939
0.900 -9.003 -9.505 -10.314 -12.007 -12.697 -12.978 -13.364 -13.261 -13.632 -13.544 -13.787 -13.951 -14.095 -14.162 -14.235 -14.130 -13.924
1.000 -8.633 -9.157 -9.904 -11.468 -12.140 -12.436 -12.859 -12.756 -13.178 -13.104 -13.377 -13.589 -13.800 -13.914 -14.073 -14.040 -13.878
1.100 -8.339 -8.887 -9.638 -11.134 -11.732 -12.007 -12.420 -12.325 -12.758 -12.706 -12.986 -13.229 -13.495 -13.653 -13.894 -13.933 -13.816
1.200 -8.050 -8.614 -9.410 -10.930 -11.475 -11.720 -12.097 -12.011 -12.421 -12.387 -12.658 -12.912 -13.215 -13.405 -13.717 -13.820 -13.746
1.300 -7.750 -8.323 -9.181 -10.772 -11.306 -11.532 -11.877 -11.796 -12.175 -12.147 -12.404 -12.653 -12.970 -13.182 -13.547 -13.707 -13.673
1.400 -7.433 -8.008 -8.936 -10.618 -11.171 -11.395 -11.724 -11.644 -12.000 -11.971 -12.216 -12.451 -12.767 -12.988 -13.391 -13.597 -13.599
1.500 -7.095 -7.666 -8.672 -10.453 -11.046 -11.282 -11.621 -11.536 -11.893 -11.856 -12.101 -12.328 -12.634 -12.852 -13.259 -13.481 -13.498
1.600 -6.740 -7.300 -8.389 -10.272 -10.916 -11.172 -11.535 -11.445 -11.820 -11.777 -12.030 -12.258 -12.557 -12.767 -13.158 -13.368 -13.377
1.700 -6.366 -6.907 -8.085 -10.070 -10.769 -11.046 -11.436 -11.340 -11.737 -11.688 -11.953 -12.185 -12.481 -12.686 -13.065 -13.263 -13.266
1.800 -5.974 -6.488 -7.760 -9.848 -10.604 -10.905 -11.323 -11.221 -11.643 -11.591 -11.867 -12.107 -12.405 -12.607 -12.976 -13.165 -13.162
1.900 -5.567 -6.044 -7.417 -9.606 -10.422 -10.748 -11.197 -11.090 -11.539 -11.484 -11.773 -12.023 -12.325 -12.526 -12.890 -13.070 -13.062
2.000 -5.146 -5.574 -7.056 -9.345 -10.225 -10.577 -11.059 -10.947 -11.424 -11.368 -11.670 -11.932 -12.241 -12.445 -12.805 -12.979 -12.966
2.100 -4.709 -5.075 -6.676 -9.064 -10.010 -10.389 -10.906 -10.789 -11.297 -11.242 -11.558 -11.833 -12.153 -12.360 -12.720 -12.891 -12.874
2.200 -4.261 -4.551 -6.280 -8.764 -9.780 -10.188 -10.741 -10.620 -11.160 -11.108 -11.437 -11.727 -12.060 -12.272 -12.636 -12.804 -12.784
2.300 -3.804 -4.002 -5.869 -8.445 -9.535 -9.973 -10.564 -10.440 -11.013 -10.964 -11.307 -11.614 -11.962 -12.181 -12.551 -12.720 -12.698
2.400 -3.341 -3.428 -5.446 -8.108 -9.276 -9.746 -10.376 -10.250 -10.856 -10.814 -11.170 -11.494 -11.859 -12.087 -12.466 -12.637 -12.615
2.500 -2.872 -2.829 -5.010 -7.754 -9.004 -9.507 -10.177 -10.049 -10.690 -10.655 -11.025 -11.367 -11.751 -11.989 -12.380 -12.556 -12.534
2.600 -2.401 -2.207 -4.567 -7.383 -8.719 -9.256 -9.969 -9.839 -10.516 -10.491 -10.873 -11.233 -11.638 -11.888 -12.294 -12.476 -12.457
2.700 -1.932 -1.564 -4.119 -6.999 -8.424 -8.997 -9.752 -9.623 -10.335 -10.322 -10.716 -11.095 -11.522 -11.784 -12.207 -12.398 -12.382
2.800 -1.468 -0.901 -3.669 -6.602 -8.121 -8.731 -9.530 -9.401 -10.149 -10.149 -10.554 -10.953 -11.403 -11.678 -12.119 -12.321 -12.309
2.900 -1.011 -0.222 -3.221 -6.197 -7.813 -8.460 -9.303 -9.176 -9.959 -9.973 -10.389 -10.807 -11.280 -11.569 -12.030 -12.245 -12.239
