# day W2 M2 W1 u B g V c r w o i z y J H K
0.000 -11.163 -10.957 -10.752 -9.890 -9.521 -9.343 -9.030 -9.155 -8.773 -8.958 -8.631 -8.349 -8.034 -7.790 -7.297 -6.661 -6.074
0.100 -15.667 -15.674 -15.600 -15.267 -15.049 -14.933 -14.726 -14.804 -14.543 -14.655 -14.438 -14.227 -13.980 -13.783 -13.376 -12.825 -12.301
0.200 -15.265 -15.450 -15.521 -15.609 -15.513 -15.446 -15.315 -15.362 -15.183 -15.249 -15.104 -14.938 -14.732 -14.563 -14.206 -13.703 -13.214
0.300 -14.541 -14.867 -15.091 -15.550 -15.573 -15.555 -15.498 -15.516 -15.417 -15.442 -15.363 -15.240 -15.074 -14.932 -14.622 -14.162 -13.705
0.400 -13.640 -14.075 -14.464 -15.269 -15.417 -15.450 -15.470 -15.460 -15.443 -15.433 -15.418 -15.340 -15.218 -15.104 -14.844 -14.430 -14.006
0.500 -12.552 -13.069 -13.644 -14.796 -15.084 -15.175 -15.281 -15.242 -15.315 -15.271 -15.324 -15.297 -15.225 -15.143 -14.941 -14.579 -14.192
0.600 -11.350 -11.900 -12.671 -14.158 -14.600 -14.757 -14.956 -14.891 -15.062 -14.990 -15.111 -15.140 -15.126 -15.082 -14.947 -14.646 -14.300
0.700 -10.231 -10.747 -11.647 -13.387 -13.989 -14.216 -14.514 -14.425 -14.698 -14.608 -14.794 -14.885 -14.938 -14.938 -14.881 -14.649 -14.351
0.800 -9.447 -9.926 -10.782 -12.575 -13.303 -13.594 -13.986 -13.880 -14.251 -14.157 -14.400 -14.555 -14.681 -14.731 -14.761 -14.603 -14.353
0.900 -8.975 -9.468 -10.218 -11.868 -12.631 -12.960 -13.420 -13.308 -13.756 -13.674 -13.958 -14.172 -14.374 -14.476 -14.600 -14.523 -14.324
1.000 -8.626 -9.152 -9.869 -11.376 -12.072 -12.399 -12.879 -12.773 -13.262 -13.203 -13.509 -13.770 -14.042 -14.195 -14.415 -14.421 -14.276
1.100 -8.297 -8.848 -9.594 -11.069 -11.671 -11.963 -12.416 -12.321 -12.808 -12.777 -13.084 -13.374 -13.704 -13.904 -14.216 -14.305 -14.215
1.200 -7.953 -8.520 -9.326 -10.853 -11.402 -11.656 -12.060 -11.976 -12.429 -12.417 -12.712 -13.010 -13.380 -13.618 -14.012 -14.179 -14.144
1.300 -7.586 -8.160 -9.042 -10.662 -11.206 -11.440 -11.803 -11.724 -12.135 -12.129 -12.405 -12.694 -13.081 -13.345 -13.807 -14.047 -14.063
1.400 -7.195 -7.769 -8.735 -10.467 -11.051 -11.294 -11.658 -11.575 -11.977 -11.964 -12.235 -12.513 -12.893 -13.158 -13.634 -13.897 -13.933
1.500 -6.778 -7.342 -8.402 -10.252 -10.893 -11.158 -11.547 -11.458 -11.877 -11.856 -12.134 -12.411 -12.780 -13.036 -13.498 -13.751 -13.782
1.600 -6.337 -6.881 -8.042 -10.010 -10.715 -11.004 -11.423 -11.327 -11.769 -11.742 -12.031 -12.310 -12.675 -12.927 -13.377 -13.622 -13.648
1.700 -5.873 -6.387 -7.657 -9.744 -10.515 -10.832 -11.284 -11.182 -11.651 -11.621 -11.922 -12.209 -12.575 -12.824 -13.267 -13.505 -13.526
1.800 -5.389 -5.858 -7.247 -9.452 -10.296 -10.642 -11.131 -11.023 -11.523 -11.492 -11.806 -12.104 -12.475 -12.724 -13.164 -13.397 -13.415
1.900 -4.886 -5.294 -6.814 -9.135 -10.056 -10.434 -10.963 -10.851 -11.385 -11.354 -11.683 -11.994 -12.375 -12.627 -13.067 -13.296 -13.312
2.000 -4.371 -4.700 -6.362 -8.796 -9.799 -10.212 -10.783 -10.666 -11.237 -11.209 -11.553 -11.879 -12.273 -12.530 -12.973 -13.201 -13.215
2.100 -3.842 -4.071 -5.890 -8.433 -9.524 -9.973 -10.589 -10.469 -11.078 -11.055 -11.414 -11.758 -12.167 -12.431 -12.880 -13.109 -13.122
2.200 -3.307 -3.410 -5.403 -8.049 -9.234 -9.721 -10.385 -10.262 -10.910 -10.895 -11.268 -11.631 -12.058 -12.330 -12.788 -13.019 -13.032
2.300 -2.769 -2.720 -4.905 -7.646 -8.930 -9.458 -10.171 -10.046 -10.735 -10.730 -11.117 -11.498 -11.944 -12.226 -12.694 -12.930 -12.944
2.400 -2.237 -2.006 -4.405 -7.228 -8.618 -9.187 -9.950 -9.825 -10.553 -10.560 -10.960 -11.360 -11.827 -12.120 -12.600 -12.842 -12.857
2.500 -1.715 -1.267 -3.905 -6.798 -8.298 -8.911 -9.724 -9.599 -10.367 -10.387 -10.799 -11.218 -11.706 -12.009 -12.504 -12.753 -12.771
2.600 -1.209 -0.509 -3.412 -6.360 -7.976 -8.633 -9.495 -9.372 -10.177 -10.212 -10.634 -11.072 -11.581 -11.896 -12.406 -12.663 -12.684
2.700 -0.729 0.259 -2.938 -5.924 -7.657 -8.357 -9.267 -9.146 -9.987 -10.038 -10.469 -10.924 -11.454 -11.781 -12.306 -12.572 -12.598
2.800 -0.280 1.028 -2.490 -5.496 -7.347 -8.087 -9.042 -8.925 -9.798 -9.864 -10.304 -10.775 -11.325 -11.663 -12.205 -12.481 -12.511
2.900 0.128 1.778 -2.077 -5.089 -7.050 -7.829 -8.824 -8.710 -9.612 -9.694 -10.140 -10.626 -11.195 -11.544 -12.103 -12.389 -12.425
3.000 0.494 2.486 -1.705 -4.709 -6.771 -7.583 -8.614 -8.503 -9.431 -9.527 -9.979 -10.478 -11.064 -11.424 -11.999 -12.296 -12.338
3.100 0.814 3.115 -1.379 -4.366 -6.514 -7.353 -8.414 -8.307 -9.255 -9.366 -9.822 -10.332 -10.934 -11.304 -11.894 -12.204 -12.252
3.200 1.090 3.635 -1.097 -4.066 -6.281 -7.141 -8.226 -8.123 -9.088 -9.210 -9.669 -10.189 -10.805 -11.184 -11.790 -12.111 -12.167
3.300 1.326 4.032 -0.858 -3.810 -6.071 -6.948 -8.050 -7.950 -8.928 -9.061 -9.522 -10.049 -10.678 -11.065 -11.685 -12.019 -12.083
3.400 1.464 4.209 -0.719 -3.666 -5.940 -6.821 -7.929 -7.829 -8.811 -8.947 -9.410 -9.939 -10.571 -10.962 -11.587 -11.925 -11.992
3.500 1.557 4.302 -0.625 -3.573 -5.846 -6.727 -7.835 -7.736 -8.718 -8.854 -9.316 -9.846 -10.478 -10.868 -11.494 -11.832 -11.899
3.600 1.647 4.393 -0.535 -3.482 -5.756 -6.637 -7.745 -7.645 -8.627 -8.763 -9.226 -9.755 -10.388 -10.778 -11.403 -11.741 -11.808
3.700 1.735 4.481 -0.447 -3.395 -5.668 -6.549 -7.657 -7.558 -8.539 -8.676 -9.138 -9.668 -10.300 -10.690 -11.316 -11.653 -11.720
3.800 1.820 4.566 -0.362 -3.310 -5.583 -6.464 -7.572 -7.473 -8.455 -8.591 -9.053 -9.583 -10.215 -10.605 -11.231 -11.569 -11.636
3.900 1.902 4.647 -0.281 -3.228 -5.502 -6.383 -7.491 -7.391 -8.373 -8.509 -8.972 -9.501 -10.133 -10.524 -11.149 -11.487 -11.554
4.000 1.980 4.726 -0.202 -3.149 -5.423 -6.304 -7.412 -7.313 -8.294 -8.430 -8.893 -9.422 -10.055 -10.445 -11.071 -11.408 -11.475
4.100 2.056 4.801 -0.127 -3.074 -5.348 -6.229 -7.336 -7.237 -8.219 -8.355 -8.817 -9.347 -9.979 -10.370 -10.995 -11.333 -11.400
4.200 2.128 4.874 -0.054 -3.001 -5.275 -6.156 -7.264 -7.165 -8.146 -8.282 -8.745 -9.274 -9.907 -10.297 -10.923 -11.260 -11.327
4.300 2.198 4.944 0.016 -2.932 -5.205 -6.086 -7.194 -7.095 -8.077 -8.213 -8.675 -9.205 -9.837 -10.227 -10.853 -11.191 -11.258
4.400 2.265 5.010 0.082 -2.865 -5.139 -6.020 -7.127 -7.028 -8.010 -8.146 -8.608 -9.138 -9.770 -10.161 -10.786 -11.124 -11.191
4.500 2.329 5.075 0.147 -2.801 -5.074 -5.955 -7.063 -6.964 -7.946 -8.082 -8.544 -9.074 -9.706 -10.096 -10.722 -11.059 -11.127
4.600 2.391 5.136 0.208 -2.739 -5.013 -5.894 -7.002 -6.902 -7.884 -8.020 -8.483 -9.012 -9.644 -10.035 -10.660 -10.998 -11.065
4.700 2.450 5.196 0.268 -2.680 -4.953 -5.834 -6.942 -6.843 -7.825 -7.961 -8.423 -8.953 -9.585 -9.975 -10.601 -10.938 -11.005
4.800 2.507 5.253 0.325 -2.623 -4.896 -5.777 -6.885 -6.786 -7.768 -7.904 -8.366 -8.896 -9.528 -9.918 -10.544 -10.881 -10.948
4.900 2.562 5.308 0.380 -2.568 -4.841 -5.722 -6.830 -6.731 -7.713 -7.849 -8.311 -8.841 -9.473 -9.863 -10.489 -10.826 -10.893
5.000 2.615 5.361 0.433 -2.515 -4.788 -5.669 -6.777 -6.678 -7.659 -7.796 -8.258 -8.787 -9.420 -9.810 -10.436 -10.773 -10.840
5.100 2.667 5.412 0.484 -2.463 -4.737 -5.618 -6.726 -6.626 -7.608 -7.744 -8.207 -8.736 -9.368 -9.759 -10.384 -10.722 -10.789
5.200 2.717 5.462 0.534 -2.413 -4.687 -5.568 -6.676 -6.576 -7.558 -7.694 -8.157 -8.686 -9.319 -9.709 -10.334 -10.672 -10.739
5.300 2.765 5.510 0.583 -2.365 -4.638 -5.519 -6.627 -6.528 -7.510 -7.646 -8.108 -8.638 -9.270 -9.660 -10.286 -10.624 -10.691
5.400 2.812 5.558 0.630 -2.318 -4.591 -5.472 -6.580 -6.481 -7.463 -7.599 -8.061 -8.591 -9.223 -9.613 -10.239 -10.577 -10.644
5.500 2.858 5.603 0.675 -2.272 -4.546 -5.427 -6.535 -6.435 -7.417 -7.553 -8.016 -8.545 -9.177 -9.568 -10.193 -10.531 -10.598
5.600 2.902 5.648 0.720 -2.227 -4.501 -5.382 -6.490 -6.391 -7.372 -7.509 -7.971 -8.500 -9.133 -9.523 -10.149 -10.486 -10.553
5.700 2.946 5.691 0.763 -2.184 -4.458 -5.339 -6.446 -6.347 -7.329 -7.465 -7.927 -8.457 -9.089 -9.480 -10.105 -10.443 -10.510
5.800 2.988 5.734 0.806 -2.141 -4.415 -5.296 -6.404 -6.305 -7.286 -7.423 -7.885 -8.414 -9.047 -9.437 -10.063 -10.400 -10.467
5.900 3.030 5.775 0.847 -2.100 -4.374 -5.255 -6.362 -6.263 -7.245 -7.381 -7.843 -8.373 -9.005 -9.396 -10.021 -10.359 -10.426
6.000 3.071 5.816 0.888 -2.059 -4.333 -5.214 -6.322 -6.222 -7.204 -7.340 -7.803 -8.332 -8.965 -9.355 -9.980 -10.318 -10.385
6.100 3.110 5.856 0.928 -2.019 -4.293 -5.174 -6.282 -6.183 -7.164 -7.300 -7.763 -8.292 -8.925 -9.315 -9.941 -10.278 -10.345
6.200 3.149 5.895 0.967 -1.980 -4.254 -5.135 -6.243 -6.144 -7.125 -7.261 -7.724 -8.253 -8.886 -9.276 -9.901 -10.239 -10.306
6.300 3.188 5.933 1.005 -1.942 -4.216 -5.097 -6.204 -6.105 -7.087 -7.223 -7.685 -8.215 -8.847 -9.238 -9.863 -10.201 -10.268
6.400 3.225 5.971 1.043 -1.904 -4.178 -5.059 -6.167 -6.068 -7.049 -7.185 -7.648 -8.177 -8.810 -9.200 -9.826 -10.163 -10.230
6.500 3.262 6.008 1.080 -1.867 -4.141 -5.022 -6.130 -6.031 -7.012 -7.149 -7.611 -8.140 -8.773 -9.163 -9.789 -10.126 -10.193
6.600 3.299 6.044 1.116 -1.831 -4.105 -4.986 -6.094 -5.994 -6.976 -7.112 -7.575 -8.104 -8.736 -9.127 -9.752 -10.090 -10.157
6.700 3.334 6.080 1.152 -1.796 -4.069 -4.950 -6.058 -5.959 -6.940 -7.077 -7.539 -8.068 -8.701 -9.091 -9.717 -10.054 -10.121
6.800 3.369 6.115 1.187 -1.760 -4.034 -4.915 -6.023 -5.924 -6.905 -7.042 -7.504 -8.033 -8.666 -9.056 -9.682 -10.019 -10.086
6.900 3.404 6.149 1.221 -1.726 -4.000 -4.881 -5.988 -5.889 -6.871 -7.007 -7.469 -7.999 -8.631 -9.022 -9.647 -9.985 -10.052
7.000 3.438 6.183 1.255 -1.692 -3.966 -4.847 -5.955 -5.855 -6.837 -6.973 -7.436 -7.965 -8.597 -8.988 -9.613 -9.951 -10.018
7.100 3.471 6.217 1.289 -1.659 -3.932 -4.813 -5.921 -5.822 -6.803 -6.940 -7.402 -7.932 -8.564 -8.954 -9.580 -9.917 -9.984
7.200 3.504 6.250 1.322 -1.626 -3.899 -4.780 -5.888 -5.789 -6.771 -6.907 -7.369 -7.899 -8.531 -8.921 -9.547 -9.884 -9.952
7.300 3.536 6.282 1.354 -1.593 -3.867 -4.748 -5.856 -5.757 -6.738 -6.874 -7.337 -7.866 -8.499 -8.889 -9.515 -9.852 -9.919
7.400 3.568 6.314 1.386 -1.561 -3.835 -4.716 -5.824 -5.725 -6.706 -6.843 -7.305 -7.834 -8.467 -8.857 -9.483 -9.820 -9.887
7.500 3.600 6.345 1.417 -1.530 -3.804 -4.685 -5.792 -5.693 -6.675 -6.811 -7.273 -7.803 -8.435 -8.826 -9.451 -9.789 -9.856
